index,bbox,label_id,label_text,content,width,height
0,"[438, 296, 710, 346]",15,SELLER,KAI TEA,1024,1366
1,"[197, 375, 346, 413]",15,SELLER,KAI TEA,1024,1366
2,"[409, 359, 755, 388]",16,ADDRESS,"Đ/c: SH08, Tòa K1, The K Park Văn Phú,",1024,1366
3,"[507, 385, 657, 407]",16,ADDRESS,"Hà Đông, Hà Nội",1024,1366
4,"[181, 539, 249, 572]",17,TIMESTAMP,Ngày :,1024,1366
5,"[332, 542, 456, 572]",17,TIMESTAMP,20.09.2019,1024,1366
6,"[180, 581, 374, 612]",17,TIMESTAMP,Giờ vào: 22.10,1024,1366
7,"[486, 583, 668, 609]",17,TIMESTAMP,Giờ ra: 22.14,1024,1366
8,"[157, 1015, 443, 1050]",18,TOTAL_COST,Tiên Thanh Toán,1024,1366
9,"[637, 1015, 769, 1053]",18,TOTAL_COST,102 850,1024,1366
