cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[246, 128, 504, 134, 501, 161, 246, 154]",16,ADDRESS,VM - QNH TÔ 8 Khu 3B Càm Trung,0
1,"[270, 158, 478, 166, 475, 193, 270, 186]",16,ADDRESS,"Tố 8, Khu 3B, P. Câm Trung",1
2,"[34, 178, 202, 178, 202, 224, 34, 224]",15,SELLER,Vincommerce,2
3,"[268, 194, 480, 198, 480, 222, 268, 222]",16,ADDRESS,"TP. Cảm Phà, T. Quảng Ninh",3
4,"[294, 228, 452, 228, 452, 256, 294, 256]",0,OTHER,024.71066866-49871,4
5,"[32, 284, 224, 284, 224, 308, 32, 312]",17,TIMESTAMP,Ngày:13/08/2020,5
6,"[366, 286, 552, 288, 552, 310, 366, 310]",17,TIMESTAMP,Thời gian:17:39,6
7,"[208, 316, 380, 318, 380, 340, 208, 340]",0,OTHER,Giao dịch treo,7
8,"[32, 344, 134, 348, 134, 368, 32, 372]",0,OTHER,Quầy::001,8
9,"[392, 348, 552, 347, 552, 369, 392, 370]",0,OTHER,NVBH:09024524,9
10,"[32, 376, 210, 378, 210, 400, 32, 402]",0,OTHER,Tên NV:4987CHT,10
11,"[32, 406, 210, 408, 210, 430, 32, 432]",0,OTHER,Số GD treo:673,11
