cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[152, 51, 278, 52, 278, 68, 151, 66]",15,SELLER,MINIMART ANAN,0
1,"[136, 74, 290, 76, 290, 84, 136, 84]",16,ADDRESS,Cho Sui Phu Thi Thinh,1
2,"[54, 86, 76, 86, 76, 96, 54, 96]",0,OTHER,TOIL,2
3,"[128, 112, 300, 116, 300, 136, 128, 132]",0,OTHER,HÓA ĐƠN BẢN HÀNG,3
4,"[64, 134, 127, 139, 125, 153, 64, 148]",0,OTHER,Tôn hàng,4
5,"[144, 140, 204, 140, 204, 152, 144, 150]",0,OTHER,SL ĐVT,5
6,"[224, 144, 354, 138, 354, 150, 224, 156]",0,OTHER,Đơn giá Thành tiên,6
7,"[60, 154, 284, 160, 284, 172, 60, 168]",0,OTHER,02211005610000 Micomachi tôm 790 nt,7
8,"[322, 174, 364, 172, 364, 186, 322, 186]",0,OTHER,"30,000",8
9,"[168, 176, 192, 176, 192, 188, 168, 188]",0,OTHER,gon,9
10,"[243, 179, 279, 176, 280, 189, 244, 192]",0,OTHER,"6,000",10
11,"[58, 192, 344, 196, 344, 208, 57, 207]",0,OTHER,08935265210029 bánh trina mám thuy,11
12,"[322, 216, 366, 214, 366, 228, 322, 228]",0,OTHER,"24,000",12
13,"[166, 216, 192, 216, 192, 228, 166, 228]",0,OTHER,GOT,13
14,"[238, 220, 280, 218, 280, 232, 238, 232]",0,OTHER,"24,000",14
15,"[56, 236, 294, 240, 294, 252, 56, 250]",0,OTHER,08934680113885 bánh c76 NT,15
16,"[322, 256, 366, 254, 366, 268, 322, 268]",0,OTHER,"47,000",16
17,"[166, 258, 192, 258, 192, 268, 166, 268]",0,OTHER,GOT,17
18,"[238, 260, 280, 258, 280, 272, 238, 272]",0,OTHER,"47,000",18
19,"[54, 276, 336, 278, 336, 290, 54, 288]",0,OTHER,03936136161150 tương di chii 600g No,19
20,"[324, 298, 368, 296, 368, 310, 324, 310]",0,OTHER,"20,000",20
21,"[166, 298, 190, 298, 190, 310, 166, 310]",0,OTHER,Chá,21
22,"[238, 300, 282, 298, 282, 312, 238, 312]",0,OTHER,"20,000",22
23,"[52, 318, 304, 320, 304, 334, 52, 332]",0,OTHER,0991009160000 Tương ớt chinsu 250g nt,23
24,"[326, 340, 370, 338, 370, 352, 326, 352]",0,OTHER,"12,000",24
25,"[164, 340, 190, 340, 190, 352, 164, 352]",0,OTHER,CHA,25
26,"[240, 340, 282, 340, 282, 354, 240, 354]",0,OTHER,"12,000",26
