cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[178, 94, 346, 90, 346, 110, 178, 112]",16,ADDRESS,VM - QNH 1060-1062 Trần Phủ,0
1,"[176, 118, 346, 116, 346, 134, 176, 138]",16,ADDRESS,Số 1080-1082 Đường Trán Phú,1
2,"[18, 134, 138, 134, 138, 168, 18, 168]",15,SELLER,VinCommerce,2
3,"[188, 142, 334, 140, 334, 160, 188, 162]",16,ADDRESS,"TP. Câm Phá, Quảng Ninh",3
4,"[204, 166, 318, 164, 318, 184, 204, 186]",0,OTHER,02471066866-49301,4
5,"[130, 210, 268, 210, 268, 228, 130, 228]",0,OTHER,HÓA ƠN BÁN HẢNG,5
6,"[289, 231, 383, 228, 384, 247, 290, 250]",0,OTHER,11:00064552,6
7,"[14, 232, 240, 232, 240, 252, 14, 252]",17,TIMESTAMP,Ngày bán: 15/08/2020 07:20,7
8,"[271, 252, 391, 252, 391, 272, 271, 272]",0,OTHER,NVBH:09024144,8
9,"[16, 254, 88, 254, 88, 272, 16, 272]",0,OTHER,Quấy:001,9
10,"[16, 298, 90, 300, 90, 320, 16, 318]",0,OTHER,Mặt hàng,10
11,"[328, 300, 384, 296, 384, 316, 328, 316]",0,OTHER,T. Tiền,11
12,"[176, 300, 232, 300, 232, 320, 176, 318]",0,OTHER,ơn giá,12
13,"[264, 300, 282, 300, 282, 318, 264, 318]",0,OTHER,SL,13
14,"[18, 324, 170, 322, 170, 342, 18, 338]",0,OTHER,CP XƯƠNG ỐNG 5009,14
15,"[326, 342, 392, 342, 392, 360, 326, 360]",0,OTHER,200.000,15
16,"[272, 344, 294, 344, 294, 362, 272, 362]",0,OTHER,10,16
17,"[16, 344, 134, 344, 134, 362, 16, 362]",0,OTHER,08833058962067,17
18,"[184, 344, 240, 344, 240, 362, 184, 362]",0,OTHER,20.000,18
19,"[18, 384, 206, 386, 206, 406, 18, 406]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN,19
20,"[324, 388, 392, 386, 392, 404, 324, 404]",18,TOTAL_COST,200.000,20
21,"[18, 408, 162, 408, 162, 428, 18, 428]",0,OTHER,TỔNG TIỀN Ã GIẢM,21
22,"[18, 428, 144, 430, 144, 450, 18, 450]",0,OTHER,TIỀN KHÁCH TRẢI,22
23,"[324, 432, 392, 430, 392, 448, 324, 448]",0,OTHER,200.000,23
24,"[28, 452, 102, 454, 102, 472, 28, 472]",0,OTHER,TIỀN MẶT,24
25,"[324, 454, 392, 454, 392, 470, 324, 470]",0,OTHER,500.000,25
26,"[18, 472, 128, 476, 128, 494, 18, 494]",0,OTHER,TIỀN TRẢ LẠI,26
27,"[324, 476, 392, 476, 392, 494, 324, 494]",0,OTHER,300.000,27
28,"[88, 496, 318, 496, 318, 514, 88, 516]",0,OTHER,(Giá đã bao gốm thuế gigt),28
29,"[18, 540, 170, 540, 170, 558, 18, 558]",0,OTHER,ID thẻ khách hàng,29
30,"[248, 541, 392, 542, 392, 560, 247, 557]",0,OTHER,XXXXXXXXXXXXXXXXXX,30
31,"[18, 562, 238, 558, 238, 580, 18, 580]",0,OTHER,iểm tích(1.000VND-1 điểm),31
32,"[18, 582, 136, 582, 136, 602, 18, 602]",0,OTHER,Số tham chiếu,32
33,"[236, 584, 392, 584, 392, 604, 236, 604]",0,OTHER,00493000100064552,33
34,"[80, 648, 320, 652, 320, 670, 80, 666]",0,OTHER,Chỉ xuất hóa đơn trong ngày,34
35,"[20, 672, 392, 676, 392, 694, 20, 688]",0,OTHER,Tax invoice will be issued wate day,35
36,"[62, 714, 340, 718, 340, 736, 62, 732]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI,36
37,"[18, 736, 384, 742, 384, 760, 18, 754]",0,OTHER,Hot line: 02471066866 Website: Vinmart.com,37
