cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[236, 88, 446, 90, 446, 112, 236, 114]",15,SELLER,MINIMARTANAN,0
1,"[208, 126, 470, 126, 470, 146, 208, 148]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm,1
2,"[68, 154, 106, 154, 106, 174, 68, 174]",0,OTHER,Tel:,2
3,"[200, 204, 488, 206, 488, 238, 200, 236]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,3
4,"[88, 246, 190, 250, 187, 273, 88, 266]",0,OTHER,Tên hàng,4
5,"[222, 246, 322, 246, 322, 268, 222, 266]",0,OTHER,SL ĐVT,5
6,"[358, 247, 580, 244, 580, 268, 357, 267]",0,OTHER,Đơn giá Thành tiển,6
7,"[75, 277, 572, 280, 572, 302, 75, 299]",0,OTHER,09966096670013 Bánh gạe ngọt 150g NT,7
8,"[258, 312, 300, 312, 300, 330, 258, 330]",0,OTHER,GOI,8
9,"[204, 314, 214, 314, 214, 330, 204, 330]",0,OTHER,1,9
10,"[382, 312, 452, 312, 452, 334, 382, 336]",0,OTHER,"13,000",10
11,"[524, 314, 596, 314, 596, 334, 524, 336]",0,OTHER,"13,000",11
12,"[72, 350, 490, 352, 490, 374, 72, 376]",0,OTHER,08934680113878 Bánh Cosy KD NT,12
13,"[202, 388, 212, 388, 212, 404, 202, 404]",0,OTHER,1,13
14,"[258, 384, 300, 384, 300, 404, 258, 404]",0,OTHER,GOI,14
15,"[380, 386, 454, 384, 454, 410, 380, 408]",0,OTHER,"35,000",15
16,"[526, 386, 600, 386, 600, 408, 526, 410]",0,OTHER,"35,000",16
17,"[66, 426, 552, 426, 552, 448, 66, 450]",0,OTHER,08935011805684 ngũ cốc và lứt ca No,17
18,"[382, 462, 458, 462, 458, 486, 382, 486]",0,OTHER,"53,000",18
19,"[530, 462, 606, 462, 606, 486, 530, 486]",0,OTHER,"53,000",19
20,"[254, 462, 298, 462, 298, 482, 254, 482]",0,OTHER,GOI,20
21,"[50, 508, 146, 512, 146, 536, 48, 537]",0,OTHER,Tổng số:,21
22,"[232, 520, 244, 520, 244, 536, 232, 536]",0,OTHER,3,22
23,"[526, 544, 614, 544, 614, 570, 526, 570]",18,TOTAL_COST,"101,000",23
24,"[48, 540, 171, 548, 169, 577, 45, 571]",18,TOTAL_COST,Tổng cộng,24
25,"[48, 580, 222, 580, 222, 606, 48, 608]",0,OTHER,Tiển khách trả:,25
26,"[527, 584, 615, 581, 616, 610, 528, 613]",0,OTHER,"101,000",26
27,"[320, 584, 374, 584, 374, 610, 320, 610]",0,OTHER,VND,27
28,"[72, 636, 374, 638, 374, 666, 72, 666]",0,OTHER,THIS SD GD: 000AB22120080041911,28
29,"[376, 638, 611, 634, 613, 661, 376, 670]",17,OTHER,Ngày: 17/08/2020-14:33,28
30,"[262, 684, 424, 682, 424, 710, 262, 710]",0,OTHER,Thu ngân: BH2,29
31,"[122, 716, 528, 716, 528, 742, 122, 742]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách,30
