cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[238, 142, 357, 146, 355, 169, 236, 165]",15,SELLER,Saigon Co.op,0
1,"[182, 170, 414, 172, 414, 192, 182, 190]",15,SELLER,Co.op Food HN THE K-PARK S,1
2,"[172, 196, 422, 197, 421, 220, 172, 216]",0,OTHER,Ma so thuef 0309129918-115,2
3,"[96, 218, 478, 230, 478, 246, 93, 241]",0,OTHER,"Tang 1,5H42 - Toa K3, Cong trinh cu tu",3
4,"[102, 246, 468, 252, 468, 272, 102, 266]",0,OTHER,ket hop dich vu tren o dat H-CT2 thuoc,4
5,"[94, 272, 476, 278, 476, 298, 94, 292]",0,OTHER,Du an Dau tu xay dung Khu nha o Hi Brand Hoa,5
6,"[168, 300, 428, 305, 425, 327, 168, 318]",16,ADDRESS,"tai Khu do thi moi Van Phu,",6
7,"[142, 326, 442, 328, 442, 348, 142, 344]",0,OTHER,"Phu La, 0. Ha Dong , Noi",7
8,"[158, 350, 434, 358, 434, 374, 158, 370]",0,OTHER,Email: ofthekparkecoopfoodhyn,8
9,"[148, 374, 442, 382, 442, 398, 148, 394]",0,OTHER,Website: ww.saigoncoropacon vil,9
10,"[148, 424, 430, 428, 430, 448, 148, 446]",0,OTHER,PHIEUTINHTING,10
11,"[92, 448, 458, 458, 458, 478, 92, 468]",0,OTHER,Co gia tri xuat Hoa don Giat trong ngay,11
12,"[90, 494, 168, 498, 168, 518, 87, 515]",0,OTHER,Quay 102,12
13,"[218, 500, 466, 502, 466, 524, 218, 524]",17,TIMESTAMP,Ngay 20/09/2019: 19:25:34,13
14,"[90, 522, 466, 528, 466, 548, 90, 540]",0,OTHER,Nhan vien: Doan Quang Trung So HD: 08424,14
15,"[88, 566, 400, 576, 400, 598, 87, 589]",0,OTHER,00000002951030 Chuoi tieu song kg,15
16,"[88, 594, 148, 594, 148, 614, 88, 614]",0,OTHER,VATO57,16
17,"[236, 598, 324, 598, 324, 618, 236, 618]",0,OTHER,"21,000.00",17
18,"[404, 600, 464, 600, 464, 622, 404, 620]",0,OTHER,996.00,18
19,"[152, 620, 240, 622, 240, 640, 152, 640]",0,OTHER,20.476 KG,19
20,"[86, 642, 370, 650, 370, 672, 85, 663]",0,OTHER,00000002750790 Bi ngoi xg,20
21,"[86, 668, 146, 668, 146, 688, 86, 688]",0,OTHER,VATO5Z,21
22,"[234, 672, 324, 672, 324, 692, 234, 694]",0,OTHER,"24,000.00",22
23,"[376, 674, 464, 676, 464, 696, 376, 698]",0,OTHER,"10,512.00",23
24,"[148, 694, 238, 696, 238, 716, 148, 714]",0,OTHER,0.438 KG,24
25,"[83, 717, 398, 724, 398, 746, 83, 739]",0,OTHER,00000002951274 Chuoi Toug Ngay,25
26,"[84, 742, 142, 742, 142, 762, 84, 762]",0,OTHER,VATO57,26
27,"[232, 746, 320, 746, 320, 766, 232, 766]",0,OTHER,"13,900.00",27
28,"[384, 752, 462, 750, 462, 770, 384, 772]",0,OTHER,"16,783.201",28
29,"[150, 770, 236, 770, 236, 790, 150, 788]",0,OTHER,00:488 KG,29
30,"[80, 814, 308, 820, 308, 842, 77, 835]",18,TOTAL_COST,Tong so tien thanh toan:,30
31,"[374, 824, 462, 824, 462, 846, 374, 848]",18,TOTAL_COST,"27,291.20",31
32,"[126, 843, 307, 851, 305, 872, 124, 863]",0,OTHER,Tong so luong hang:,32
33,"[76, 889, 299, 900, 297, 920, 74, 912]",0,OTHER,Phuong thuo thanh toan:,33
34,"[76, 918, 154, 918, 154, 938, 76, 938]",0,OTHER,Tien nat,34
35,"[372, 926, 462, 926, 462, 948, 372, 946]",0,OTHER,"27,291.201",35
36,"[74, 942, 286, 948, 286, 968, 74, 964]",0,OTHER,Bao gon thue gigt 575,36
37,"[392, 952, 462, 952, 462, 974, 392, 976]",0,OTHER,",297.58",37
38,"[72, 968, 384, 976, 383, 999, 72, 990]",0,OTHER,THONG TIN KHẠCH HANG THAN THIET:,38
39,"[90, 996, 142, 1000, 142, 1018, 90, 1016]",0,OTHER,Ma SD,39
40,"[88, 1022, 158, 1022, 158, 1044, 88, 1042]",0,OTHER,Ho ten,40
41,"[88, 1048, 224, 1054, 224, 1076, 88, 1070]",0,OTHER,Dien dau ngay tu,41
42,"[86, 1074, 352, 1082, 352, 1102, 86, 1096]",0,OTHER,Diem su dung trong hoa dona thuo,42
43,"[72, 1155, 452, 1170, 452, 1188, 70, 1176]",0,OTHER,Tran trong cam on Quy Khach dan mua,43
44,"[100, 1182, 412, 1192, 412, 1214, 97, 1205]",0,OTHER,hang tai Co.opfood. Hen gap lai thi thuong lai,44
45,"[58, 1238, 382, 1246, 382, 1268, 58, 1258]",0,OTHER,HA HD: EOERACMMAANMY 10:26 25051,45
46,"[408, 1248, 460, 1248, 460, 1270, 408, 1270]",0,OTHER,25051,46
