cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[292, 118, 603, 122, 601, 151, 292, 144]",15,SELLER,CỬA HÀNG NĂM OÁNH,0
1,"[132, 154, 760, 166, 760, 192, 131, 177]",16,ADDRESS,"Thôn Phú Thuy, Xã Phú Thị, Huyện Gia Lâm, TP Hà Nội",1
2,"[290, 194, 606, 200, 605, 226, 289, 218]",0,OTHER,0869322496 - 02438765210,2
3,"[304, 290, 597, 290, 598, 319, 304, 320]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[120, 348, 298, 348, 298, 374, 120, 372]",0,OTHER,Số: SON55598,4
5,"[572, 350, 773, 347, 773, 371, 572, 378]",17,TIMESTAMP,Ngày: 11-08-2020,5
6,"[382, 458, 488, 460, 488, 492, 380, 485]",0,OTHER,Đơn giá,6
7,"[639, 458, 784, 452, 784, 482, 639, 484]",0,OTHER,Thành tiền,7
8,"[116, 460, 158, 460, 158, 486, 116, 486]",0,OTHER,SL,8
9,"[114, 508, 479, 511, 477, 546, 114, 540]",0,OTHER,SC nha đam VNM 1000,9
10,"[674, 554, 794, 554, 794, 586, 674, 586]",0,OTHER,"125,000",10
11,"[112, 562, 154, 562, 154, 594, 112, 594]",0,OTHER,20,11
12,"[394, 560, 480, 560, 480, 592, 394, 592]",0,OTHER,"6,250",12
13,"[110, 618, 705, 607, 706, 639, 110, 648]",0,OTHER,Sữa tươi TT Dalat milk ít đường 180ml,13
14,"[696, 658, 806, 658, 806, 690, 696, 692]",0,OTHER,"27,000",14
15,"[424, 662, 482, 662, 482, 698, 424, 698]",0,OTHER,750,15
16,"[108, 727, 597, 715, 598, 750, 107, 760]",0,OTHER,Yomost Bạc hà Việt quất 170ml,16
17,"[708, 770, 817, 764, 819, 801, 708, 806]",0,OTHER,"25,000",17
18,"[392, 777, 485, 773, 487, 809, 394, 814]",0,OTHER,"6,250",18
19,"[104, 788, 122, 788, 122, 814, 104, 814]",0,OTHER,4,19
20,"[100, 844, 519, 833, 520, 870, 100, 880]",0,OTHER,Sữa Yomost dâu 180ml/48,20
21,"[712, 888, 828, 886, 828, 924, 712, 926]",0,OTHER,"25,000",21
22,"[392, 896, 487, 890, 489, 930, 394, 936]",0,OTHER,"6,250",22
23,"[100, 906, 118, 906, 118, 932, 100, 932]",0,OTHER,4,23
24,"[96, 966, 482, 956, 482, 994, 96, 1000]",0,OTHER,Sữa Yomost cam 170ml,24
25,"[720, 1010, 836, 1008, 836, 1046, 720, 1048]",0,OTHER,"25,000",25
26,"[394, 1018, 489, 1014, 491, 1055, 396, 1059]",0,OTHER,"6,250",26
27,"[704, 1082, 842, 1082, 842, 1124, 704, 1124]",18,TOTAL_COST,"227,000",27
28,"[91, 1093, 349, 1102, 344, 1142, 87, 1136]",18,TOTAL_COST,Cộng tiên hàng,28
29,"[226, 1190, 710, 1180, 710, 1222, 226, 1228]",0,OTHER,"Cám ơn quý khách, Hẹn gặp lại:",29
