cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[174, 12, 402, 6, 402, 20, 174, 30]",16,ADDRESS,Chợ Sùi Phu Thị Gia Lam,0
1,"[58, 42, 90, 42, 90, 56, 58, 56]",0,OTHER,Tel:,1
2,"[168, 76, 416, 72, 416, 102, 168, 106]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,2
3,"[304, 112, 492, 108, 492, 128, 304, 132]",0,OTHER,Đơn giá Thành tiển,3
4,"[76, 116, 272, 114, 272, 134, 76, 134]",0,OTHER,Tên hàng sl đvt,4
5,"[68, 142, 492, 140, 492, 158, 68, 162]",0,OTHER,"201003160000 DG Rejoice Ngăn rung, MM Thuy",5
6,"[442, 168, 504, 166, 504, 186, 442, 188]",0,OTHER,"94,000",6
7,"[322, 172, 382, 170, 382, 190, 322, 190]",0,OTHER,"94,000",7
8,"[224, 174, 258, 174, 258, 188, 224, 188]",0,OTHER,CHA,8
9,"[66, 200, 366, 204, 366, 222, 66, 220]",0,OTHER,291013470000 ST THEBOL 650G NITH,9
10,"[444, 228, 506, 226, 506, 246, 444, 248]",0,OTHER,"98,000",10
11,"[222, 232, 258, 232, 258, 246, 222, 246]",0,OTHER,CH4,11
12,"[322, 230, 384, 230, 384, 250, 322, 250]",0,OTHER,"98,000",12
13,"[66, 256, 470, 260, 470, 278, 65, 278]",0,OTHER,08834868142706 NRC SUNINH NTH CHONG,13
14,"[446, 286, 506, 284, 506, 304, 446, 306]",0,OTHER,"12,000",14
15,"[222, 292, 258, 292, 258, 308, 222, 308]",0,OTHER,CHA,15
16,"[324, 292, 384, 290, 384, 310, 324, 312]",0,OTHER,"12,000",16
17,"[66, 318, 478, 318, 478, 338, 65, 339]",0,OTHER,0984673606820 Sữa chua đường,17
18,"[64, 348, 172, 350, 172, 370, 64, 368]",0,OTHER,Giá đăng ký,18
19,"[338, 352, 386, 348, 386, 368, 338, 368]",0,OTHER,"6,000",19
20,"[446, 376, 508, 374, 508, 394, 446, 394]",0,OTHER,"21,000",20
21,"[334, 376, 384, 376, 384, 394, 334, 394]",0,OTHER,"5,250",21
22,"[64, 376, 140, 378, 140, 396, 64, 396]",0,OTHER,Giá bán:,22
23,"[222, 380, 258, 380, 258, 394, 222, 394]",0,OTHER,HOP,23
24,"[64, 410, 434, 406, 434, 424, 64, 430]",0,OTHER,031700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,24
25,"[334, 436, 384, 434, 384, 454, 334, 456]",0,OTHER,"8,500",25
26,"[222, 438, 256, 438, 256, 454, 222, 454]",0,OTHER,HOP,26
27,"[446, 434, 510, 434, 510, 452, 446, 452]",0,OTHER,"34,000",27
28,"[61, 470, 486, 466, 486, 486, 62, 491]",0,OTHER,0994680042581 Bánh mì và siêu mề ntay,28
29,"[334, 496, 386, 494, 386, 514, 334, 514]",0,OTHER,"6,000",29
30,"[460, 496, 512, 494, 512, 514, 460, 516]",0,OTHER,"6,000",30
31,"[220, 498, 254, 498, 254, 514, 220, 514]",0,OTHER,CAT,31
32,"[58, 530, 452, 528, 452, 546, 58, 550]",0,OTHER,08935001712527 keo Alpenliebe gói 120g NT,32
33,"[324, 556, 386, 556, 386, 574, 324, 576]",0,OTHER,"10,000",33
34,"[452, 554, 516, 554, 516, 574, 452, 574]",0,OTHER,"10,000",34
35,"[216, 558, 254, 558, 254, 576, 216, 576]",0,OTHER,IGOLI,35
36,"[52, 592, 378, 588, 378, 608, 52, 612]",0,OTHER,091043280000 bánh mì no,36
37,"[452, 616, 520, 616, 520, 636, 452, 638]",0,OTHER,"20,000",37
38,"[322, 618, 388, 618, 388, 638, 322, 640]",0,OTHER,"20,000",38
39,"[214, 620, 252, 620, 252, 638, 214, 638]",0,OTHER,CAI,39
40,"[51, 655, 426, 654, 426, 672, 52, 678]",0,OTHER,0994455010026 BVS Diana dày cánh nt,40
41,"[454, 684, 522, 684, 522, 704, 454, 704]",0,OTHER,"32,000",41
42,"[324, 684, 388, 684, 388, 704, 324, 706]",0,OTHER,"16,000",42
43,"[164, 688, 176, 688, 176, 704, 164, 704]",0,OTHER,2,43
44,"[212, 686, 250, 686, 250, 704, 212, 704]",0,OTHER,CAI,44
45,"[50, 722, 484, 720, 484, 742, 50, 744]",0,OTHER,8934755020063 bvs diana siêu thấm cool fr NO,45
46,"[324, 754, 390, 754, 390, 774, 324, 774]",0,OTHER,"18,000",46
47,"[458, 752, 524, 752, 524, 774, 458, 774]",0,OTHER,"18,000",47
48,"[212, 754, 252, 754, 252, 772, 212, 772]",0,OTHER,GOT,48
49,"[42, 796, 122, 798, 122, 820, 40, 819]",0,OTHER,Tổng số:,49
50,"[178, 802, 206, 802, 206, 820, 178, 820]",0,OTHER,17,50
51,"[450, 826, 530, 826, 530, 848, 450, 848]",0,OTHER,"345,000",51
52,"[41, 822, 143, 829, 141, 852, 37, 851]",0,OTHER,Tổng cộng,52
53,"[40, 870, 128, 872, 128, 894, 40, 898]",18,TOTAL_COST,Tổng tiền,53
54,"[450, 870, 530, 870, 530, 892, 450, 892]",18,TOTAL_COST,"345,000",54
55,"[38, 901, 188, 902, 188, 922, 40, 924]",0,OTHER,Tiền khách trả:,55
56,"[270, 902, 316, 902, 316, 924, 270, 924]",0,OTHER,VND,56
57,"[452, 904, 534, 904, 534, 930, 452, 926]",0,OTHER,"400,000",57
58,"[30, 940, 182, 940, 182, 962, 30, 962]",0,OTHER,Tiên trả lại VND,58
59,"[464, 942, 532, 942, 532, 964, 464, 964]",0,OTHER,"55,000",59
60,"[58, 986, 319, 984, 319, 1010, 58, 1012]",0,OTHER,SỐ GD: 000AB2212008002838,60
61,"[322, 986, 528, 986, 528, 1010, 322, 1014]",17,OTHER,Ngày: 11/08/2020-17:57,60
