cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[222, 114, 478, 116, 478, 136, 222, 138]",16,ADDRESS,VI M4 QNH Dư án KDC lân biên coc biết,0
1,"[234, 146, 466, 146, 466, 168, 234, 170]",16,ADDRESS,"DA khu DCLB coc 6, P. Câm Sơn Chi",1
2,"[28, 166, 186, 166, 186, 210, 28, 210]",15,SELLER,VinCommerce,2
3,"[248, 178, 452, 178, 452, 204, 248, 202]",16,ADDRESS,"TP. Câm Phà, T. Quảng Ninh",3
4,"[276, 210, 422, 208, 422, 234, 276, 236]",0,OTHER,024.71066856-44561,4
5,"[342, 264, 516, 266, 516, 286, 342, 286]",17,TIMESTAMP,Thời gian:21:41,5
6,"[28, 262, 206, 264, 206, 286, 28, 290]",17,TIMESTAMP,Ngày: 14/08/2020,6
7,"[192, 294, 356, 296, 355, 317, 192, 316]",0,OTHER,Giao dịch treo,7
8,"[28, 320, 122, 322, 122, 344, 28, 346]",0,OTHER,Quẩy::001,8
9,"[365, 321, 515, 321, 515, 343, 365, 343]",0,OTHER,NVBH:09021213,9
10,"[28, 350, 206, 350, 206, 372, 28, 372]",0,OTHER,Tên NV:4456POS2,10
11,"[28, 378, 194, 380, 194, 402, 28, 404]",0,OTHER,Số GD treo: 1995,11
