cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[386, 132, 574, 138, 571, 167, 386, 158]",15,SELLER,VM 1 HNI 32 Láng Trung,0
1,"[348, 166, 610, 174, 610, 202, 348, 192]",16,ADDRESS,"Sô 32 ngô Láng Trung, P. Làng Hạ Nha",1
2,"[148, 194, 304, 194, 304, 238, 148, 238]",15,SELLER,VinCommerce,2
3,"[404, 206, 550, 208, 550, 234, 404, 230]",16,ADDRESS,"Đông Đã, Hà Nội",3
4,"[396, 238, 546, 244, 546, 264, 396, 266]",0,OTHER,024171086846-38111,4
5,"[296, 294, 490, 298, 490, 322, 296, 320]",0,OTHER,HÓA ĐƠN BÁN HẢNG,5
6,"[508, 326, 648, 333, 647, 358, 507, 352]",0,OTHER,HD:002083950,6
7,"[146, 328, 438, 330, 438, 352, 146, 350]",17,TIMESTAMP,Ngày bán:11/08/2020 19:04,7
8,"[146, 354, 236, 356, 236, 376, 146, 378]",0,OTHER,Quẩy:0011,8
9,"[484, 360, 646, 364, 646, 386, 483, 383]",0,OTHER,NVBH:090141001,9
10,"[138, 408, 237, 412, 235, 437, 138, 434]",0,OTHER,Mặt hàng,10
11,"[350, 418, 436, 420, 436, 448, 350, 444]",0,OTHER,Đơn giá,11
12,"[480, 424, 504, 424, 504, 446, 480, 446]",0,OTHER,SL,12
13,"[566, 424, 642, 424, 642, 450, 566, 450]",0,OTHER,T. Tiển,13
14,"[138, 438, 576, 456, 576, 478, 138, 464]",0,OTHER,Nước dửa tưu1 culufresh TPA 330m 1 T24,14
15,"[134, 466, 292, 471, 291, 494, 133, 490]",0,OTHER,8934673719360,15
16,"[360, 482, 432, 482, 432, 504, 360, 502]",0,OTHER,13.000,16
17,"[562, 486, 638, 488, 638, 510, 562, 508]",0,OTHER,52.000,17
18,"[134, 494, 608, 516, 608, 538, 134, 516]",0,OTHER,V. NN Khăn trải bàn đa năn 100 10cái nham 1901,18
19,"[128, 519, 289, 528, 287, 552, 127, 543]",0,OTHER,8936085982547,19
20,"[356, 538, 430, 540, 430, 562, 356, 560]",0,OTHER,56.000,20
21,"[558, 546, 634, 546, 634, 566, 558, 566]",0,OTHER,56.000,21
22,"[126, 574, 380, 594, 380, 616, 124, 601]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN,22
23,"[546, 600, 634, 600, 634, 620, 546, 620]",18,TOTAL_COST,108.000,23
24,"[122, 604, 332, 618, 332, 642, 122, 632]",0,OTHER,TỔNG TIỀN ĐÃ GIẢM,24
25,"[622, 630, 634, 630, 634, 644, 622, 644]",0,OTHER,O,25
26,"[120, 634, 296, 644, 296, 670, 120, 662]",0,OTHER,TIỀN KHÁCH TRẢ,26
27,"[544, 650, 634, 652, 634, 672, 544, 672]",0,OTHER,108.000,27
28,"[130, 666, 232, 672, 232, 694, 130, 694]",0,OTHER,TIÊN MẶT,28
29,"[542, 680, 634, 680, 634, 702, 542, 704]",0,OTHER,500.000,29
30,"[128, 698, 194, 698, 194, 722, 128, 722]",0,OTHER,Vinid,30
31,"[566, 712, 636, 712, 636, 736, 566, 734]",0,OTHER,8.000,31
32,"[112, 726, 266, 734, 266, 756, 112, 754]",0,OTHER,TIỀN TRẢ LẠI,32
33,"[544, 742, 636, 744, 636, 764, 544, 764]",0,OTHER,400.000,33
34,"[212, 762, 533, 772, 531, 798, 212, 788]",0,OTHER,(Giá đã bao gồm thuế gtgt),34
35,"[106, 822, 324, 827, 321, 855, 106, 844]",0,OTHER,ID thẻ khách hàng,35
36,"[430, 830, 636, 837, 635, 861, 429, 854]",0,OTHER,XXXXXXXXXXXXXXXX,36
37,"[102, 850, 422, 858, 422, 886, 102, 878]",0,OTHER,Điểm tích(1.000VND-1 điểm),37
38,"[624, 872, 636, 872, 636, 892, 624, 892]",0,OTHER,3,38
39,"[100, 882, 270, 886, 270, 914, 100, 910]",0,OTHER,Số tham chiếu,39
40,"[416, 894, 638, 901, 637, 927, 416, 920]",0,OTHER,003841001002083950,40
41,"[180, 980, 536, 994, 536, 1024, 180, 1010]",0,OTHER,Chỉ xuất hóa đơn trong ngày,41
42,"[84, 1014, 636, 1032, 636, 1060, 84, 1038]",0,OTHER,Tax invoice will be issued within same day,42
43,"[142, 1084, 562, 1100, 562, 1126, 142, 1114]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI,43
44,"[68, 1120, 632, 1138, 632, 1162, 68, 1146]",0,OTHER,Hotline: 02471066866 Website: Vinmart.com,44
