cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[216, 66, 452, 66, 452, 86, 216, 86]",15,SELLER,MINIMARTANAN,0
1,"[182, 94, 479, 106, 477, 125, 180, 115]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm,1
2,"[38, 134, 64, 134, 64, 150, 38, 150]",0,OTHER,el:,2
3,"[166, 172, 504, 178, 504, 210, 166, 208]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[256, 222, 308, 222, 308, 244, 256, 244]",0,OTHER,ĐVT,4
5,"[36, 220, 155, 226, 153, 251, 34, 243]",0,OTHER,Tên hàng,5
6,"[192, 222, 226, 222, 226, 246, 192, 246]",0,OTHER,SL,6
7,"[354, 224, 609, 225, 607, 248, 354, 246]",0,OTHER,Đơn giá Thành tiên,7
8,"[24, 260, 590, 264, 590, 288, 24, 288]",0,OTHER,00120100054000011 vỉ sữa chua men sống prob NT,8
9,"[246, 302, 278, 302, 278, 322, 246, 322]",0,OTHER,VI,9
10,"[378, 302, 462, 302, 462, 326, 378, 328]",0,OTHER,"21,000",10
11,"[544, 302, 628, 302, 628, 326, 544, 324]",0,OTHER,"21,000",11
12,"[20, 344, 576, 346, 576, 372, 20, 370]",0,OTHER,0991007930000 Sữa chua đường NT,12
13,"[18, 382, 174, 384, 174, 412, 18, 410]",0,OTHER,Giá đăng ký:,13
14,"[396, 386, 466, 386, 466, 410, 396, 408]",0,OTHER,"6,000",14
15,"[396, 424, 464, 424, 464, 450, 396, 450]",0,OTHER,"5,250",15
16,"[16, 424, 122, 424, 122, 450, 16, 450]",0,OTHER,Giá bán:,16
17,"[238, 426, 288, 426, 288, 446, 238, 446]",0,OTHER,HOP,17
18,"[546, 426, 630, 426, 630, 452, 546, 452]",0,OTHER,"21,000",18
19,"[19, 473, 606, 472, 606, 496, 20, 500]",0,OTHER,08936017366605 nam ngư siêu tiết kiệm nt,19
20,"[548, 512, 632, 510, 632, 536, 548, 538]",0,OTHER,"11,000",20
21,"[246, 512, 280, 512, 280, 532, 246, 532]",0,OTHER,CH,21
22,"[380, 510, 462, 510, 462, 536, 380, 536]",0,OTHER,"11,000",22
23,"[11, 561, 112, 570, 112, 594, 7, 593]",0,OTHER,Tổng sối,23
24,"[556, 602, 640, 602, 640, 630, 556, 628]",18,TOTAL_COST,"53,000",24
25,"[11, 599, 141, 611, 139, 637, 7, 631]",18,TOTAL_COST,Tổng cộng,25
26,"[12, 653, 128, 660, 128, 686, 9, 685]",0,OTHER,Tổng tiền,26
27,"[556, 656, 640, 654, 640, 680, 556, 680]",0,OTHER,"53,000",27
28,"[14, 694, 204, 694, 204, 718, 14, 720]",0,OTHER,Tiền khách trả:,28
29,"[540, 696, 638, 696, 638, 720, 540, 720]",0,OTHER,"500,000",29
30,"[312, 698, 370, 698, 370, 722, 312, 722]",0,OTHER,VND,30
31,"[536, 738, 634, 738, 634, 764, 536, 764]",0,OTHER,"447,000",31
32,"[18, 740, 200, 740, 200, 766, 18, 764]",0,OTHER,Tiên trả lại VND:,32
33,"[48, 790, 372, 792, 372, 818, 48, 816]",0,OTHER,SỐ GD: 000AC2212008001486,33
34,"[374, 792, 626, 790, 626, 812, 374, 822]",17,OTHER,Ngày: 11/08/2020-17:47,33
35,"[252, 832, 424, 834, 424, 858, 249, 853]",0,OTHER,Thu ngân: BH3,34
36,"[110, 858, 532, 864, 532, 884, 110, 878]",0,OTHER,Xin cám ơn và hẹn gắp lạch,35
