cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[120, 52, 248, 54, 248, 72, 120, 68]",15,SELLER,AMINIMART ANAN,0
1,"[102, 74, 262, 80, 262, 92, 102, 88]",16,ADDRESS,Chợ Sui Phu Thị Gia Lam,1
2,"[96, 120, 270, 128, 270, 148, 96, 144]",0,OTHER,HÓA ĐƠN BÁN HÀNG,2
3,"[30, 146, 93, 150, 91, 165, 30, 160]",0,OTHER,Tôn hàng,3
4,"[110, 150, 128, 150, 128, 164, 110, 164]",0,OTHER,SL,4
5,"[144, 152, 172, 152, 172, 164, 144, 164]",0,OTHER,ĐVT,5
6,"[194, 154, 242, 154, 242, 170, 194, 166]",0,OTHER,Đơn giá,6
7,"[256, 154, 322, 154, 322, 166, 256, 168]",0,OTHER,Thành tiên,7
8,"[26, 168, 266, 176, 266, 188, 26, 182]",0,OTHER,08938510494014 Bốt mi 500g Nt,8
9,"[134, 192, 160, 192, 160, 204, 134, 204]",0,OTHER,Gor,9
10,"[212, 194, 248, 194, 248, 208, 212, 208]",0,OTHER,"8,000",10
11,"[294, 193, 329, 190, 330, 205, 296, 208]",0,OTHER,"8,000",11
12,"[24, 209, 314, 216, 314, 230, 23, 224]",0,OTHER,091900100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,12
13,"[134, 234, 160, 234, 160, 246, 134, 246]",0,OTHER,GOT,13
14,"[206, 236, 248, 236, 248, 250, 206, 248]",0,OTHER,"30,000",14
15,"[288, 236, 330, 236, 330, 250, 288, 250]",0,OTHER,"30,000",15
16,"[22, 254, 300, 258, 300, 272, 22, 268]",0,OTHER,0991008350000 SCU SUSU DÂU VNM 110m NT,16
17,"[22, 274, 100, 278, 100, 290, 22, 288]",0,OTHER,Giá đăng ký,17
18,"[212, 278, 248, 278, 248, 292, 212, 292]",0,OTHER,"4,500",18
19,"[20, 296, 74, 298, 74, 310, 20, 310]",0,OTHER,Giá bán;,19
20,"[90, 298, 108, 298, 108, 310, 90, 310]",0,OTHER,48,20
21,"[134, 298, 158, 298, 158, 310, 134, 310]",0,OTHER,HOP,21
22,"[212, 298, 246, 298, 246, 312, 212, 312]",0,OTHER,"3,917",22
23,"[280, 298, 330, 298, 330, 312, 280, 312]",0,OTHER,"188,016",23
24,"[18, 316, 272, 322, 272, 336, 18, 334]",0,OTHER,091020810000 rrc thái chai trắng 4kg NT,24
25,"[132, 342, 156, 342, 156, 354, 132, 354]",0,OTHER,CHA,25
26,"[204, 342, 246, 342, 246, 356, 204, 354]",0,OTHER,"95,000",26
27,"[288, 342, 330, 340, 330, 356, 288, 356]",0,OTHER,"95,000",27
28,"[14, 368, 70, 370, 70, 384, 14, 384]",0,OTHER,Tổng số,28
29,"[110, 372, 124, 372, 124, 384, 110, 384]",0,OTHER,51,29
30,"[14, 386, 82, 390, 82, 404, 12, 402]",0,OTHER,Tổng cộng,30
31,"[282, 388, 334, 388, 334, 402, 282, 402]",0,OTHER,"321,016",31
32,"[10, 412, 80, 418, 80, 432, 8, 431]",18,TOTAL_COST,Tổng tiển,32
33,"[280, 414, 334, 414, 334, 432, 280, 432]",18,TOTAL_COST,"321,016",33
34,"[168, 438, 196, 438, 196, 450, 168, 450]",0,OTHER,VND,34
35,"[10, 434, 112, 436, 112, 450, 10, 452]",0,OTHER,Tiển khách trải,35
36,"[280, 436, 334, 436, 334, 454, 280, 454]",0,OTHER,"321,016",36
37,"[82, 470, 178, 470, 178, 486, 82, 486]",0,OTHER,010000001324,37
38,"[12, 472, 66, 470, 66, 488, 12, 488]",0,OTHER,Mã thỏ:,38
39,"[14, 496, 172, 494, 172, 510, 14, 512]",0,OTHER,(0) đoàn thị lan phương,39
40,"[12, 518, 86, 520, 86, 532, 12, 534]",0,OTHER,Điêm mua:,40
41,"[316, 520, 332, 520, 332, 532, 316, 532]",0,OTHER,32,41
42,"[308, 542, 332, 542, 332, 556, 308, 556]",0,OTHER,188,42
43,"[12, 542, 114, 540, 114, 554, 12, 556]",0,OTHER,Điêm hiện thời:,43
44,"[10, 561, 115, 560, 116, 575, 8, 579]",0,OTHER,Hạng hiện thời:,44
45,"[290, 586, 334, 584, 334, 602, 290, 600]",0,OTHER,"28,670",45
46,"[10, 586, 164, 586, 160, 603, 10, 602]",0,OTHER,Giá trị thường tích luy:,46
47,"[20, 616, 195, 608, 196, 627, 20, 632]",0,OTHER,SỐ GD: 000AC2212008001914,47
48,"[194, 612, 330, 617, 329, 632, 194, 632]",17,OTHER,Ngày: 14/08/2020-14:39,47
49,"[132, 640, 224, 636, 224, 654, 132, 654]",0,OTHER,Thu ngân: BH3,48
50,"[54, 658, 282, 660, 282, 674, 54, 670]",0,OTHER,Xin cầm an và hẹn gập lại quý khách,49
