cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[188, 84, 316, 80, 316, 98, 188, 100]",16,ADDRESS,VI44 ONH 112 Thanh Niên,0
1,"[170, 106, 336, 102, 336, 120, 170, 124]",16,ADDRESS,"10 Thanh Niên, P. Câm Thành",1
2,"[40, 124, 144, 124, 144, 150, 40, 150]",15,SELLER,Vincommerce,2
3,"[190, 128, 314, 124, 314, 140, 190, 142]",16,ADDRESS,"TP. Cảm Pha, Quảng Ninh",3
4,"[202, 148, 300, 146, 300, 162, 202, 162]",0,OTHER,0024.71063865:39671,4
5,"[138, 184, 266, 182, 266, 196, 138, 198]",0,OTHER,NGA ĐƠN BÁN HÀNG,5
6,"[278, 200, 368, 200, 368, 214, 278, 214]",0,OTHER,10:00132233,6
7,"[38, 206, 234, 202, 234, 216, 38, 220]",17,TIMESTAMP,Ngay ban: 15/08/2020,7
8,"[38, 224, 102, 224, 102, 236, 38, 238]",0,OTHER,Quay 2001,8
9,"[264, 220, 367, 216, 368, 231, 264, 234]",0,OTHER,011801:09015347,9
10,"[320, 258, 370, 252, 370, 270, 320, 270]",0,OTHER,T. Tiên,10
11,"[176, 258, 234, 258, 234, 276, 176, 274]",0,OTHER,Đơn giá,11
12,"[264, 260, 280, 260, 280, 272, 264, 272]",0,OTHER,SL,12
13,"[38, 262, 104, 262, 104, 276, 38, 276]",0,OTHER,vật háng,13
14,"[38, 280, 352, 274, 352, 292, 38, 294]",0,OTHER,VMG-Snack R.biển cuộn và nướng49,14
15,"[342, 296, 368, 296, 368, 310, 342, 310]",0,OTHER,800,15
16,"[38, 300, 140, 300, 140, 312, 38, 312]",0,OTHER,03934954005984,16
17,"[208, 300, 234, 300, 234, 312, 208, 312]",0,OTHER,800,17
18,"[130, 318, 258, 316, 258, 330, 130, 332]",0,OTHER,mực 39/3.6g t144,18
19,"[38, 318, 94, 318, 94, 332, 38, 332]",0,OTHER,Bigrot,19
20,"[326, 336, 368, 332, 368, 348, 326, 348]",0,OTHER,7.000,20
21,"[206, 334, 234, 334, 234, 350, 206, 350]",0,OTHER,000,21
22,"[38, 338, 140, 338, 140, 350, 38, 352]",0,OTHER,088587024108f8,22
23,"[206, 354, 312, 356, 312, 372, 206, 372]",0,OTHER,năng cây 45gr,23
24,"[38, 356, 188, 354, 188, 370, 38, 370]",0,OTHER,Ponnierxuc xách mực,24
25,"[318, 376, 368, 374, 368, 388, 318, 388]",0,OTHER,11.100,25
26,"[38, 376, 140, 376, 140, 390, 38, 390]",0,OTHER,08996633875319,26
27,"[208, 376, 234, 376, 234, 390, 208, 390]",0,OTHER,100,27
28,"[38, 394, 312, 394, 312, 408, 38, 408]",0,OTHER,MIRINDA NƯỚC SODA KHM TON TH4 THA NGHI THU THA,28
29,"[38, 414, 132, 414, 132, 428, 38, 428]",0,OTHER,0393458836207,29
30,"[340, 410, 368, 410, 368, 428, 340, 428]",0,OTHER,000,30
31,"[208, 414, 234, 414, 234, 428, 208, 428]",0,OTHER,000,31
32,"[38, 434, 232, 430, 232, 448, 38, 446]",0,OTHER,CLOSEUP KDR Lửa băng 1809,32
33,"[316, 452, 368, 450, 368, 466, 316, 466]",0,OTHER,31.000,33
34,"[38, 452, 140, 452, 140, 466, 38, 466]",0,OTHER,08934839125028,34
35,"[184, 454, 234, 452, 234, 466, 184, 466]",0,OTHER,"31,000",35
36,"[46, 472, 334, 472, 334, 486, 46, 486]",0,OTHER,PPO BẢN CHÁI ĐÁNH RANG CHARCOA 1,36
37,"[38, 490, 140, 490, 140, 504, 38, 504]",0,OTHER,08938500579561,37
