cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[142, 52, 240, 52, 240, 64, 142, 64]",16,ADDRESS,WOODING,0
1,"[142, 68, 256, 68, 256, 80, 142, 82]",16,ADDRESS,BAS THONG THE THE THE THE THE THE THE THE THE THE,1
2,"[30, 78, 114, 78, 114, 102, 30, 102]",15,SELLER,VinCommerce,2
3,"[163, 85, 230, 86, 230, 98, 164, 98]",16,ADDRESS,"Camer, can",3
4,"[160, 100, 238, 100, 238, 114, 160, 114]",0,OTHER,0247101000019,4
5,"[108, 130, 204, 130, 204, 142, 108, 142]",0,OTHER,LOÀY ON DÂN THÁNG,5
6,"[30, 144, 186, 144, 186, 158, 30, 158]",17,TIMESTAMP,0310100/2020 072200000000000000000,6
7,"[220, 144, 284, 144, 284, 156, 220, 156]",0,OTHER,0000004425,7
8,"[30, 158, 80, 160, 80, 172, 30, 172]",0,OTHER,quây:001,8
9,"[206, 159, 290, 159, 290, 171, 206, 171]",0,OTHER,NVID1:00024144,9
10,"[30, 190, 80, 190, 80, 202, 30, 200]",0,OTHER,Một hang,10
11,"[246, 190, 284, 190, 284, 202, 246, 202]",0,OTHER,1.TTEN,11
12,"[140, 192, 179, 188, 181, 201, 140, 202]",0,OTHER,con gia,12
13,"[28, 204, 260, 206, 260, 218, 28, 216]",0,OTHER,Tác Envy New20a land 00-1100/ko,13
14,"[40, 220, 80, 220, 80, 232, 40, 232]",0,OTHER,032000000,14
15,"[28, 234, 109, 234, 109, 246, 28, 246]",0,OTHER,02602393008326,15
16,"[140, 236, 186, 236, 186, 248, 140, 248]",0,OTHER,131.040,16
17,"[244, 236, 290, 234, 290, 248, 244, 248]",0,OTHER,131.040,17
18,"[28, 250, 42, 250, 42, 260, 28, 260]",0,OTHER,XM,18
19,"[244, 252, 290, 252, 290, 262, 244, 260]",0,OTHER,12.14,19
20,"[28, 264, 234, 266, 234, 278, 28, 276]",0,OTHER,"Vi khoa cherish ng, 11 2019 1900",20
21,"[28, 280, 160, 280, 160, 292, 28, 292]",0,OTHER,"011000/KG XE, 44 1920",21
22,"[26, 294, 110, 296, 110, 308, 26, 308]",0,OTHER,06658812003429,22
23,"[162, 296, 184, 296, 184, 308, 162, 308]",0,OTHER,962,23
24,"[250, 298, 290, 296, 290, 308, 250, 308]",0,OTHER,97.962,24
25,"[26, 310, 178, 312, 178, 324, 26, 322]",0,OTHER,JOMI BONG TAY TRANG 120M,25
26,"[26, 326, 108, 326, 108, 338, 26, 338]",0,OTHER,08691275850227,26
27,"[144, 328, 184, 326, 184, 338, 144, 338]",0,OTHER,34.000,27
28,"[250, 328, 292, 326, 292, 338, 250, 338]",0,OTHER,34.000,28
29,"[250, 342, 290, 342, 290, 354, 250, 354]",0,OTHER,12.000,29
30,"[26, 356, 254, 358, 254, 370, 26, 368]",0,OTHER,CHC CHC MI LY HANG HAN DIỆN CHUA CHUA CAY 7 THUY THANH NGUY,30
31,"[24, 372, 108, 372, 108, 384, 24, 384]",0,OTHER,09944563651138,31
32,"[162, 372, 184, 372, 184, 384, 162, 384]",0,OTHER,500,32
33,"[270, 372, 292, 372, 292, 386, 270, 386]",0,OTHER,500,33
34,"[24, 402, 160, 402, 160, 414, 24, 414]",17,TIMESTAMP,TÔNG TIẾN PHẢI T. TOÁN,34
35,"[246, 404, 292, 404, 292, 416, 246, 416]",0,OTHER,187.355,35
36,"[264, 420, 284, 420, 284, 430, 264, 430]",0,OTHER,147,36
37,"[24, 418, 128, 418, 128, 430, 24, 430]",0,OTHER,THONG TIẾN T GIẢM,37
38,"[24, 434, 114, 434, 114, 446, 24, 446]",0,OTHER,TIẾN KHÁCH TRÁ,38
39,"[246, 434, 292, 434, 292, 446, 246, 446]",0,OTHER,"187,355",39
40,"[30, 448, 82, 450, 82, 462, 30, 462]",0,OTHER,TIẾN MAT,40
41,"[244, 450, 292, 450, 292, 462, 244, 462]",0,OTHER,200.000,41
42,"[24, 464, 102, 466, 102, 478, 24, 478]",0,OTHER,TIẾN TRẢ LẠI,42
43,"[252, 466, 292, 466, 292, 478, 252, 478]",0,OTHER,12.645,43
44,"[72, 480, 240, 480, 240, 494, 72, 494]",0,OTHER,Giá đã bao gốn thuế gigt),44
45,"[66, 526, 242, 530, 242, 542, 66, 540]",0,OTHER,Chỉ xuất hóa ddn trong ngày,45
46,"[20, 546, 292, 546, 292, 560, 20, 558]",0,OTHER,Than invoice will be issued wame day,46
47,"[52, 576, 256, 578, 256, 592, 52, 588]",0,OTHER,CÁC CHO NHÁCH VÀ HÊN CẬP LẠI,47
48,"[18, 594, 288, 596, 288, 610, 18, 606]",0,OTHER,Hottine: 02471066866 1 binh ra trong 1966,48
