cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[122, 114, 348, 102, 348, 120, 122, 126]",15,SELLER,CHU THỊ DACH HOÀ TONG HOP,0
1,"[130, 138, 318, 130, 318, 144, 130, 148]",16,ADDRESS,000000000001920,1
2,"[168, 152, 192, 152, 192, 164, 168, 164]",0,OTHER,1900,2
3,"[258, 168, 312, 168, 312, 178, 258, 178]",0,OTHER,undenness,3
4,"[130, 194, 312, 190, 312, 210, 130, 214]",0,OTHER,HÓA DON BAN HÀNG,4
5,"[168, 224, 272, 222, 272, 232, 168, 236]",0,OTHER,ANTIALOGICALLY,5
6,"[234, 240, 342, 240, 342, 252, 234, 252]",0,OTHER,Dan gia thuon,6
7,"[150, 244, 210, 242, 210, 254, 150, 256]",0,OTHER,BLEADVI,7
8,"[68, 248, 130, 247, 129, 260, 68, 260]",0,OTHER,Tenning,8
9,"[64, 264, 166, 264, 166, 276, 64, 278]",0,OTHER,0038001000100,9
10,"[64, 288, 332, 280, 332, 290, 64, 300]",0,OTHER,Nhung voi duy huung ngon hoa ninh,10
11,"[330, 298, 382, 296, 382, 310, 330, 312]",0,OTHER,"188,000",11
12,"[242, 302, 294, 298, 294, 314, 242, 316]",0,OTHER,"108,000",12
13,"[64, 326, 166, 322, 166, 334, 64, 338]",0,OTHER,003000004400,13
14,"[64, 348, 286, 340, 286, 354, 64, 360]",0,OTHER,BUNH NGUY THUNG NHINH),14
15,"[340, 358, 386, 358, 386, 372, 340, 372]",0,OTHER,"55,000",15
16,"[270, 360, 296, 360, 296, 374, 270, 374]",0,OTHER,000,16
17,"[61, 385, 167, 382, 168, 397, 62, 401]",0,OTHER,33334698001343,17
18,"[64, 408, 234, 402, 234, 416, 64, 422]",0,OTHER,Pole gan Ha Long 1709 12,18
19,"[344, 422, 390, 418, 390, 434, 344, 436]",0,OTHER,"07,500",19
20,"[252, 424, 298, 420, 298, 436, 252, 436]",0,OTHER,"22,600",20
21,"[176, 426, 206, 426, 206, 438, 176, 438]",0,OTHER,1010,21
22,"[61, 450, 168, 448, 168, 462, 62, 465]",0,OTHER,08934572013007,22
23,"[64, 472, 336, 464, 336, 480, 64, 486]",0,OTHER,Pale gan hảo vi Mai Vàng Vison 1600 12,23
24,"[346, 482, 394, 482, 394, 498, 346, 498]",0,OTHER,"30,000",24
25,"[256, 488, 302, 486, 302, 500, 256, 502]",0,OTHER,"15,000",25
26,"[178, 490, 206, 490, 206, 500, 178, 500]",0,OTHER,GIODS,26
27,"[62, 514, 170, 512, 170, 526, 62, 528]",0,OTHER,0934501280828,27
28,"[64, 536, 244, 530, 244, 546, 64, 548]",0,OTHER,Bai canh Viion 200g 140 T2,28
29,"[360, 550, 398, 550, 398, 564, 360, 562]",0,OTHER,8 400,29
30,"[266, 554, 304, 554, 304, 568, 266, 568]",0,OTHER,442200,30
31,"[178, 554, 206, 554, 206, 566, 178, 566]",0,OTHER,GOLL,31
32,"[62, 578, 170, 578, 170, 592, 62, 592]",0,OTHER,03934707011514,32
33,"[62, 602, 352, 594, 352, 610, 62, 614]",0,OTHER,Hai nêm chay Knom nấm hương 380g/16 12,33
34,"[352, 616, 402, 614, 402, 632, 352, 632]",0,OTHER,"30,000",34
35,"[258, 618, 306, 616, 306, 634, 258, 634]",0,OTHER,"30,000",35
36,"[58, 642, 172, 642, 172, 660, 58, 660]",0,OTHER,8938504456066,36
37,"[62, 668, 310, 664, 310, 680, 62, 682]",0,OTHER,Muối hat sạch Dh 999-1Kg/30 gói nt trang,37
38,"[366, 686, 406, 686, 406, 700, 366, 700]",0,OTHER,"8,000",38
39,"[270, 690, 308, 686, 308, 702, 270, 702]",0,OTHER,"8,000",39
40,"[180, 690, 210, 690, 210, 700, 180, 700]",0,OTHER,ost,40
41,"[58, 712, 164, 712, 164, 728, 58, 730]",0,OTHER,290658470000,41
42,"[58, 738, 258, 736, 258, 750, 58, 756]",0,OTHER,Bộ cốc TT lun tran CBOOI NT,42
43,"[262, 758, 314, 756, 314, 774, 262, 774]",0,OTHER,"75,000",43
44,"[56, 764, 144, 760, 144, 778, 56, 778]",0,OTHER,Gia đảng ký,44
45,"[354, 782, 412, 780, 412, 796, 354, 796]",0,OTHER,"135,000",45
46,"[262, 782, 314, 782, 314, 798, 262, 798]",0,OTHER,"45,000",46
47,"[56, 786, 114, 784, 114, 802, 56, 802]",0,OTHER,Giá bán,47
48,"[58, 810, 173, 805, 174, 825, 58, 828]",0,OTHER,09252086260197,48
49,"[58, 836, 236, 832, 236, 848, 58, 852]",0,OTHER,Hóp đưng kim chí 601 nt,49
50,"[366, 854, 416, 854, 416, 872, 366, 872]",0,OTHER,"17,000",50
51,"[266, 856, 316, 856, 316, 872, 266, 872]",0,OTHER,"17,000",51
52,"[184, 860, 212, 860, 212, 872, 184, 872]",0,OTHER,cla,52
53,"[52, 894, 112, 896, 112, 914, 50, 913]",0,OTHER,Tổng sốt,53
54,"[134, 900, 182, 900, 182, 914, 134, 914]",0,OTHER,"19,00",54
55,"[362, 914, 424, 914, 424, 932, 362, 932]",0,OTHER,"518,900",55
56,"[54, 918, 234, 918, 234, 936, 54, 940]",0,OTHER,Tổng cộng (đã góm VAT),56
