cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[72, 107, 502, 114, 502, 136, 71, 129]",15,SELLER,Vitimex Quảng Ninh Cầm Pháng,0
1,"[160, 154, 388, 160, 388, 180, 160, 178]",16,ADDRESS,Chm Phả - QUảng Ninh Điều,1
2,"[122, 254, 410, 256, 410, 292, 122, 290]",0,OTHER,PHIẾU BÁN HÀNG,2
3,"[28, 301, 130, 304, 129, 325, 27, 322]",17,TIMESTAMP,09/08/2020,3
4,"[300, 308, 480, 308, 480, 330, 300, 330]",0,OTHER,VCCP-BH0820/0021,4
5,"[66, 352, 154, 357, 151, 378, 66, 372]",0,OTHER,Mã Hàng,5
6,"[222, 356, 476, 354, 476, 376, 222, 376]",0,OTHER,Đơn Giá/G Giá Thành Tiến,6
7,"[38, 394, 180, 394, 180, 416, 38, 416]",0,OTHER,KRG294907559,7
8,"[224, 398, 296, 398, 296, 418, 224, 418]",0,OTHER,"1490,000",8
9,"[394, 400, 466, 400, 466, 418, 394, 420]",0,OTHER,"490,000",9
10,"[56, 432, 162, 432, 162, 452, 56, 452]",0,OTHER,TXOOOXOOO,10
11,"[56, 466, 160, 470, 160, 494, 54, 489]",18,TOTAL_COST,Tổng cộng,11
12,"[396, 472, 470, 474, 470, 494, 396, 494]",18,TOTAL_COST,"490,000",12
13,"[30, 536, 418, 540, 418, 558, 30, 556]",0,OTHER,Xin cảm ơn quý khách đã sử dụng sp của the the the the the the the the the the the the the the the the the the the the the the th,13
14,"[30, 557, 107, 562, 105, 583, 28, 578]",0,OTHER,Vitimex.,14
15,"[30, 582, 480, 582, 480, 602, 30, 604]",0,OTHER,Quý khách vui lòng kiếm tra sản phấm trước khi,15
16,"[28, 604, 136, 604, 136, 624, 28, 624]",0,OTHER,thanh toán.,16
17,"[28, 626, 462, 628, 462, 646, 28, 646]",0,OTHER,Sản phẩm mua được đôi trong vòng 7 ngày từ thuy,17
18,"[28, 650, 308, 648, 308, 670, 28, 672]",0,OTHER,"ngày mua hàng , với điều kiện",18
19,"[29, 669, 293, 672, 291, 696, 26, 690]",0,OTHER,Hàng giảm 10% trở xuống,19
20,"[40, 691, 474, 694, 474, 712, 38, 713]",0,OTHER,Hàng chưa qua sử dụng còn nguyên tem mác lanh,20
21,"[40, 716, 330, 718, 330, 736, 39, 737]",0,OTHER,Hàng còn hóa đơn thanh toán.,21
22,"[28, 740, 328, 740, 328, 760, 28, 762]",0,OTHER,"Cám ơn quý khách, hẹn gặp lại...",22
23,"[26, 764, 274, 762, 274, 782, 26, 784]",0,OTHER,Ms Thương:0978.289.394,23
