cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[192, 148, 409, 149, 410, 170, 192, 170]",15,SELLER,SIÊU THỊ MINH LOANG,0
1,"[100, 180, 334, 188, 334, 208, 100, 198]",16,ADDRESS,T1101010012 111991,1
2,"[366, 186, 504, 182, 504, 198, 366, 204]",16,ADDRESS,Vũ Ngọc Phan,2
3,"[226, 214, 379, 213, 380, 235, 226, 234]",0,OTHER,ADT 09 9331975,3
4,"[196, 248, 412, 246, 412, 272, 196, 270]",0,OTHER,HÓA ĐƠN BẢN LỄ,4
5,"[68, 280, 191, 284, 189, 305, 68, 300]",0,OTHER,Khách hàng,5
6,"[218, 286, 298, 288, 298, 306, 218, 306]",0,OTHER,Khách lê,6
7,"[68, 310, 128, 310, 128, 332, 68, 332]",17,TIMESTAMP,Ngày,7
8,"[218, 309, 418, 314, 418, 336, 216, 331]",17,TIMESTAMP,07/08/2000 20:16:33,8
9,"[68, 338, 176, 342, 176, 360, 68, 360]",0,OTHER,Nhản viên:,9
10,"[218, 342, 326, 346, 326, 364, 217, 362]",0,OTHER,Thanh lim,10
11,"[66, 370, 190, 373, 189, 392, 66, 390]",0,OTHER,Số hóa đơn,11
12,"[218, 374, 400, 376, 400, 394, 218, 392]",0,OTHER,BL2008071000725,12
13,"[68, 432, 206, 432, 206, 450, 68, 452]",0,OTHER,Tên hàng sinh,13
14,"[248, 434, 326, 436, 326, 456, 248, 450]",0,OTHER,Dơn gia,14
15,"[388, 434, 422, 434, 422, 452, 388, 452]",0,OTHER,KM,15
16,"[66, 470, 418, 470, 418, 488, 66, 490]",0,OTHER,Khi Kem Tra Sua Tran Chau Hung Linh,16
17,"[485, 496, 545, 493, 546, 515, 486, 518]",0,OTHER,6.000,17
18,"[160, 500, 208, 500, 208, 520, 160, 520]",0,OTHER,1 Cái,18
19,"[272, 496, 332, 496, 332, 518, 272, 518]",0,OTHER,"6,000",19
20,"[62, 538, 242, 536, 242, 556, 62, 558]",0,OTHER,Kem Sua Chua 35,20
21,"[490, 562, 550, 562, 550, 584, 490, 584]",0,OTHER,"16,000",21
22,"[272, 564, 332, 564, 332, 588, 272, 588]",0,OTHER,"6,000",22
23,"[160, 570, 210, 568, 210, 588, 160, 588]",0,OTHER,1 Cái,23
24,"[64, 606, 352, 604, 352, 624, 64, 628]",0,OTHER,Kem trang tien 35 mus dua thu,24
25,"[274, 632, 334, 632, 334, 658, 274, 658]",0,OTHER,"6,000",25
26,"[486, 632, 554, 632, 554, 654, 486, 654]",0,OTHER,"10,0x)",26
27,"[130, 636, 208, 636, 208, 658, 130, 658]",0,OTHER,22 Chiếc,27
28,"[64, 676, 384, 674, 384, 694, 64, 698]",0,OTHER,Dua Dua Non Coco XIM 330mly,28
29,"[484, 704, 558, 702, 558, 728, 484, 728]",0,OTHER,"39,000",29
30,"[264, 704, 332, 704, 332, 726, 264, 726]",0,OTHER,"13,000",30
31,"[144, 706, 210, 712, 206, 736, 144, 728]",0,OTHER,13 Hộp,31
32,"[204, 772, 355, 777, 353, 799, 201, 795]",0,OTHER,Tổng số lượng,32
33,"[486, 806, 562, 808, 562, 828, 486, 832]",0,OTHER,"61,000",33
34,"[194, 805, 355, 815, 353, 837, 192, 831]",0,OTHER,Tổng tiên hàng,34
35,"[182, 842, 354, 847, 353, 870, 181, 867]",18,TOTAL_COST,Tổng tiền (VND),35
36,"[469, 850, 563, 846, 564, 876, 470, 879]",18,TOTAL_COST,"61,000",36
37,"[488, 884, 568, 884, 568, 912, 488, 910]",0,OTHER,"61,000",37
38,"[192, 888, 354, 888, 354, 910, 192, 910]",0,OTHER,Khách hàng tràng,38
39,"[200, 958, 416, 958, 416, 980, 200, 980]",0,OTHER,Cám ơn quý khach',39
