cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[188, 60, 394, 68, 393, 87, 187, 79]",15,SELLER,MINIMARTANAN,0
1,"[160, 90, 418, 98, 418, 118, 160, 112]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm,1
2,"[34, 118, 58, 118, 58, 132, 34, 132]",0,OTHER,el:,2
3,"[154, 166, 435, 174, 436, 205, 154, 200]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,3
4,"[40, 199, 146, 210, 143, 233, 38, 221]",0,OTHER,Tên hàng,4
5,"[178, 210, 274, 212, 274, 234, 178, 232]",0,OTHER,SL ĐVT,5
6,"[312, 216, 522, 214, 522, 236, 312, 238]",0,OTHER,Đơn giá Thành tiền,6
7,"[32, 234, 512, 248, 512, 268, 31, 257]",0,OTHER,08934839126100 kdr ps baki no the the the the the phan,7
8,"[164, 278, 174, 278, 174, 292, 164, 292]",0,OTHER,1,8
9,"[218, 278, 260, 278, 260, 296, 218, 296]",0,OTHER,HOPS,9
10,"[468, 280, 538, 280, 538, 300, 468, 300]",0,OTHER,"30,000",10
11,"[332, 282, 400, 280, 400, 302, 332, 302]",0,OTHER,"30,000",11
12,"[30, 308, 480, 316, 480, 336, 30, 332]",0,OTHER,08936013252117 Nước tảy toilet Gift Nam,12
13,"[164, 348, 174, 348, 174, 364, 164, 364]",0,OTHER,2,13
14,"[472, 346, 544, 346, 544, 368, 472, 370]",0,OTHER,"46,000",14
15,"[218, 346, 260, 346, 260, 366, 218, 366]",0,OTHER,GOI,15
16,"[332, 350, 402, 350, 402, 372, 332, 372]",0,OTHER,"23,000",16
17,"[18, 385, 114, 390, 114, 412, 15, 413]",0,OTHER,Tổng số:,17
18,"[16, 416, 135, 426, 133, 451, 13, 447]",18,TOTAL_COST,Tổng cộng,18
19,"[480, 420, 550, 420, 550, 442, 480, 444]",18,TOTAL_COST,"76,000",19
20,"[16, 456, 188, 456, 188, 478, 16, 482]",0,OTHER,Tiền khách trả:,20
21,"[280, 460, 328, 460, 328, 482, 280, 482]",0,OTHER,VND,21
22,"[470, 456, 554, 456, 554, 480, 470, 480]",0,OTHER,"100,000",22
23,"[480, 494, 556, 494, 556, 518, 480, 518]",0,OTHER,"24,000",23
24,"[14, 500, 181, 497, 182, 519, 14, 526]",0,OTHER,Tiền trả lại VND:,24
25,"[22, 558, 299, 550, 300, 576, 22, 584]",0,OTHER,Mã thẻ: A10000000423,25
26,"[20, 598, 252, 590, 252, 616, 20, 626]",0,OTHER,(0) nguyễn thị chiên,26
27,"[16, 636, 144, 638, 144, 658, 16, 662]",0,OTHER,Điêm mua:,27
28,"[502, 662, 565, 658, 567, 685, 504, 689]",0,OTHER,"2,556",28
29,"[14, 675, 193, 670, 195, 693, 16, 704]",0,OTHER,Điểm hiện thời:,29
30,"[16, 719, 196, 712, 196, 736, 14, 745]",0,OTHER,Hạng hiện thời:,30
31,"[494, 738, 568, 738, 568, 762, 494, 762]",0,OTHER,"20,032",31
32,"[16, 756, 276, 746, 276, 776, 16, 784]",0,OTHER,Giá trị thưởng tích lũy:,32
33,"[36, 810, 337, 795, 339, 824, 36, 836]",0,TIMESTAMP,SỔ GD: 000AC2212008002148,33
34,"[340, 798, 561, 786, 563, 811, 340, 828]",17,TIMESTAMP,Ngày: 15/08/2020-19:07,33
35,"[226, 844, 386, 838, 386, 864, 226, 868]",0,OTHER,Thu ngân: BH3,34
36,"[94, 870, 479, 855, 482, 877, 94, 888]",0,OTHER,Xin cám chiến binh khách thiết,35
