cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[168, 78, 338, 78, 338, 98, 168, 98]",15,SELLER,MINIMARTANAN,0
1,"[146, 112, 358, 110, 358, 126, 146, 130]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam,1
2,"[38, 142, 68, 142, 68, 156, 38, 156]",0,OTHER,Tel:,2
3,"[144, 176, 372, 174, 372, 200, 144, 204]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[270, 210, 442, 204, 442, 222, 270, 226]",0,OTHER,Đơn giá Thành tiển,4
5,"[58, 212, 141, 214, 139, 235, 58, 230]",0,OTHER,Tên hàng,5
6,"[164, 212, 242, 210, 242, 228, 164, 230]",0,OTHER,SL ĐVT,6
7,"[52, 238, 272, 236, 272, 254, 52, 258]",0,OTHER,291020740000 giấy bạc NT,7
8,"[400, 258, 454, 256, 454, 274, 400, 276]",0,OTHER,"17,000",8
9,"[290, 262, 344, 260, 344, 278, 290, 280]",0,OTHER,"17,000",9
10,"[198, 266, 230, 266, 230, 278, 198, 278]",0,OTHER,HOB,10
11,"[54, 296, 364, 288, 364, 306, 54, 316]",0,OTHER,291016070000 xúc xích cà thuy,11
12,"[402, 312, 458, 310, 458, 330, 402, 330]",0,OTHER,"92,000",12
13,"[290, 316, 348, 314, 348, 334, 290, 334]",0,OTHER,"46,000",13
14,"[200, 320, 230, 320, 230, 334, 200, 334]",0,OTHER,TUT,14
15,"[51, 352, 418, 342, 418, 360, 52, 372]",0,OTHER,291036820000 chả viên hải sản rau củ gói no,15
16,"[404, 370, 462, 368, 462, 386, 404, 388]",0,OTHER,"32,000",16
17,"[292, 372, 347, 369, 349, 388, 292, 390]",0,OTHER,"32,000",17
18,"[198, 378, 232, 378, 232, 392, 198, 392]",0,OTHER,GOL,18
19,"[50, 412, 334, 402, 334, 420, 50, 430]",0,OTHER,"0291006570000 Nước Sprite 1,5INT""",19
20,"[408, 426, 466, 426, 466, 446, 408, 446]",0,OTHER,"15,000",20
21,"[294, 430, 352, 428, 352, 448, 294, 448]",0,OTHER,"15,000",21
22,"[198, 434, 232, 434, 232, 450, 198, 450]",0,OTHER,CHA,22
23,"[47, 470, 336, 462, 336, 480, 48, 491]",0,OTHER,"291006400000 Nước Fanta 1,51 NT",23
24,"[412, 486, 470, 486, 470, 506, 412, 506]",0,OTHER,"15,000",24
25,"[296, 490, 354, 488, 354, 508, 296, 508]",0,OTHER,"15,000",25
26,"[198, 492, 232, 492, 232, 510, 198, 510]",0,OTHER,CHA,26
27,"[40, 534, 118, 536, 118, 556, 39, 555]",0,OTHER,Tổng số:,27
28,"[408, 550, 476, 550, 476, 570, 408, 570]",18,TOTAL_COST,"171,000",28
29,"[40, 560, 134, 564, 134, 584, 38, 583]",18,TOTAL_COST,Tổng cộng,29
30,"[410, 580, 478, 580, 478, 602, 410, 602]",0,OTHER,"171,000",30
31,"[250, 586, 292, 586, 292, 606, 250, 606]",0,OTHER,VND,31
32,"[40, 590, 176, 588, 176, 608, 40, 612]",0,OTHER,Tiển khách trả:,32
33,"[58, 634, 291, 626, 292, 649, 58, 656]",0,TIMESTAMP,SỐ GD: 000AB2212008003967,33
34,"[294, 626, 473, 619, 474, 641, 294, 650]",17,TIMESTAMP,Ngày: 16/08/2020-17:11,33
35,"[208, 664, 332, 660, 332, 680, 208, 684]",0,OTHER,Thu ngân: BH5,34
36,"[100, 694, 412, 684, 412, 704, 100, 714]",0,OTHER,Xi Vin cám ơn và hẹn gặp lại quý khách,35
