cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[192, 68, 354, 66, 354, 86, 192, 88]",15,SELLER,AMINIMART ANANG,0
1,"[172, 98, 372, 96, 372, 110, 172, 114]",16,ADDRESS,Chợ Súi Phú Thị Gia Lam,1
2,"[160, 154, 382, 154, 382, 180, 160, 180]",0,OTHER,HÓA ĐƠN BÁN HÀNG,2
3,"[74, 176, 155, 184, 151, 204, 74, 196]",0,OTHER,Tên hàng,3
4,"[176, 186, 252, 188, 252, 204, 176, 204]",0,OTHER,SL ĐVT,4
5,"[282, 190, 452, 182, 452, 200, 282, 204]",0,OTHER,Đơn giá Thành tiền,5
6,"[66, 199, 450, 208, 450, 226, 64, 219]",0,OTHER,03836017569372 banh 300 ginh thuy the the the the the the the the the the the the the the the the the the the the the the the the,6
7,"[204, 238, 236, 238, 236, 252, 204, 252]",0,OTHER,Gor,7
8,"[296, 240, 350, 236, 350, 254, 296, 254]",0,OTHER,"41,000",8
9,"[404, 234, 460, 232, 460, 250, 404, 252]",0,OTHER,"41,000",9
10,"[62, 254, 438, 262, 438, 278, 62, 274]",0,OTHER,088337722661028 bánh bisla nc thuy,10
11,"[202, 290, 234, 290, 234, 304, 202, 304]",0,OTHER,GOT,11
12,"[402, 286, 460, 286, 460, 304, 402, 306]",0,OTHER,"20,000",12
13,"[292, 290, 348, 290, 348, 308, 292, 308]",0,OTHER,"20,000",13
14,"[58, 307, 450, 318, 450, 336, 56, 327]",0,OTHER,0986065592537 bánh chuối dưa nam,14
15,"[198, 342, 230, 342, 230, 358, 198, 358]",0,OTHER,GOIT,15
16,"[290, 344, 346, 344, 346, 362, 290, 362]",0,OTHER,"45,000",16
17,"[402, 344, 460, 342, 460, 362, 402, 362]",0,OTHER,"45,000",17
18,"[56, 366, 436, 374, 436, 392, 56, 386]",0,OTHER,1984673111348 pha sắn dielac grow phate,18
19,"[52, 390, 152, 394, 152, 414, 52, 410]",0,OTHER,Giá đăng ký:,19
20,"[290, 400, 346, 400, 346, 418, 290, 418]",0,OTHER,"10,500",20
21,"[48, 418, 160, 422, 160, 438, 48, 436]",0,OTHER,Giá bán: 12,21
22,"[194, 426, 226, 426, 226, 440, 194, 440]",0,OTHER,HOPS,22
23,"[288, 426, 344, 426, 344, 444, 288, 444]",0,OTHER,"10,000",23
24,"[390, 426, 460, 428, 460, 446, 390, 446]",0,OTHER,"120,000",24
25,"[36, 448, 110, 456, 110, 472, 34, 467]",0,OTHER,Tổng số:,25
26,"[158, 460, 182, 460, 182, 476, 158, 476]",0,OTHER,15,26
27,"[34, 476, 123, 479, 121, 498, 34, 496]",0,OTHER,Tổng cộng,27
28,"[392, 486, 462, 488, 462, 508, 392, 506]",0,OTHER,"226,000",28
29,"[26, 505, 104, 512, 104, 532, 24, 528]",18,TOTAL_COST,Tổng tiên,29
30,"[392, 522, 464, 524, 464, 544, 392, 542]",18,TOTAL_COST,"226,000",30
31,"[20, 534, 156, 540, 156, 558, 20, 554]",0,OTHER,Tiền khách trả:,31
32,"[232, 544, 272, 544, 272, 564, 232, 564]",0,OTHER,VND,32
33,"[392, 550, 464, 552, 464, 572, 392, 570]",0,OTHER,"226,000",33
34,"[18, 582, 242, 588, 241, 609, 18, 602]",0,OTHER,Mã thẻ: A10000000248,34
35,"[14, 610, 246, 620, 246, 640, 14, 636]",0,OTHER,(0) nguyễn thị như quỳnh,35
36,"[12, 641, 110, 650, 109, 669, 10, 661]",0,OTHER,Điêm mua:,36
37,"[440, 662, 464, 662, 464, 682, 440, 682]",0,OTHER,22,37
38,"[12, 672, 148, 680, 148, 700, 12, 694]",0,OTHER,Điểm hiện thời:,38
39,"[414, 696, 464, 694, 464, 716, 414, 712]",0,OTHER,"1,299",39
40,"[12, 702, 148, 712, 148, 732, 9, 726]",0,OTHER,Hạng hiện thời:,40
41,"[12, 734, 212, 746, 212, 770, 12, 754]",0,OTHER,Giá trị thưởng tích lũy: người,41
42,"[398, 758, 462, 760, 462, 780, 398, 778]",0,OTHER,"37,037",42
43,"[26, 776, 263, 790, 261, 812, 26, 796]",0,OTHER,SỐ GD: 000AC2212008002103,43
44,"[264, 790, 457, 803, 455, 825, 261, 814]",17,OTHER,Ngày: 15/08/2020-17:37,43
45,"[174, 816, 302, 824, 302, 844, 174, 836]",0,OTHER,Thu ngân: BH3,44
46,"[74, 832, 384, 852, 383, 871, 74, 846]",0,OTHER,Xin cám an và hẹn gặp khách,45
