cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[130, 138, 445, 129, 447, 157, 130, 160]",15,SELLER,PHÁ SÁCH DD THC CHM THÁNH NHI,0
1,"[34, 174, 425, 165, 427, 191, 34, 198]",16,ADDRESS,ĐC. 212 Đương Trần Phả,1
2,"[36, 210, 238, 210, 238, 234, 36, 236]",0,OTHER,Nhân viên thu ngân th,2
3,"[36, 244, 394, 240, 394, 266, 36, 270]",0,OTHER,ĐT 0333833328-Fax 03333833328,3
4,"[36, 276, 360, 271, 360, 293, 36, 298]",17,TIMESTAMP,Thời giant09:53:48 - 14/08/2020,4
5,"[292, 306, 330, 306, 330, 328, 292, 328]",0,OTHER,Giá,5
6,"[236, 308, 262, 308, 262, 328, 236, 328]",0,OTHER,SL,6
7,"[408, 304, 519, 302, 521, 323, 408, 326]",0,OTHER,Thưnh tiền,7
8,"[32, 312, 131, 314, 129, 336, 32, 332]",0,OTHER,Tên hàng,8
9,"[448, 342, 520, 340, 520, 364, 448, 362]",0,OTHER,9.000đ,9
10,"[302, 344, 360, 342, 360, 366, 302, 364]",0,OTHER,9.000,10
11,"[24, 348, 164, 348, 164, 370, 24, 374]",0,OTHER,VBT Toán 2/2,11
12,"[450, 376, 522, 372, 522, 398, 450, 396]",0,OTHER,9.000đ,12
13,"[320, 374, 362, 374, 362, 400, 320, 400]",0,OTHER,1000,13
14,"[24, 382, 164, 380, 164, 404, 24, 408]",0,OTHER,VBT Toán 2/1,14
15,"[436, 406, 522, 404, 522, 430, 436, 428]",0,OTHER,13.000đ,15
16,"[290, 410, 364, 408, 364, 432, 290, 430]",0,OTHER,13.000,16
17,"[24, 416, 98, 416, 98, 438, 24, 442]",0,OTHER,Toán 2,17
18,"[428, 440, 520, 440, 520, 464, 428, 466]",0,OTHER,31.000đ,18
19,"[22, 443, 138, 448, 138, 476, 19, 473]",0,OTHER,Tổng cộng:,19
20,"[488, 474, 522, 474, 522, 500, 488, 500]",0,OTHER,0đ,20
21,"[24, 484, 247, 481, 245, 509, 24, 510]",0,OTHER,Chiết khấu bán hàng,21
22,"[428, 512, 522, 510, 522, 536, 428, 538]",18,TOTAL_COST,31.000d,22
23,"[24, 520, 230, 518, 230, 542, 22, 549]",18,TOTAL_COST,Tổng số thanh toán:,23
24,"[96, 566, 427, 549, 428, 582, 96, 594]",0,OTHER,XIN CÁM ƠN QUÍ KHÁCHI,24
