cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[228, 18, 561, 4, 565, 35, 228, 48]",15,SELLER,Nhà Hàng Aozora Sushi Thu,0
1,"[130, 56, 666, 32, 666, 60, 130, 78]",16,ADDRESS,"153 Thụy Khuê, Quân Thành phố Hà Nội Thuy",1
2,"[288, 86, 501, 83, 501, 109, 288, 110]",0,OTHER,INSĐT:02462968133,2
3,"[338, 129, 450, 132, 450, 154, 340, 158]",0,OTHER,BIÊN LAI,3
4,"[140, 184, 224, 184, 224, 198, 140, 198]",0,OTHER,Beneal,4
5,"[572, 190, 686, 188, 686, 210, 572, 206]",0,OTHER,101017254,5
6,"[100, 196, 262, 204, 262, 216, 99, 212]",0,OTHER,Dùng tab quan thuy,6
7,"[612, 210, 655, 216, 653, 225, 611, 219]",0,OTHER,LAGENT,7
8,"[94, 218, 240, 220, 240, 234, 94, 236]",0,OTHER,Phục vu bởi th,8
9,"[548, 226, 696, 234, 695, 246, 548, 240]",0,OTHER,sushaporora,9
10,"[90, 242, 190, 240, 190, 262, 90, 260]",17,TIMESTAMP,Giờ vào:,10
11,"[498, 248, 702, 246, 702, 264, 498, 262]",17,TIMESTAMP,044002202020:39,11
12,"[498, 270, 706, 270, 706, 290, 498, 290]",17,TIMESTAMP,04410-002020106,12
13,"[88, 268, 168, 272, 168, 288, 88, 288]",17,TIMESTAMP,Ngiờ ra.,13
14,"[484, 350, 522, 350, 522, 378, 484, 378]",0,OTHER,SL,14
15,"[616, 348, 712, 352, 712, 380, 616, 378]",0,OTHER,Số tiền,15
16,"[84, 348, 214, 352, 211, 381, 84, 376]",0,OTHER,Mặt hàng,16
17,"[80, 392, 419, 393, 420, 424, 80, 420]",0,OTHER,riệu gạo jangsoo makgeolii,17
18,"[628, 398, 714, 398, 714, 426, 628, 426]",0,OTHER,"89,000",18
19,"[82, 424, 218, 424, 218, 454, 82, 454]",0,OTHER,6%(350ml),19
20,"[82, 458, 168, 458, 168, 486, 82, 488]",0,OTHER,"89,000",20
21,"[632, 506, 716, 508, 716, 534, 632, 534]",0,OTHER,"48,000",21
22,"[82, 504, 256, 506, 253, 539, 82, 534]",0,OTHER,Nước Khoáng,22
23,"[82, 538, 168, 538, 168, 568, 82, 568]",0,OTHER,"12,000",23
24,"[631, 585, 717, 585, 717, 613, 631, 613]",0,OTHER,"84,000",24
25,"[496, 586, 512, 586, 512, 610, 496, 610]",0,OTHER,2,25
26,"[82, 584, 242, 584, 242, 612, 82, 614]",0,OTHER,Cuộn Cá Hồi,26
27,"[82, 618, 168, 618, 168, 646, 82, 646]",0,OTHER,"42,000",27
28,"[616, 666, 718, 666, 718, 694, 616, 694]",0,OTHER,"678,000",28
29,"[496, 668, 512, 668, 512, 690, 496, 690]",0,OTHER,2,29
30,"[80, 664, 304, 668, 304, 694, 80, 694]",0,OTHER,Lầu Thập Cẩm 2n,30
31,"[80, 698, 182, 700, 182, 728, 80, 728]",0,OTHER,"339,000",31
32,"[632, 746, 720, 748, 720, 774, 632, 774]",0,OTHER,"72,000",32
33,"[82, 746, 280, 746, 280, 776, 82, 776]",0,OTHER,Nước Cam Chai,33
34,"[79, 780, 165, 780, 165, 808, 79, 808]",0,OTHER,"18,000",34
35,"[78, 828, 268, 826, 268, 858, 78, 856]",0,OTHER,đĩa bạch thuộc,35
36,"[618, 828, 722, 828, 722, 856, 618, 856]",0,OTHER,"180,000",36
37,"[78, 860, 182, 860, 182, 890, 78, 890]",0,OTHER,"180,000",37
38,"[76, 906, 262, 908, 262, 938, 76, 936]",0,OTHER,Sườn Non Lợn,38
39,"[620, 910, 722, 910, 722, 938, 620, 938]",0,OTHER,"110,000",39
40,"[76, 940, 180, 940, 180, 970, 76, 970]",0,OTHER,"110,000",40
41,"[636, 992, 726, 992, 726, 1020, 636, 1020]",0,OTHER,"39,000",41
42,"[74, 988, 392, 990, 392, 1022, 74, 1018]",0,OTHER,cuận tôm sốt maiyonese,42
43,"[74, 1024, 162, 1022, 162, 1052, 74, 1054]",0,OTHER,"39,000",43
44,"[638, 1074, 728, 1076, 728, 1102, 638, 1102]",0,OTHER,"72,000",44
45,"[72, 1074, 450, 1072, 450, 1104, 72, 1102]",0,OTHER,Cơm Cuộn Salad Cá Ngừ Đặc,45
46,"[72, 1106, 247, 1108, 245, 1141, 72, 1138]",0,OTHER,Biệt(8 miếng),46
47,"[70, 1142, 160, 1142, 160, 1172, 70, 1172]",0,OTHER,"72,000",47
48,"[70, 1192, 180, 1190, 180, 1220, 70, 1224]",0,OTHER,Mỳ Tôm,48
49,"[642, 1194, 732, 1194, 732, 1222, 642, 1222]",0,OTHER,"42,000",49
50,"[68, 1228, 142, 1228, 142, 1258, 68, 1258]",0,OTHER,"6,000",50
51,"[500, 1278, 518, 1278, 518, 1304, 500, 1304]",0,OTHER,2,51
52,"[626, 1278, 734, 1280, 734, 1308, 626, 1308]",0,OTHER,"218,000",52
53,"[64, 1278, 413, 1277, 413, 1305, 64, 1310]",0,OTHER,triệu soju vị hoa quả 360ml.,53
54,"[64, 1314, 122, 1314, 122, 1344, 64, 1344]",0,OTHER,13%,54
55,"[64, 1350, 172, 1350, 172, 1380, 64, 1382]",0,OTHER,"109,000",55
56,"[502, 1402, 520, 1402, 520, 1426, 502, 1426]",0,OTHER,2,56
57,"[648, 1402, 736, 1402, 736, 1432, 648, 1432]",0,OTHER,"50,000",57
58,"[60, 1401, 266, 1402, 266, 1432, 58, 1433]",0,OTHER,váng đậu chiên,58
59,"[58, 1442, 152, 1438, 152, 1472, 58, 1472]",0,OTHER,"25,000",59
60,"[612, 1520, 740, 1520, 740, 1550, 612, 1552]",0,OTHER,"1,682,000",60
61,"[494, 1522, 534, 1522, 534, 1552, 494, 1552]",0,OTHER,28,61
62,"[55, 1517, 137, 1527, 132, 1566, 51, 1556]",0,OTHER,Tổng,62
63,"[636, 1566, 744, 1566, 744, 1598, 636, 1598]",0,OTHER,"252,300",63
64,"[52, 1570, 268, 1570, 268, 1608, 52, 1606]",0,OTHER,Giảm Giá (15%),64
65,"[690, 1612, 743, 1609, 745, 1639, 692, 1643]",0,OTHER,300,65
66,"[52, 1622, 181, 1616, 182, 1649, 52, 1652]",0,OTHER,Làm tròn,66
67,"[557, 1726, 745, 1721, 746, 1763, 558, 1768]",18,TOTAL_COST,"1,430,000g",67
68,"[47, 1727, 141, 1736, 137, 1782, 43, 1772]",18,TOTAL_COST,Tổng,68
69,"[602, 1780, 750, 1776, 750, 1808, 602, 1806]",0,OTHER,"1,430,000",69
70,"[46, 1788, 176, 1790, 176, 1822, 46, 1820]",0,OTHER,Tiền mặt,70
