cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[248, 142, 486, 150, 486, 178, 246, 169]",16,ADDRESS,VM 1 VN 1080-1082 Trân Phú Thi,0
1,"[246, 180, 488, 184, 488, 210, 246, 206]",16,ADDRESS,Số 1060-1062 Đường Trần Phú,1
2,"[8, 187, 187, 194, 185, 241, 6, 233]",15,SELLER,VinCommerce,2
3,"[264, 216, 468, 218, 468, 244, 264, 242]",16,ADDRESS,"TP. Câm Phả, Quảng Ninh",3
4,"[284, 250, 446, 250, 446, 278, 284, 278]",0,OTHER,02471066366-44801,4
5,"[2, 298, 206, 307, 205, 334, 2, 328]",17,TIMESTAMP,Ngày: 15/08/2020,5
6,"[358, 312, 550, 314, 550, 338, 358, 338]",17,TIMESTAMP,Thời gian:10:57,6
7,"[190, 340, 370, 344, 370, 366, 190, 364]",0,OTHER,Giao dịch treo,7
8,"[2, 364, 110, 368, 110, 390, 2, 394]",0,OTHER,quầy:001,8
9,"[380, 376, 550, 376, 550, 400, 380, 398]",0,OTHER,NVBH:09024144,9
10,"[2, 398, 200, 403, 199, 426, 2, 424]",0,OTHER,TÊN NV:4930POS1,10
11,"[0, 428, 190, 436, 190, 460, 0, 456]",0,OTHER,SỐ GD TREO:428,11
