cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[160, 72, 282, 74, 282, 88, 160, 88]",16,ADDRESS,VÀO OWN 1994 1012 1919,0
1,"[174, 92, 306, 92, 306, 108, 174, 108]",16,ADDRESS,030101000000,1
2,"[20, 104, 124, 104, 124, 132, 20, 132]",15,SELLER,UnCommerce,2
3,"[188, 112, 272, 114, 272, 130, 188, 130]",16,ADDRESS,CAN PHA NGUY,3
4,"[184, 132, 282, 134, 282, 148, 184, 150]",0,OTHER,044110003001400,4
5,"[120, 168, 242, 168, 242, 184, 120, 184]",0,OTHER,0000000000000000000000000000000,5
6,"[20, 188, 218, 190, 218, 202, 20, 202]",17,TIMESTAMP,NGÀY DÂN 12/00/2020210:04,6
7,"[262, 190, 342, 188, 342, 204, 262, 202]",0,OTHER,03300003979,7
8,"[20, 206, 84, 208, 84, 222, 20, 220]",0,OTHER,Quay:001,8
9,"[245, 208, 349, 205, 350, 220, 246, 223]",0,OTHER,NGUY:00024140,9
10,"[20, 242, 87, 242, 85, 260, 20, 258]",0,OTHER,Mắt hàng,10
11,"[242, 246, 256, 246, 256, 258, 242, 258]",0,OTHER,SL,11
12,"[295, 244, 345, 240, 346, 257, 296, 260]",0,OTHER,T.TiGn,12
13,"[162, 246, 212, 242, 212, 260, 162, 258]",0,OTHER,tươn giá,13
14,"[20, 262, 314, 264, 314, 278, 20, 278]",0,OTHER,GILLETTE ĐAO CẠO TRUU ĐÓI 2 COMP,14
15,"[20, 282, 126, 282, 126, 296, 20, 296]",0,OTHER,08888826016243,15
16,"[304, 280, 354, 282, 354, 296, 304, 296]",0,OTHER,"19,500",16
17,"[172, 284, 220, 280, 220, 298, 172, 296]",0,OTHER,"19,500",17
18,"[20, 314, 190, 318, 190, 336, 20, 334]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN,18
19,"[306, 320, 356, 320, 356, 334, 306, 334]",18,TOTAL_COST,19.500,19
20,"[18, 334, 152, 336, 152, 354, 18, 352]",0,OTHER,TỔNG TIẾN Ả GIẢM,20
21,"[18, 354, 136, 356, 136, 374, 18, 372]",0,OTHER,TIẾN KHÁCH TRẢ,21
22,"[306, 356, 358, 358, 358, 372, 306, 372]",0,OTHER,19 500,22
23,"[26, 374, 96, 378, 96, 394, 26, 392]",0,OTHER,TIẾN MẶT,23
24,"[306, 376, 358, 378, 358, 392, 306, 392]",0,OTHER,197500,24
25,"[18, 394, 120, 396, 120, 414, 18, 412]",0,OTHER,TIẾN TRẢ LẠI,25
26,"[84, 416, 294, 414, 294, 432, 84, 432]",0,OTHER,(Giá đã bao gồm thuế gigt),26
27,"[76, 472, 298, 476, 298, 492, 76, 492]",0,OTHER,Chỉ xuất hóa đơn trong ngày,27
28,"[18, 494, 362, 494, 362, 510, 18, 512]",0,OTHER,Tax invoice will be issued within same day,28
29,"[60, 534, 316, 534, 316, 552, 60, 552]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI,29
30,"[18, 558, 356, 556, 356, 570, 18, 574]",0,OTHER,Hot line: 02471066866 Website: Vinmart.COM,30
