cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[66, 48, 172, 48, 172, 86, 66, 86]",15,SELLER,THỨC,0
1,"[177, 58, 317, 55, 318, 85, 178, 87]",15,SELLER,COFFEE,1
2,"[94, 102, 292, 100, 292, 114, 94, 116]",16,ADDRESS,"22 Quang Trung, P10, Gò Vấp",2
3,"[130, 118, 258, 118, 258, 132, 130, 132]",0,OTHER,Tel:028 3588 3591,3
4,"[106, 138, 280, 138, 280, 162, 106, 164]",0,OTHER,PHIẾU TẠM TÍNH,4
5,"[194, 176, 266, 174, 266, 190, 194, 190]",0,OTHER,Số khách:,5
6,"[26, 176, 46, 176, 46, 192, 26, 192]",0,OTHER,Số,6
7,"[94, 176, 148, 180, 148, 194, 94, 194]",0,OTHER,SỐ - 08,7
8,"[294, 196, 364, 192, 364, 210, 294, 210]",17,TIMESTAMP,21.04.2019,8
9,"[196, 198, 236, 198, 236, 212, 196, 212]",17,TIMESTAMP,Ngày:,9
10,"[28, 198, 76, 198, 76, 212, 28, 212]",0,OTHER,SỐ HĐ;,10
11,"[328, 216, 364, 216, 364, 232, 328, 232]",17,TIMESTAMP,10.31,11
12,"[194, 216, 242, 220, 242, 232, 194, 232]",17,TIMESTAMP,Giờ ra:,12
13,"[98, 220, 132, 220, 132, 234, 98, 234]",17,TIMESTAMP,10.30,13
14,"[28, 218, 84, 220, 84, 234, 28, 234]",17,TIMESTAMP,Giờ vào:,14
15,"[30, 242, 138, 242, 138, 256, 30, 256]",0,OTHER,Thu ngân: cao1,15
16,"[326, 266, 364, 266, 364, 280, 326, 280]",0,OTHER,T.TIÊN,16
17,"[250, 266, 284, 266, 284, 280, 250, 280]",0,OTHER,Đ.Giá,17
18,"[196, 268, 212, 268, 212, 280, 196, 280]",0,OTHER,SL,18
19,"[90, 268, 144, 266, 144, 280, 90, 280]",0,OTHER,Tên món,19
20,"[52, 290, 132, 288, 132, 304, 52, 304]",0,OTHER,HAZELNUT IB,20
21,"[240, 290, 284, 290, 284, 304, 240, 302]",0,OTHER,152 000,21
22,"[320, 288, 364, 290, 364, 304, 320, 304]",0,OTHER,52 000,22
23,"[190, 292, 218, 290, 218, 304, 190, 304]",0,OTHER,"1,00",23
24,"[30, 328, 152, 330, 152, 348, 30, 346]",18,TOTAL_COST,Tiên Thanh Toán,24
25,"[304, 330, 358, 332, 358, 346, 304, 346]",18,TOTAL_COST,52 000,25
26,"[322, 372, 358, 372, 358, 384, 322, 384]",0,OTHER,52 000,26
27,"[34, 374, 88, 374, 88, 386, 34, 386]",0,OTHER,Khách đưan,27
28,"[34, 390, 84, 390, 84, 402, 34, 402]",0,OTHER,Tiên thứa:,28
29,"[122, 408, 301, 403, 303, 417, 122, 420]",0,OTHER,Thank you & see you againi,29
30,"[294, 428, 360, 428, 360, 442, 294, 442]",0,OTHER,Nhật Trường,30
31,"[62, 432, 140, 432, 140, 448, 62, 446]",0,OTHER,Ký xác nhận,31
32,"[188, 460, 254, 458, 254, 470, 188, 472]",0,OTHER,Điểm tích bill,32
33,"[70, 492, 214, 492, 214, 506, 70, 506]",0,OTHER,Pass wifi: 18006230,33
