cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[238, 190, 557, 180, 559, 247, 241, 257]",15,SELLER,FamilyMart,0
1,"[106, 274, 598, 268, 595, 292, 106, 296]",16,ADDRESS,"Block D3-KHU B KTX ĐHQG, P.ĐÔNG HÒA,",1
2,"[222, 302, 481, 304, 479, 331, 222, 328]",16,ADDRESS,"TX.DT An, Bình Dương",2
3,"[94, 342, 609, 332, 610, 359, 94, 366]",0,OTHER,Tel 784-28-22517194 Fix: 184-28-22537194,3
4,"[214, 384, 496, 378, 496, 408, 214, 412]",0,OTHER,HÓA ĐƠN BÁN HÀNG,4
5,"[178, 426, 531, 423, 532, 449, 178, 456]",0,OTHER,Số HD: 20200843000197430h0i,5
6,"[95, 479, 207, 477, 205, 502, 96, 502]",0,OTHER,Tên hàng,6
7,"[352, 474, 626, 468, 626, 494, 352, 496]",0,OTHER,SL Đơn giá Thành tiền,7
8,"[568, 514, 620, 512, 620, 528, 568, 530]",0,OTHER,"18,000",8
9,"[448, 516, 498, 512, 498, 530, 448, 532]",0,OTHER,"8,000",9
10,"[98, 518, 344, 516, 344, 534, 98, 540]",0,OTHER,11111111111000000000000,10
11,"[103, 557, 200, 560, 200, 588, 99, 589]",0,OTHER,Tổng số:,11
12,"[560, 596, 626, 598, 626, 616, 560, 618]",18,TOTAL_COST,"8,000",12
13,"[104, 595, 228, 600, 228, 626, 102, 626]",18,TOTAL_COST,Tổng cộng:,13
14,"[548, 632, 630, 632, 630, 652, 548, 652]",0,OTHER,"13,000",14
15,"[354, 630, 426, 630, 426, 650, 354, 650]",0,OTHER,SCASH,15
16,"[100, 640, 222, 642, 222, 658, 100, 662]",0,OTHER,Khách tra:,16
17,"[346, 660, 420, 658, 420, 678, 346, 678]",0,OTHER,Tra lại,17
18,"[568, 662, 632, 662, 632, 680, 568, 680]",0,OTHER,55000,18
19,"[82, 714, 355, 699, 356, 720, 82, 734]",0,OTHER,Xin cám ơn quý kháchly,19
20,"[74, 750, 434, 728, 434, 756, 74, 772]",0,OTHER,Thu ngân: LE THE KIM GIÊNG,20
21,"[290, 768, 422, 767, 421, 791, 290, 790]",17,TIMESTAMP,Giờ: 18:41,21
22,"[66, 786, 204, 778, 204, 802, 66, 814]",17,TIMESTAMP,Ngày: 13-0BA,22
23,"[46, 966, 650, 966, 650, 992, 46, 986]",0,OTHER,HÓI CHUNG THUY THUNG CHO,23
24,"[218, 986, 442, 986, 442, 1014, 218, 1006]",0,OTHER,trong vong 10 ngay,24
25,"[23, 1029, 662, 1032, 662, 1056, 24, 1053]",0,OTHER,Vitiona is mana is and ware only,25
26,"[138, 1058, 527, 1063, 525, 1087, 138, 1080]",0,OTHER,and will pe 1ssued wald aders,26
