cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[242, 72, 432, 72, 432, 90, 242, 90]",16,ADDRESS,VM 1 HNI 23 ngô 138 Cầu Diễn Như,0
1,"[238, 96, 438, 92, 438, 112, 238, 114]",16,ADDRESS,So 23 ngo 136 dương Cầu Điển Nha,1
2,"[54, 103, 193, 108, 191, 142, 52, 137]",15,SELLER,YinCommerce,2
3,"[244, 120, 442, 116, 442, 134, 244, 138]",16,ADDRESS,"Minh Khai, Q Bắc Từ Liêm, HN",3
4,"[270, 140, 401, 137, 402, 157, 270, 160]",0,OTHER,024.71066866-32371,4
5,"[182, 182, 344, 180, 344, 198, 182, 200]",0,OTHER,HÓA ƠN BẤN HẮNG,5
6,"[372, 198, 482, 196, 482, 216, 372, 216]",0,OTHER,11:00330761,6
7,"[44, 200, 312, 204, 312, 218, 44, 220]",17,TIMESTAMP,Ngày bán:22/08/2020 18:13,7
8,"[42, 222, 128, 224, 128, 242, 42, 242]",0,OTHER,quầy:0011,8
9,"[351, 219, 495, 214, 496, 233, 352, 239]",0,OTHER,NVBH:09010226,9
10,"[420, 264, 488, 258, 488, 278, 420, 280]",0,OTHER,T. Tiền,10
11,"[340, 264, 362, 264, 362, 282, 340, 282]",0,OTHER,SL,11
12,"[38, 266, 128, 269, 127, 288, 38, 286]",0,OTHER,Mặt hàng,12
13,"[232, 268, 298, 262, 302, 283, 232, 286]",0,OTHER,dn giá,13
14,"[36, 290, 410, 286, 410, 304, 36, 310]",0,OTHER,Nước giải khát coca chai 1.5L,14
15,"[430, 308, 500, 304, 500, 324, 430, 326]",0,OTHER,20.000,15
16,"[240, 312, 310, 312, 310, 330, 240, 332]",0,OTHER,20.000,16
17,"[32, 312, 176, 316, 176, 334, 32, 332]",0,OTHER,8935049501381,17
18,"[432, 332, 502, 328, 502, 348, 432, 348]",0,OTHER,-8.100,18
19,"[32, 336, 58, 336, 58, 354, 32, 354]",0,OTHER,KM,19
20,"[30, 358, 398, 356, 398, 376, 30, 378]",0,OTHER,Xúc xích vea 22 CP gói 500g (8cái),20
21,"[432, 378, 503, 373, 505, 393, 432, 396]",0,OTHER,175.300,21
22,"[238, 382, 308, 382, 308, 400, 238, 402]",0,OTHER,75.300,22
23,"[26, 381, 172, 384, 171, 405, 25, 403]",0,OTHER,088335058970307,23
24,"[24, 406, 206, 408, 206, 428, 24, 428]",0,OTHER,Giò lụa HNF 300G,24
25,"[432, 428, 506, 426, 506, 448, 432, 448]",0,OTHER,67.900,25
26,"[236, 430, 308, 430, 308, 448, 236, 450]",0,OTHER,67.900,26
27,"[22, 432, 172, 432, 172, 452, 22, 452]",0,OTHER,8938509863326,27
28,"[20, 458, 468, 456, 468, 480, 20, 476]",0,OTHER,"MML Nac thăn heo (s) 154.900/kg x 0,41000)",28
29,"[20, 484, 46, 484, 46, 504, 20, 504]",0,OTHER,KG,29
30,"[236, 514, 306, 514, 306, 534, 236, 534]",0,OTHER,63.509,30
31,"[20, 512, 170, 512, 170, 534, 20, 534]",0,OTHER,2656209004103,31
32,"[428, 512, 498, 512, 498, 532, 428, 532]",0,OTHER,63.509,32
33,"[24, 540, 50, 540, 50, 560, 24, 560]",0,OTHER,KM,33
34,"[426, 538, 494, 538, 494, 558, 426, 558]",0,OTHER,-6.150,34
35,"[26, 566, 328, 566, 328, 584, 26, 586]",0,OTHER,"Cà rốt 30.000/kg x 0,244 KG",35
36,"[434, 588, 488, 584, 488, 604, 434, 604]",0,OTHER,7.320,36
37,"[250, 594, 304, 590, 304, 610, 250, 610]",0,OTHER,7.320,37
38,"[26, 592, 174, 592, 174, 612, 26, 612]",0,OTHER,2600099002442,38
39,"[30, 620, 452, 612, 452, 628, 30, 638]",0,OTHER,Xã Tách 1010 xanh L1 Vineco 54.500/KG X,39
40,"[32, 646, 122, 642, 122, 662, 32, 664]",0,OTHER,"0,430 KG",40
41,"[414, 658, 480, 656, 480, 676, 414, 676]",0,OTHER,23.435,41
42,"[236, 664, 302, 660, 302, 680, 236, 682]",0,OTHER,23.435,42
43,"[34, 668, 174, 666, 174, 686, 34, 686]",0,OTHER,2603122004307,43
44,"[402, 706, 480, 704, 480, 724, 402, 726]",18,TOTAL_COST,243.214,44
