cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[254, 153, 376, 158, 376, 176, 252, 175]",15,SELLER,Seigantlo.er,0
1,"[198, 176, 434, 182, 434, 202, 196, 195]",15,SELLER,Covop Food HINT THE KERARK,1
2,"[186, 200, 442, 206, 441, 227, 186, 218]",0,OTHER,Mas on thuet 0309129418-115,2
3,"[104, 220, 148, 226, 145, 245, 102, 239]",16,ADDRESS,Tang,3
4,"[172, 224, 216, 224, 216, 242, 172, 242]",16,ADDRESS,5H42,4
5,"[242, 226, 500, 242, 500, 252, 242, 246]",16,ADDRESS,Tong trinh chung cu,5
6,"[112, 246, 490, 258, 490, 278, 112, 264]",16,ADDRESS,ket hop dich vu tren o det hou cho thuoc,6
7,"[102, 270, 490, 282, 490, 302, 102, 286]",16,ADDRESS,Da an Dau tu xay dung khu nha da chanh,7
8,"[180, 298, 442, 306, 442, 326, 180, 316]",16,ADDRESS,thi khu do thi coi Van Phu,8
9,"[176, 322, 468, 332, 468, 352, 176, 342]",16,ADDRESS,Phu La Nhi Hang Nam 1971 Thang Hai Nai,9
10,"[166, 345, 458, 360, 458, 378, 165, 366]",0,OTHER,Emallacefthekoarkecoopfoods,10
11,"[154, 372, 468, 390, 468, 404, 154, 392]",0,OTHER,Nebsitentiances,11
12,"[154, 421, 356, 428, 356, 450, 153, 444]",0,OTHER,PHIEUTTINH,12
13,"[378, 432, 456, 432, 456, 454, 378, 454]",0,OTHER,TIEN,13
14,"[90, 446, 486, 466, 486, 486, 90, 466]",0,OTHER,Co gia tri xuat Hoa don Gist trong may,14
15,"[86, 496, 172, 500, 172, 520, 83, 517]",0,OTHER,Quays 12,15
16,"[230, 504, 396, 509, 395, 531, 230, 530]",17,TIMESTAMP,Ngay 22/09/2819,16
17,"[422, 509, 496, 513, 495, 534, 421, 531]",17,TIMESTAMP,19:34:46,17
18,"[86, 521, 496, 538, 496, 558, 83, 541]",0,OTHER,Nhan vien Nau eu Viet Hiet Hoa 1970:,18
19,"[82, 576, 486, 590, 486, 610, 82, 598]",0,OTHER,03734576003207 Bong lan 1990,19
20,"[82, 600, 148, 604, 147, 627, 80, 623]",0,OTHER,VATIOX,20
21,"[278, 610, 344, 612, 344, 632, 278, 632]",0,OTHER,"980,00",21
22,"[432, 616, 494, 618, 494, 638, 432, 636]",0,OTHER,"300,00",22
23,"[80, 630, 444, 642, 444, 666, 80, 650]",0,OTHER,03735037500257 Bag Ta Tan The Tang The Tang The Sand Sameration,23
24,"[76, 656, 146, 656, 146, 678, 76, 678]",0,OTHER,VATIOX,24
25,"[248, 664, 342, 666, 342, 686, 248, 682]",0,OTHER,"10,000",25
26,"[400, 670, 494, 672, 494, 692, 400, 690]",0,OTHER,"18,880.00",26
27,"[96, 686, 182, 692, 182, 712, 96, 706]",0,OTHER,Bielgogs,27
28,"[336, 694, 434, 696, 434, 716, 336, 714]",0,OTHER,"10,600.00",28
29,"[74, 714, 494, 726, 494, 752, 74, 734]",0,OTHER,08934577030891 Banh 1909,29
30,"[72, 742, 140, 742, 140, 766, 72, 760]",0,OTHER,VATIO7,30
31,"[274, 748, 338, 748, 338, 768, 274, 768]",0,OTHER,608L00,31
32,"[430, 751, 496, 754, 496, 774, 428, 773]",0,OTHER,100.00,32
33,"[68, 795, 327, 806, 325, 827, 64, 817]",18,TOTAL_COST,Tong so tien thanh toan nha,33
34,"[398, 808, 496, 810, 496, 830, 398, 830]",18,TOTAL_COST,"24,500.00",34
35,"[120, 828, 325, 838, 323, 861, 117, 851]",0,OTHER,Tong so luong hang v,35
36,"[62, 883, 313, 894, 311, 914, 59, 906]",0,OTHER,Phuong thuc thanh toan,36
37,"[60, 916, 150, 920, 150, 938, 60, 938]",0,OTHER,Tiencret,37
38,"[428, 926, 498, 926, 498, 950, 428, 948]",0,OTHER,500.00,38
39,"[58, 944, 292, 950, 292, 972, 58, 968]",0,OTHER,Ban goa thue gistride,39
40,"[428, 956, 494, 956, 494, 978, 428, 980]",0,OTHER,227127,40
41,"[56, 976, 410, 984, 410, 1010, 56, 1002]",0,OTHER,THONG TINH KHACH HANG THIET:,41
42,"[76, 1006, 134, 1014, 134, 1028, 76, 1028]",0,OTHER,INED,42
43,"[74, 1036, 154, 1038, 154, 1060, 74, 1058]",0,OTHER,Ho tent,43
44,"[74, 1066, 230, 1072, 230, 1096, 74, 1090]",0,OTHER,Dien dau ngay,44
45,"[70, 1096, 372, 1104, 372, 1124, 70, 1120]",0,OTHER,Discondungetrongeroons,45
46,"[68, 1198, 482, 1202, 482, 1218, 68, 1214]",0,OTHER,INTERMACIOUSNESS,46
47,"[98, 1230, 348, 1226, 348, 1248, 98, 1252]",0,OTHER,cang tai conaphordan,47
48,"[404, 1230, 438, 1230, 438, 1250, 404, 1250]",0,OTHER,Rai,48
49,"[116, 1290, 162, 1290, 162, 1310, 116, 1310]",0,OTHER,ESES,49
50,"[346, 1292, 404, 1292, 404, 1312, 346, 1312]",0,OTHER,TESSES,50
