cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[214, 112, 420, 106, 420, 124, 214, 134]",16,ADDRESS,VÀ VINH THỊ TH TH THU MINH TIÊN ANH,0
1,"[248, 140, 390, 136, 390, 154, 248, 160]",16,ADDRESS,"Tô 7, Khu Minh Tiên Anh",1
2,"[30, 154, 176, 154, 176, 192, 30, 192]",15,SELLER,Vincommerce,2
3,"[232, 166, 422, 156, 422, 180, 232, 188]",16,ADDRESS,"Cam Bình, TP. Cầm Pha, Chinh",3
4,"[254, 194, 386, 188, 386, 210, 256, 215]",0,OTHER,02471066866-61561,4
5,"[318, 238, 478, 230, 478, 250, 318, 258]",17,TIMESTAMP,Thời gian:20:02,5
6,"[28, 242, 194, 242, 194, 264, 28, 264]",17,TIMESTAMP,Ngày:12/08/2020,6
7,"[182, 270, 332, 266, 332, 286, 182, 288]",0,OTHER,Giao dịch treo,7
8,"[342, 288, 483, 279, 485, 300, 342, 308]",0,OTHER,NVBH:09025438,8
9,"[28, 294, 118, 296, 118, 316, 28, 316]",0,OTHER,Quầy::001,9
10,"[28, 320, 196, 322, 196, 342, 28, 342]",0,OTHER,TÊN NV:5156POS2,10
11,"[28, 348, 186, 348, 186, 368, 28, 370]",0,OTHER,SỐ GD TREO: 108,11
