cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[240, 32, 484, 36, 484, 56, 239, 49]",15,SELLER,MINIMARTANANS,0
1,"[200, 54, 517, 70, 515, 89, 198, 73]",16,ADDRESS,Chợ Súi Phú Thị Gia Lâm,1
2,"[46, 86, 74, 86, 74, 100, 46, 100]",0,OTHER,eli,2
3,"[184, 132, 543, 145, 541, 179, 184, 170]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[44, 180, 171, 186, 169, 209, 44, 202]",0,OTHER,Tên hàng,4
5,"[212, 182, 338, 184, 338, 210, 212, 208]",0,OTHER,SL ĐVT,5
6,"[386, 187, 654, 194, 654, 218, 384, 209]",0,OTHER,Đơn giá Thành tiếng,6
7,"[30, 220, 552, 230, 552, 254, 30, 248]",0,OTHER,08934804030692 Cafe nes Và NT,7
8,"[190, 266, 202, 266, 202, 282, 190, 282]",0,OTHER,L,8
9,"[260, 264, 314, 264, 314, 286, 260, 286]",0,OTHER,HOP,9
10,"[414, 264, 504, 268, 504, 294, 411, 292]",0,OTHER,"35,000",10
11,"[592, 270, 680, 270, 680, 296, 592, 298]",0,OTHER,"35,000",11
12,"[24, 308, 484, 316, 484, 342, 24, 338]",0,OTHER,08934988030020 Dầu cái lân 1 NT,12
13,"[268, 356, 302, 356, 302, 378, 268, 378]",0,OTHER,CC,13
14,"[412, 358, 504, 358, 504, 386, 412, 388]",0,OTHER,"25,000",14
15,"[596, 358, 686, 358, 686, 386, 596, 388]",0,OTHER,"25,000",15
16,"[20, 404, 562, 408, 562, 436, 20, 432]",0,OTHER,291006380000 Nước coca chai 3T,16
17,"[432, 452, 508, 452, 508, 482, 432, 482]",0,OTHER,"6,000",17
18,"[18, 448, 188, 450, 188, 480, 18, 476]",0,OTHER,Giá đăng ký:,18
19,"[20, 492, 132, 494, 132, 522, 20, 522]",0,OTHER,Giá bán:,19
20,"[258, 494, 312, 494, 312, 518, 258, 518]",0,OTHER,CHA,20
21,"[190, 498, 202, 498, 202, 516, 190, 516]",0,OTHER,O,21
22,"[598, 496, 688, 496, 688, 528, 598, 528]",0,OTHER,"30,596",22
23,"[430, 496, 504, 496, 504, 524, 430, 524]",0,OTHER,"5,166",23
24,"[22, 546, 484, 546, 484, 574, 22, 574]",0,OTHER,09999999052935 SRM Pon 100g NT,24
25,"[598, 590, 688, 590, 688, 620, 598, 620]",0,OTHER,"59,000",25
26,"[256, 590, 308, 590, 308, 612, 256, 612]",0,OTHER,CHA,26
27,"[414, 590, 506, 590, 506, 622, 414, 622]",0,OTHER,"59,000",27
28,"[10, 643, 126, 650, 126, 680, 7, 677]",0,OTHER,Tổng số:,28
29,"[12, 685, 155, 694, 153, 724, 9, 717]",18,TOTAL_COST,Tổng cộng,29
30,"[584, 688, 689, 683, 691, 714, 584, 716]",18,TOTAL_COST,"149,996",30
31,"[15, 739, 136, 746, 136, 776, 10, 773]",0,OTHER,Tổng tiền,31
32,"[584, 744, 687, 739, 690, 771, 584, 774]",0,OTHER,"149,996",32
33,"[16, 784, 220, 788, 220, 816, 16, 814]",0,OTHER,Tiền khách trả:,33
34,"[338, 792, 400, 792, 400, 820, 338, 820]",0,OTHER,VND,34
35,"[584, 790, 690, 790, 690, 822, 584, 820]",0,OTHER,"149,996",35
36,"[44, 850, 400, 854, 399, 886, 44, 880]",0,OTHER,SỐ GD: 000AC2212008001479,36
37,"[404, 856, 684, 852, 684, 882, 404, 890]",17,OTHER,Ngày: 11/08/2020-17:34,36
38,"[268, 906, 458, 906, 458, 936, 268, 934]",0,OTHER,Thu ngân: BH3,37
39,"[110, 938, 314, 942, 314, 958, 110, 958]",0,OTHER,Xi Thu manh việt khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi khi ,38
40,"[498, 940, 580, 940, 580, 958, 498, 958]",0,OTHER,khách,39
