cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[172, 70, 316, 70, 316, 88, 172, 86]",16,ADDRESS,VIÊN VINH 1050-1062 Trần Phú B,0
1,"[172, 92, 318, 94, 318, 108, 172, 106]",16,ADDRESS,Số 1060-1082 Đường Trần Phu,1
2,"[32, 102, 136, 102, 136, 130, 32, 130]",15,SELLER,VinCommerce,2
3,"[184, 112, 308, 112, 308, 128, 184, 128]",16,ADDRESS,"PP. Chm Phá, Quáng Ninh",3
4,"[196, 132, 294, 132, 294, 148, 196, 148]",0,OTHER,02471066356-49301,4
5,"[132, 168, 252, 166, 252, 184, 132, 182]",0,OTHER,HÓA ĐN BẮN HÀNG,5
6,"[28, 184, 228, 188, 228, 202, 28, 200]",17,TIMESTAMP,Ngày bán: 13/08/2020 21:48,6
7,"[272, 190, 352, 186, 352, 204, 272, 204]",0,OTHER,01:00064273,7
8,"[32, 204, 96, 206, 96, 220, 32, 220]",0,OTHER,Quấy:001,8
9,"[256, 208, 360, 206, 360, 222, 256, 222]",0,OTHER,UNVBH:09024146,9
10,"[28, 240, 96, 245, 95, 260, 28, 258]",0,OTHER,Mặt hàng,10
11,"[172, 246, 220, 242, 220, 260, 172, 260]",0,OTHER,lần giá,11
12,"[250, 246, 266, 246, 266, 258, 250, 258]",0,OTHER,SL,12
13,"[304, 246, 354, 242, 354, 260, 304, 260]",0,OTHER,T. Tiển,13
14,"[28, 260, 322, 266, 321, 280, 28, 276]",0,OTHER,BẢO MINH LỨT HUYẾT TỔNG ĐÓ NUXURY,14
15,"[30, 282, 136, 282, 136, 298, 30, 298]",0,OTHER,0936096740419,15
16,"[312, 284, 362, 284, 362, 298, 312, 298]",0,OTHER,48.000,16
17,"[180, 284, 228, 282, 228, 298, 180, 298]",0,OTHER,48.000,17
18,"[30, 302, 222, 302, 222, 318, 30, 316]",0,OTHER,JOMI BÔNG TÂY TRANG 120M,18
19,"[28, 318, 134, 318, 134, 336, 28, 336]",0,OTHER,8691275850227,19
20,"[180, 322, 228, 320, 228, 336, 180, 336]",0,OTHER,34.000,20
21,"[312, 322, 362, 320, 362, 336, 312, 334]",0,OTHER,"34,000",21
22,"[28, 338, 48, 338, 48, 354, 28, 354]",0,OTHER,KM,22
23,"[314, 340, 362, 342, 362, 354, 314, 354]",0,OTHER,12.000,23
24,"[28, 376, 198, 378, 198, 394, 28, 394]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÀN,24
25,"[312, 378, 364, 378, 364, 394, 312, 394]",18,TOTAL_COST,70.000,25
26,"[28, 396, 160, 396, 160, 414, 28, 414]",0,OTHER,TỔNG TIẾN Ả GIẢM,26
27,"[300, 400, 356, 398, 356, 414, 300, 414]",0,OTHER,12.000,27
28,"[314, 418, 364, 416, 364, 434, 314, 432]",0,OTHER,70.000,28
29,"[28, 416, 144, 416, 144, 434, 28, 434]",0,OTHER,TIẾN KHÁCH TRẢ,29
30,"[34, 436, 104, 440, 104, 454, 34, 454]",0,OTHER,TIẾN MẬT,30
31,"[304, 436, 364, 436, 364, 452, 304, 452]",0,OTHER,200.000,31
32,"[308, 458, 366, 458, 366, 472, 308, 472]",0,OTHER,130.000,32
33,"[28, 454, 128, 456, 128, 474, 28, 474]",0,OTHER,TIẾN TRÃ LẠI,33
34,"[90, 476, 300, 476, 300, 492, 90, 494]",0,OTHER,(Giá đã bao gốm thuế gtgt),34
35,"[82, 534, 302, 536, 302, 554, 82, 554]",0,OTHER,Chi xuất hóa đơn trong ngày,35
36,"[24, 558, 368, 560, 368, 574, 24, 576]",0,OTHER,Tax invoice will be issued within day,36
37,"[66, 598, 320, 598, 320, 616, 66, 616]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI,37
38,"[22, 620, 362, 622, 362, 636, 22, 638]",0,OTHER,Hot line: 02471066866 Website: Vinmart.com,38
