cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[68, 63, 151, 67, 149, 104, 66, 100]",0,OTHER,Payoos,0
1,"[44, 112, 60, 112, 60, 126, 44, 126]",16,ADDRESS,oll,1
2,"[160, 114, 208, 114, 208, 126, 160, 126]",16,ADDRESS,1931 HUNG,2
3,"[48, 128, 66, 128, 66, 140, 48, 140]",0,OTHER,Nam,3
4,"[170, 128, 206, 128, 206, 140, 170, 140]",0,OTHER,AWAAN,4
5,"[36, 168, 194, 168, 194, 182, 36, 180]",0,OTHER,Nhi gi: 21908816001103,5
6,"[44, 182, 194, 182, 194, 196, 44, 194]",0,OTHER,BINH THUNH THANH TOÁM,6
7,"[30, 208, 42, 208, 42, 222, 30, 222]",0,OTHER,sán,7
8,"[176, 210, 208, 210, 208, 222, 176, 222]",0,OTHER,ADIA,8
9,"[28, 224, 62, 224, 62, 236, 28, 236]",0,OTHER,DUING,9
10,"[28, 238, 58, 238, 58, 250, 28, 250]",0,OTHER,SÔ TIẾN,10
11,"[30, 268, 68, 268, 68, 278, 30, 278]",0,OTHER,THỊ THINH,11
12,"[192, 266, 210, 266, 210, 280, 192, 280]",0,OTHER,QUIT,12
13,"[28, 282, 40, 282, 40, 294, 28, 294]",17,TIMESTAMP,KA,13
14,"[136, 282, 210, 282, 210, 294, 136, 294]",17,TIMESTAMP,13012011000,14
15,"[28, 296, 62, 296, 62, 308, 28, 308]",0,OTHER,THU NGAN,15
16,"[26, 320, 60, 320, 60, 338, 26, 338]",18,TOTAL_COST,TỔNG,16
17,"[150, 326, 196, 326, 196, 340, 150, 338]",18,TOTAL_COST,10.000,17
18,"[84, 356, 152, 356, 152, 368, 84, 368]",0,OTHER,SERIAL: AMOT,18
19,"[72, 370, 168, 370, 168, 384, 72, 382]",0,OTHER,NGÀY EI M: 2010,19
20,"[84, 400, 152, 400, 152, 414, 84, 414]",0,OTHER,SEND TAM 2,20
21,"[72, 416, 168, 416, 168, 430, 72, 428]",0,OTHER,NGÀY TẾT HAI THA NHI,21
22,"[80, 462, 154, 462, 154, 476, 80, 474]",0,OTHER,VELCOME IN VIPHANT,22
