cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[91, 25, 427, 16, 428, 47, 92, 56]",0,OTHER,06600000000117000,0
1,"[142, 98, 380, 98, 380, 114, 142, 114]",0,OTHER,00000000001000,1
2,"[174, 124, 338, 124, 338, 144, 174, 146]",0,OTHER,HEVEOH AUSHU NAL,2
3,"[230, 158, 502, 158, 502, 180, 230, 180]",0,TIMESTAMP,0362000800217zavo00,3
4,"[39, 162, 228, 156, 228, 180, 40, 186]",17,TIMESTAMP,011000000/00/01,3
5,"[102, 191, 228, 186, 228, 210, 107, 216]",0,OTHER,CONTY,4
6,"[344, 198, 480, 198, 480, 220, 344, 216]",0,OTHER,CONA PIEN UIIL,5
7,"[40, 198, 76, 198, 76, 218, 40, 218]",0,OTHER,002,6
8,"[40, 228, 108, 228, 108, 248, 40, 248]",0,OTHER,000'921,7
9,"[346, 230, 484, 230, 484, 250, 346, 248]",0,OTHER,01911 1999,8
10,"[232, 228, 272, 228, 272, 248, 232, 248]",0,OTHER,ONA,9
11,"[40, 262, 108, 262, 108, 282, 40, 282]",0,OTHER,007'szi,10
12,"[266, 262, 489, 263, 487, 288, 266, 282]",18,TOTAL_COST,SELIVA HỌC BP) GUỘI 6U91,11
13,"[328, 288, 376, 292, 376, 306, 328, 306]",0,OTHER,100 21,12
14,"[416, 290, 490, 294, 486, 315, 416, 310]",0,OTHER,1036,13
15,"[40, 324, 102, 324, 102, 344, 40, 342]",0,OTHER,011 19,14
16,"[162, 324, 224, 324, 224, 344, 162, 344]",0,OTHER,000'E9,15
17,"[338, 330, 360, 330, 360, 346, 338, 346]",0,OTHER,10,16
18,"[178, 356, 480, 354, 480, 376, 178, 374]",0,OTHER,BINH (89 EW) 1G NGYY DỆY H CHUY,17
19,"[348, 386, 482, 386, 482, 408, 348, 408]",0,OTHER,00001089706Z,18
20,"[162, 416, 224, 416, 224, 436, 162, 434]",0,OTHER,000 LV,19
21,"[40, 414, 100, 414, 100, 434, 40, 434]",0,OTHER,01822,20
22,"[296, 422, 368, 422, 368, 436, 296, 434]",0,OTHER,SUBSTER,21
23,"[170, 446, 480, 448, 480, 468, 170, 464]",0,OTHER,IN (LZ EW) 1G NGY VỆ 194 NG,22
24,"[348, 476, 482, 478, 481, 500, 347, 497]",0,OTHER,0000010E2062,23
25,"[50, 502, 242, 506, 242, 526, 50, 522]",0,OTHER,NGUYỄN YUPY TH VIỆT,24
26,"[386, 502, 474, 508, 474, 528, 384, 523]",0,OTHER,Suey upj,25
27,"[274, 506, 360, 506, 360, 526, 274, 526]",0,OTHER,ING 1 ,26
28,"[220, 532, 306, 536, 306, 556, 220, 552]",0,OTHER,Ados upg),27
29,"[176, 568, 332, 570, 332, 588, 176, 588]",0,OTHER,161799000S,28
30,"[126, 604, 382, 606, 382, 636, 126, 634]",0,OTHER,LONYH NVI NOG VỌH TH,29
31,"[74, 650, 428, 660, 428, 678, 74, 670]",0,OTHER,Viêu Tuyy 00:77001000000,30
32,"[30, 682, 468, 688, 468, 708, 30, 696]",0,OTHER,UNDIDINGISTMAN MAMANA IS AN IN INS,31
33,"[112, 712, 384, 716, 384, 736, 112, 732]",16,ADDRESS,NO PIERATIONS,32
34,"[64, 744, 434, 750, 434, 774, 64, 768]",15,SELLER,doh onoivoh hive ihl neis,33
35,"[173, 860, 336, 842, 344, 912, 181, 931]",0,OTHER,WPL,34
