cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[138, 92, 302, 94, 302, 112, 138, 110]",15,SELLER,CỬA HÀNG NĂM OÁNH,0
1,"[54, 118, 388, 120, 388, 134, 54, 130]",16,ADDRESS,"Thôn Phủ Thuy, Xã Phú Tkị, Huyện GPA Nội Trinh",1
2,"[138, 142, 302, 142, 302, 156, 138, 156]",0,OTHER,0869322496200448765210,2
3,"[142, 192, 294, 196, 294, 212, 142, 210]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[48, 226, 140, 224, 140, 240, 48, 240]",0,OTHER,SÔ SON55039,4
5,"[280, 230, 390, 228, 390, 246, 280, 244]",17,TIMESTAMP,Ngay:10-08:2020,5
6,"[44, 286, 64, 286, 64, 302, 44, 302]",0,OTHER,SL,6
7,"[182, 288, 236, 286, 236, 306, 182, 302]",0,OTHER,Đơn giá,7
8,"[312, 288, 392, 290, 392, 308, 312, 306]",0,OTHER,Thành tiền,8
9,"[44, 314, 256, 314, 256, 334, 44, 332]",0,OTHER,Xã Comfort ILX BM 3.8kg,9
10,"[176, 342, 240, 342, 240, 360, 176, 360]",0,OTHER,"186,000",10
11,"[328, 346, 392, 346, 392, 366, 328, 364]",0,OTHER,"186,000",11
12,"[52, 376, 163, 382, 161, 401, 50, 397]",18,TOTAL_COST,thông tiên hàng,12
13,"[326, 380, 392, 382, 392, 400, 326, 398]",18,TOTAL_COST,"186,000",13
14,"[106, 426, 328, 422, 328, 440, 106, 440]",0,OTHER,Cám ơn guý khách Hắn gặp lại:,14
