cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[74, 96, 311, 93, 313, 113, 74, 116]",15,SELLER,NHÀ SÁCH GD-TC CẤM PHẢ,0
1,"[20, 122, 298, 118, 298, 140, 20, 140]",16,ADDRESS,Đó: 212 Đường Trần Phú-Cẩm Phả,1
2,"[20, 148, 162, 148, 162, 168, 20, 166]",0,OTHER,Nhân viên thu ngân,2
3,"[20, 172, 274, 170, 274, 190, 20, 190]",0,OTHER,ĐT 0333363328: Fax 0333863328,3
4,"[18, 194, 250, 194, 250, 212, 18, 212]",17,TIMESTAMP,Thời gian:16:29:04 14/08/2020,4
5,"[280, 220, 366, 220, 366, 234, 280, 236]",0,OTHER,Thành tiên,5
6,"[16, 220, 87, 225, 84, 241, 16, 236]",0,OTHER,Tên hàng,6
7,"[200, 222, 226, 222, 226, 236, 200, 236]",0,OTHER,Giá,7
8,"[158, 220, 178, 220, 178, 236, 158, 236]",0,OTHER,SL,8
9,"[302, 244, 366, 244, 366, 262, 302, 262]",0,OTHER,90.0000,9
10,"[8, 246, 102, 250, 102, 266, 8, 262]",0,OTHER,Vở kẻ ngang,10
11,"[164, 248, 184, 248, 184, 264, 164, 264]",0,OTHER,10,11
12,"[208, 248, 250, 246, 250, 262, 208, 262]",0,OTHER,9.000,12
13,"[302, 268, 366, 268, 366, 286, 302, 286]",0,OTHER,24.0000,13
14,"[208, 272, 250, 268, 250, 288, 208, 286]",0,OTHER,8.000,14
15,"[8, 270, 132, 274, 132, 288, 8, 288]",0,OTHER,Nhân vở campus,15
16,"[302, 294, 366, 290, 366, 310, 302, 310]",0,OTHER,12.000,16
17,"[6, 292, 124, 294, 124, 316, 6, 310]",0,OTHER,Bút bi nến ngàn,17
18,"[208, 296, 250, 292, 250, 310, 208, 310]",0,OTHER,000,18
19,"[6, 314, 99, 322, 97, 337, 6, 334]",0,OTHER,Tẩy các loại,19
20,"[314, 320, 366, 316, 366, 334, 314, 334]",0,OTHER,"15,000d",20
21,"[218, 316, 248, 316, 248, 334, 218, 334]",0,OTHER,1000,21
22,"[8, 340, 104, 342, 104, 358, 8, 356]",0,OTHER,VPP Loại 5K,22
23,"[314, 344, 366, 340, 366, 358, 314, 356]",0,OTHER,550000,23
24,"[208, 344, 250, 340, 250, 358, 208, 358]",0,OTHER,5.000,24
25,"[6, 362, 91, 365, 89, 385, 6, 384]",0,OTHER,Tổng cộng:,25
26,"[286, 366, 364, 366, 364, 384, 286, 384]",0,OTHER,136.000đ,26
27,"[162, 368, 182, 368, 182, 382, 162, 382]",0,OTHER,19,27
28,"[6, 388, 163, 391, 161, 411, 6, 408]",0,OTHER,Chiết khấu bản hàng:,28
29,"[342, 392, 364, 392, 364, 410, 342, 410]",0,OTHER,0đ,29
30,"[6, 412, 152, 418, 152, 436, 3, 433]",18,TOTAL_COST,Tổng số thanh toán:,30
31,"[286, 418, 366, 418, 366, 436, 286, 436]",18,TOTAL_COST,136.000d,31
32,"[56, 448, 294, 446, 294, 470, 56, 468]",0,OTHER,XIN CẢM ƠN QUÍ KHÁCH,32
