cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[174, 76, 278, 72, 278, 90, 174, 90]",16,ADDRESS,VINH QUM 500 Trần Nhi,0
1,"[158, 92, 293, 96, 291, 111, 158, 110]",16,ADDRESS,NGUYỄN PHO PHO PHO,1
2,"[34, 108, 128, 108, 128, 134, 34, 134]",15,SELLER,Vincommerce,2
3,"[168, 112, 282, 114, 282, 128, 168, 128]",16,ADDRESS,TP. Còm Phi Cam Lam,3
4,"[182, 132, 270, 132, 270, 146, 182, 146]",0,OTHER,02471082044881,4
5,"[124, 166, 232, 164, 232, 178, 124, 178]",0,OTHER,NGAY ON DÂN HÀNG,5
6,"[250, 182, 324, 182, 324, 194, 250, 194]",0,OTHER,01:00133342,6
7,"[32, 182, 212, 182, 212, 196, 32, 198]",17,TIMESTAMP,Ngày bán: 14/08/2020 06:26,7
8,"[236, 198, 332, 198, 332, 212, 236, 212]",0,OTHER,INVOIN:09020498,8
9,"[34, 202, 90, 200, 90, 214, 34, 214]",0,OTHER,quay:001,9
10,"[280, 230, 326, 230, 326, 244, 280, 244]",0,OTHER,Tiên,10
11,"[230, 232, 246, 232, 246, 244, 230, 244]",0,OTHER,SL,11
12,"[160, 234, 204, 232, 204, 248, 160, 246]",0,OTHER,lơn giái,12
13,"[34, 234, 92, 234, 92, 248, 34, 248]",0,OTHER,Mất hàng,13
14,"[34, 252, 248, 250, 248, 264, 34, 264]",0,OTHER,VISSAN HEO NĂM VISSAN HOP,14
15,"[288, 266, 334, 266, 334, 278, 288, 280]",0,OTHER,27.800,15
16,"[168, 268, 212, 268, 212, 280, 168, 280]",0,OTHER,27.800,16
17,"[32, 268, 126, 268, 126, 282, 32, 282]",0,OTHER,08934572003003,17
18,"[30, 300, 184, 302, 184, 316, 30, 316]",17,TIMESTAMP,TƯNG TIẾN PHẢI T. TOÁN,18
19,"[288, 302, 334, 300, 334, 314, 288, 314]",17,TIMESTAMP,"27,800",19
20,"[32, 318, 148, 318, 148, 332, 32, 334]",0,OTHER,TỔNG TIẾN Ả GIĂN,20
21,"[290, 336, 334, 336, 334, 348, 290, 348]",0,OTHER,"27,800",21
22,"[32, 336, 134, 336, 134, 350, 32, 350]",0,OTHER,TIẾN KHÁCH TRÀ,22
23,"[290, 354, 334, 352, 334, 366, 290, 366]",0,OTHER,58.000,23
24,"[38, 354, 98, 356, 98, 368, 38, 368]",0,OTHER,TIÊN MẬT,24
25,"[290, 370, 336, 368, 336, 384, 290, 384]",0,OTHER,30.200,25
26,"[30, 370, 120, 372, 120, 386, 30, 386]",0,OTHER,TIỀN TRÃ LẠI,26
27,"[88, 390, 276, 386, 276, 402, 88, 404]",0,OTHER,(Giá đã bao gồm thuế gigt),27
28,"[80, 440, 278, 442, 278, 456, 80, 456]",0,OTHER,Chỉ xuất hóa đơn trong ngày,28
29,"[30, 462, 338, 460, 338, 474, 30, 474]",0,OTHER,Tax invoice will be issued wate day,29
30,"[66, 496, 296, 496, 296, 510, 66, 510]",0,OTHER,CÁM CN QUÝ KHÁCH GẶP LẠI,30
31,"[28, 516, 332, 514, 332, 528, 28, 530]",0,OTHER,"Hot line: 02471066866 Nebsite: Vinmart , con nam",31
