cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[178, 96, 380, 98, 380, 110, 178, 116]",16,ADDRESS,MN THÀ DINH DIỆN KINH CHO CHUNG CHONG CHONG CHONG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG CHUNG C,0
1,"[186, 120, 374, 120, 374, 138, 186, 140]",16,ADDRESS,"DA Khu DCLB coc 6, P. Cam Sơn",1
2,"[26, 140, 150, 140, 150, 172, 26, 172]",15,SELLER,WinCommercely,2
3,"[198, 146, 362, 146, 362, 164, 198, 166]",16,ADDRESS,"TP. Cảm Pha, T, Quảng Ninh",3
4,"[220, 170, 339, 167, 340, 188, 220, 190]",0,OTHER,024.71066866-44561,4
5,"[142, 212, 288, 214, 288, 232, 142, 234]",0,OTHER,HÓA ƠN BÁN HĂNG,5
6,"[22, 236, 258, 238, 258, 256, 22, 256]",17,TIMESTAMP,Ngày bán:14/08/2020 16:34,6
7,"[309, 236, 409, 232, 410, 253, 310, 256]",0,OTHER,H:00073243,7
8,"[22, 260, 98, 260, 98, 278, 22, 280]",0,OTHER,Quầy:001,8
9,"[294, 262, 419, 255, 420, 275, 294, 280]",0,OTHER,NVBH:09021213,9
10,"[20, 306, 101, 307, 99, 328, 20, 326]",0,OTHER,Mặt hàng,10
11,"[350, 308, 412, 302, 412, 324, 350, 324]",0,OTHER,T. Tiển,11
12,"[284, 308, 304, 308, 304, 326, 284, 326]",0,OTHER,SL,12
13,"[190, 308, 250, 306, 250, 328, 190, 326]",0,OTHER,dn giá,13
14,"[22, 330, 268, 332, 268, 350, 22, 348]",0,OTHER,Bánh Pia chay bảo minh 50g,14
15,"[370, 354, 420, 350, 420, 370, 370, 370]",0,OTHER,7.500,15
16,"[20, 352, 148, 352, 148, 372, 20, 372]",0,OTHER,8936017569358,16
17,"[210, 358, 258, 354, 258, 372, 210, 372]",0,OTHER,"7,500",17
18,"[20, 376, 44, 376, 44, 394, 20, 394]",0,OTHER,KM,18
19,"[360, 378, 420, 374, 420, 394, 360, 392]",0,OTHER,11:1000,19
20,"[20, 400, 268, 400, 268, 420, 20, 418]",0,OTHER,Bánh Pia Chay Bảo MINH 50g,20
21,"[20, 422, 148, 422, 148, 442, 20, 440]",0,OTHER,8936017569358,21
22,"[370, 424, 420, 420, 420, 440, 370, 440]",0,OTHER,7.500,22
23,"[228, 424, 260, 424, 260, 440, 228, 440]",0,OTHER,500,23
24,"[20, 446, 42, 446, 42, 464, 20, 464]",0,OTHER,IKM,24
25,"[362, 448, 422, 444, 422, 464, 362, 464]",0,OTHER,"1,100",25
26,"[20, 490, 222, 492, 222, 512, 20, 512]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN,26
27,"[362, 494, 422, 492, 422, 512, 362, 512]",18,TOTAL_COST,12.800,27
28,"[354, 520, 414, 516, 414, 536, 354, 536]",0,OTHER,-2.200,28
29,"[18, 514, 176, 514, 176, 534, 18, 536]",0,OTHER,TỔNG TIẾN Ã GIẢM,29
30,"[362, 542, 424, 540, 424, 560, 362, 560]",0,OTHER,12.800,30
31,"[18, 538, 156, 538, 156, 558, 18, 560]",0,OTHER,TIẾN KHÁCH TRẢ,31
32,"[28, 562, 108, 564, 108, 584, 28, 584]",0,OTHER,TIÊN MẶT,32
33,"[362, 564, 424, 564, 424, 584, 362, 584]",0,OTHER,20.000,33
34,"[18, 586, 136, 588, 136, 608, 18, 608]",0,OTHER,TIẾN TRẢ LẠI,34
35,"[374, 592, 426, 590, 426, 608, 374, 608]",0,OTHER,"7,200",35
36,"[94, 612, 344, 612, 344, 632, 94, 632]",0,OTHER,GGÁ ĐÃ BAO GỒM THUẾ GTGT),36
37,"[84, 682, 348, 686, 348, 708, 84, 704]",0,OTHER,Chi xuất hóa đơn trong ngày,37
38,"[16, 710, 426, 714, 426, 734, 16, 730]",0,OTHER,Tax invoice will be issued within same day,38
39,"[62, 758, 368, 764, 368, 782, 62, 778]",0,OTHER,CÁM ON QUÝ KHÁCH VÀ HỆN GẶP LẠI,39
40,"[12, 782, 418, 790, 418, 808, 12, 802]",0,OTHER,Hot line: 02471066866 Website: Vinmart.com,40
