cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[311, 242, 365, 239, 367, 267, 312, 270]",0,OTHER,Phú,0
1,"[578, 272, 624, 272, 624, 298, 578, 298]",0,OTHER,Nội,1
2,"[266, 288, 354, 286, 354, 312, 268, 315]",0,OTHER,748 CO,2
3,"[314, 434, 589, 424, 590, 453, 314, 462]",0,OTHER,HÓA ĐƠN BẤN HẢNG,3
4,"[576, 486, 795, 478, 796, 508, 576, 516]",17,TIMESTAMP,Ngày: 02-07-2020,4
5,"[128, 494, 298, 492, 298, 520, 128, 520]",0,OTHER,Số: SONO2102,5
6,"[130, 598, 362, 594, 362, 620, 130, 620]",0,OTHER,Khách hàng: chị ly,6
7,"[134, 638, 401, 635, 402, 658, 134, 660]",0,OTHER,Điện thoại: 0981482793,7
8,"[140, 678, 222, 678, 222, 698, 140, 700]",0,OTHER,Địa chỉ:,8
9,"[654, 740, 786, 740, 786, 760, 654, 762]",0,OTHER,Thành tiên,9
10,"[138, 742, 170, 742, 170, 762, 138, 762]",0,OTHER,SL,10
11,"[398, 742, 490, 739, 495, 763, 398, 764]",0,OTHER,Đon giá ,11
12,"[136, 796, 500, 800, 500, 820, 136, 818]",0,OTHER,Dove DG phục hôi hư lôn goi cg,12
13,"[410, 840, 480, 838, 480, 860, 410, 860]",0,OTHER,15.000,13
14,"[714, 840, 788, 838, 788, 860, 714, 860]",0,OTHER,"15,000",14
15,"[126, 892, 651, 895, 652, 915, 126, 916]",0,OTHER,Billibas Diana Siêu thầm Siêu mỏng kanh thuy,15
16,"[720, 942, 792, 940, 792, 962, 720, 960]",0,OTHER,"17,000",16
17,"[408, 940, 480, 938, 480, 960, 408, 960]",0,OTHER,"17,000",17
18,"[118, 996, 394, 1002, 390, 1027, 118, 1022]",0,OTHER,Best Vi Sina Sensi hàng th,18
19,"[460, 994, 650, 1000, 650, 1026, 458, 1023]",0,OTHER,kháng khuẩn 20,19
20,"[422, 1050, 482, 1046, 482, 1070, 422, 1066]",0,OTHER,"1,000",20
21,"[722, 1048, 796, 1048, 796, 1070, 722, 1068]",0,OTHER,14.000,21
22,"[126, 1094, 454, 1106, 454, 1132, 126, 1116]",0,OTHER,The th dàn Huadies Sixe 5 56x3 1991,22
23,"[134, 1136, 146, 1136, 146, 1154, 134, 1154]",0,OTHER,2,23
24,"[400, 1156, 486, 1156, 486, 1178, 400, 1178]",0,OTHER,"168,000",24
25,"[710, 1158, 800, 1156, 800, 1178, 710, 1180]",0,OTHER,"336,000",25
26,"[129, 1185, 309, 1198, 307, 1223, 125, 1213]",0,OTHER,Công tên háng,26
27,"[702, 1214, 802, 1214, 802, 1238, 702, 1240]",0,OTHER,"382,000",27
28,"[128, 1227, 252, 1230, 252, 1256, 127, 1251]",0,OTHER,Chiết khẩ.,28
29,"[130, 1266, 308, 1276, 308, 1300, 128, 1293]",18,TOTAL_COST,Khách phải tráng,29
30,"[702, 1295, 802, 1298, 802, 1324, 700, 1321]",18,TOTAL_COST,"382,000",30
31,"[128, 1307, 309, 1318, 307, 1340, 126, 1331]",0,OTHER,Tiên khách đua,31
32,"[702, 1336, 800, 1340, 800, 1362, 702, 1358]",0,OTHER,332 000,32
33,"[122, 1348, 190, 1352, 190, 1378, 120, 1371]",0,OTHER,Trà lạc,33
34,"[266, 1412, 314, 1412, 314, 1434, 266, 1434]",0,OTHER,Cár,34
