cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[142, 76, 316, 76, 316, 96, 142, 96]",15,SELLER,MINIMART ANAN,0
1,"[120, 106, 336, 106, 336, 126, 118, 125]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm,1
2,"[10, 138, 40, 138, 40, 154, 10, 154]",0,OTHER,Tel:,2
3,"[116, 176, 350, 176, 350, 204, 116, 204]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[28, 212, 111, 214, 109, 235, 28, 232]",0,OTHER,Tên hàng,4
5,"[136, 212, 216, 212, 216, 230, 136, 230]",0,OTHER,SL ĐVT,5
6,"[244, 212, 420, 208, 420, 226, 244, 228]",0,OTHER,Đơn giá Thành tiền,6
7,"[23, 239, 342, 238, 342, 256, 24, 260]",0,OTHER,038001200444 nước cốt dừa 400ml NTS,7
8,"[374, 262, 434, 262, 434, 280, 374, 282]",0,OTHER,"24,000",8
9,"[260, 264, 318, 262, 318, 282, 260, 282]",0,OTHER,"24,000",9
10,"[168, 266, 202, 266, 202, 282, 168, 282]",0,OTHER,LON,10
11,"[24, 298, 338, 294, 338, 312, 24, 318]",0,OTHER,08936103590310 bột nếp tài ký 400g NT,11
12,"[378, 320, 436, 320, 436, 340, 378, 340]",0,OTHER,"15,000",12
13,"[262, 322, 320, 322, 320, 340, 262, 342]",0,OTHER,"15,000",13
14,"[170, 326, 202, 326, 202, 340, 170, 340]",0,OTHER,GOT,14
15,"[16, 362, 88, 362, 88, 382, 16, 384]",0,OTHER,Tổng số:,15
16,"[382, 382, 442, 382, 442, 402, 382, 402]",18,TOTAL_COST,"39,000",16
17,"[16, 384, 104, 390, 104, 408, 14, 407]",18,TOTAL_COST,Tổng cộng,17
18,"[382, 414, 444, 412, 444, 432, 382, 432]",0,OTHER,"39,000",18
19,"[224, 414, 262, 414, 262, 432, 224, 432]",0,OTHER,VND,19
20,"[16, 414, 146, 412, 146, 432, 16, 434]",0,OTHER,Tiển khách trả:,20
21,"[20, 462, 231, 456, 232, 477, 20, 482]",0,OTHER,Mã thê: A10000000579,21
22,"[20, 490, 168, 488, 168, 508, 20, 512]",0,OTHER,(0) đảo dương trí,22
23,"[18, 520, 114, 522, 114, 540, 18, 542]",0,OTHER,Điêm mua:,23
24,"[398, 550, 446, 548, 446, 566, 398, 566]",0,OTHER,"1,606",24
25,"[18, 548, 152, 550, 152, 570, 18, 572]",0,OTHER,Điểm hiện thời:,25
26,"[18, 582, 154, 580, 154, 600, 18, 604]",0,OTHER,Hạng hiện thời:,26
27,"[386, 604, 446, 604, 446, 624, 386, 624]",0,OTHER,"134,4196",27
28,"[18, 610, 216, 608, 216, 630, 18, 630]",0,OTHER,Giá trị thưởng tích lũy:,28
29,"[32, 652, 261, 647, 262, 670, 32, 674]",0,TIMESTAMP,SỐ GD: 000AC2212008001299,29
30,"[264, 648, 442, 646, 442, 666, 264, 672]",17,TIMESTAMP,Ngày: 10/08/2020-17:28,29
31,"[176, 682, 300, 680, 300, 702, 176, 704]",0,OTHER,Thu ngân: BH3,30
32,"[74, 710, 378, 704, 378, 726, 74, 728]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách thu,31
