cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[138, 60, 263, 56, 264, 71, 138, 74]",15,SELLER,MINIMART ANAN,0
1,"[122, 84, 276, 82, 276, 94, 122, 96]",0,OTHER,Consanding,1
2,"[116, 130, 285, 125, 286, 146, 116, 150]",0,OTHER,HÓA ĐƠN BĂN HĂNG,2
3,"[54, 156, 115, 158, 113, 172, 54, 170]",0,OTHER,Tên hàng,3
4,"[132, 158, 190, 156, 190, 170, 132, 170]",0,OTHER,SUPOVT,4
5,"[210, 156, 340, 152, 340, 166, 210, 170]",0,OTHER,001070000119,5
6,"[50, 176, 280, 174, 280, 186, 50, 190]",0,OTHER,002000000000,6
7,"[230, 194, 265, 191, 267, 206, 232, 209]",0,OTHER,7.000,7
8,"[48, 196, 122, 198, 122, 210, 48, 208]",0,OTHER,coachery,8
9,"[306, 212, 350, 210, 350, 224, 306, 226]",0,OTHER,"25,000",9
10,"[154, 216, 180, 216, 180, 226, 154, 226]",0,OTHER,Hor,10
11,"[230, 214, 265, 211, 266, 226, 232, 229]",0,OTHER,4.080,11
12,"[48, 214, 100, 214, 100, 228, 48, 228]",0,OTHER,Gia dân,12
13,"[47, 238, 314, 236, 314, 248, 47, 252]",0,OTHER,291026050000 seu men trong,13
14,"[232, 256, 268, 256, 268, 270, 232, 270]",0,OTHER,"8,000",14
15,"[46, 258, 122, 258, 122, 272, 46, 272]",0,OTHER,Nga chinh thuy,15
16,"[310, 276, 354, 274, 354, 290, 310, 290]",0,OTHER,"30,000",16
17,"[232, 278, 268, 276, 268, 292, 232, 290]",0,OTHER,"7,500",17
18,"[44, 276, 96, 278, 96, 292, 44, 292]",0,OTHER,Gia bán;,18
19,"[46, 302, 310, 298, 310, 314, 46, 316]",0,OTHER,291027990000 Sửa chua VNM ko đường NT,19
20,"[234, 322, 270, 320, 270, 334, 234, 336]",0,OTHER,"6,000",20
21,"[46, 322, 120, 324, 120, 336, 46, 336]",0,OTHER,Giá đông ky,21
22,"[312, 342, 356, 342, 356, 356, 312, 356]",0,OTHER,"21,000",22
23,"[234, 344, 270, 342, 270, 356, 234, 356]",0,OTHER,"15,250",23
24,"[44, 344, 98, 344, 98, 358, 44, 358]",0,OTHER,Giá bán:,24
25,"[152, 344, 179, 341, 181, 353, 154, 356]",0,OTHER,HOP,25
26,"[40, 370, 92, 374, 91, 389, 39, 386]",0,OTHER,Tổng số,26
27,"[132, 374, 148, 374, 148, 386, 132, 386]",0,OTHER,12,27
28,"[314, 388, 362, 388, 362, 404, 314, 404]",0,OTHER,"76,000",28
29,"[36, 388, 106, 390, 106, 408, 36, 408]",0,OTHER,Tổng cộng,29
30,"[318, 418, 364, 416, 364, 434, 318, 432]",18,TOTAL_COST,"76,000",30
31,"[34, 416, 94, 420, 94, 434, 34, 436]",18,TOTAL_COST,Tổng tiến t,31
32,"[32, 436, 134, 438, 134, 454, 32, 454]",0,OTHER,Tiển khách trả:,32
33,"[192, 438, 224, 438, 224, 456, 192, 456]",0,OTHER,VND,33
34,"[318, 440, 364, 440, 364, 456, 318, 456]",0,OTHER,"76,000",34
35,"[34, 476, 200, 474, 200, 492, 34, 492]",0,OTHER,Mã thẻ: A 0000000121,35
36,"[32, 498, 164, 502, 164, 516, 32, 518]",0,OTHER,(0) Nguyễn thị Huê,36
37,"[32, 523, 106, 528, 106, 540, 31, 538]",0,OTHER,Điêm mua:,37
38,"[32, 548, 136, 550, 136, 564, 32, 564]",0,OTHER,Điêm hiện thời:,38
39,"[348, 550, 366, 550, 366, 564, 348, 564]",0,OTHER,89,39
40,"[30, 569, 136, 574, 136, 588, 28, 587]",0,OTHER,Hạng hiện thời:,40
41,"[30, 592, 186, 598, 186, 614, 30, 610]",0,OTHER,Giá trị thưởng tích lũy:,41
42,"[330, 600, 368, 596, 368, 614, 330, 612]",0,OTHER,9 1300,42
43,"[42, 624, 222, 628, 221, 644, 42, 640]",0,OTHER,SỐ GD: 000AB2212008002555,43
44,"[222, 628, 364, 630, 364, 644, 222, 646]",17,OTHER,Ngày: 10/08/2020-16:21,43
45,"[156, 650, 252, 650, 252, 664, 156, 664]",0,OTHER,Thu ngân: BH4,44
46,"[76, 664, 312, 666, 312, 678, 76, 676]",0,OTHER,Xin cám cn và họn gặp lại quy khách,45
