cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[164, 64, 386, 66, 386, 88, 164, 90]",15,SELLER,BÁCH HÓA XANH,0
1,"[162, 106, 388, 102, 388, 124, 162, 122]",0,OTHER,www bachhoaxanh.com,1
2,"[62, 132, 490, 134, 490, 154, 62, 154]",16,ADDRESS,"116-118 Vĩnh Hội, Phường 04, Thành",2
3,"[148, 154, 404, 156, 404, 176, 148, 176]",16,ADDRESS,"phố Hồ Chí Minh, Việt Nam",3
4,"[142, 196, 410, 200, 410, 228, 142, 226]",0,OTHER,PHIẾU THANH TOÁN,4
5,"[50, 242, 114, 244, 114, 264, 50, 264]",0,OTHER,SỐ CT:,5
6,"[182, 242, 388, 242, 388, 264, 182, 264]",0,OTHER,20080044480083013,6
7,"[184, 280, 352, 280, 352, 302, 184, 302]",17,TIMESTAMP,11/08/2020 18:57,7
8,"[52, 282, 138, 282, 138, 302, 52, 306]",17,TIMESTAMP,Ngày CT:,8
9,"[182, 316, 363, 321, 361, 342, 182, 342]",0,OTHER,Nguyễn Hữu Trọng,9
10,"[52, 318, 156, 318, 156, 338, 52, 340]",0,OTHER,Nhân viên:,10
11,"[424, 364, 500, 364, 500, 386, 424, 386]",0,OTHER,T.TIỀN,11
12,"[272, 366, 364, 366, 364, 388, 272, 390]",0,OTHER,Giá bán,12
13,"[116, 366, 146, 366, 146, 388, 116, 388]",0,OTHER,SL,13
14,"[50, 408, 164, 408, 164, 428, 50, 428]",0,OTHER,BA RỌI HEO,14
15,"[284, 434, 364, 432, 364, 454, 284, 454]",0,OTHER,"180,000",15
16,"[90, 432, 148, 432, 148, 454, 90, 454]",0,OTHER,0.248,16
17,"[432, 432, 502, 432, 502, 454, 432, 454]",0,OTHER,"44,640",17
18,"[52, 468, 184, 468, 184, 488, 52, 490]",0,OTHER,NẠC HEO XAY T,18
19,"[432, 494, 502, 494, 502, 516, 432, 516]",0,OTHER,"22,630",19
20,"[92, 494, 148, 494, 148, 514, 92, 514]",0,OTHER,0.146,20
21,"[284, 494, 364, 494, 364, 514, 284, 516]",0,OTHER,"155,000",21
22,"[52, 526, 158, 526, 158, 552, 52, 550]",0,OTHER,MÁ ĐÙI GÀ,22
23,"[90, 554, 148, 554, 148, 574, 90, 574]",0,OTHER,0.734,23
24,"[296, 554, 364, 556, 364, 576, 296, 576]",0,OTHER,"52,000",24
25,"[432, 556, 500, 554, 500, 576, 432, 576]",0,OTHER,"38,168",25
26,"[50, 586, 456, 588, 456, 614, 50, 610]",0,OTHER,SỬA CHUA ĂN VNM CÓ ĐƯỜNG STAR HỘP,26
27,"[432, 616, 500, 614, 500, 636, 432, 636]",0,OTHER,"38,800",27
28,"[217, 616, 364, 614, 364, 636, 218, 637]",0,OTHER,"21,000 19,400",28
29,"[136, 618, 148, 618, 148, 634, 136, 634]",0,OTHER,2,29
30,"[48, 650, 198, 650, 198, 670, 48, 670]",0,OTHER,CANH BÍ ĐÓ SC,30
31,"[90, 674, 148, 674, 148, 694, 90, 694]",0,OTHER,0.514,31
32,"[432, 676, 500, 676, 500, 696, 432, 696]",0,OTHER,"17,990",32
33,"[296, 674, 364, 674, 364, 694, 296, 696]",0,OTHER,"35,000",33
34,"[48, 710, 244, 710, 244, 730, 48, 730]",0,OTHER,CANH KHOAI MỞ SC,34
35,"[432, 734, 502, 734, 502, 756, 432, 756]",0,OTHER,"11,375",35
36,"[100, 734, 144, 734, 144, 756, 100, 756]",0,OTHER,0.25,36
37,"[296, 734, 364, 734, 364, 754, 296, 756]",0,OTHER,"155,500",37
38,"[44, 766, 183, 766, 184, 789, 44, 792]",0,OTHER,ĐỔI NỮ HOÀNG,38
