cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[208, 84, 388, 84, 388, 106, 208, 104]",16,ADDRESS,VI VI4 VN 1060-1062 Tràn Phú 20,0
1,"[206, 112, 390, 110, 390, 130, 206, 130]",16,ADDRESS,Số 1060-1062 Đường Trần Phú,1
2,"[36, 128, 164, 128, 164, 164, 36, 164]",15,SELLER,VinCommerce,2
3,"[220, 136, 374, 136, 374, 156, 220, 156]",16,ADDRESS,"TP. Câm Phá, Quảng Ninh",3
4,"[236, 160, 358, 160, 358, 182, 236, 182]",0,OTHER,02471066866-49301,4
5,"[156, 206, 304, 206, 304, 226, 156, 226]",0,OTHER,HÓA ĐN BÁN HĂNG,5
6,"[32, 230, 274, 232, 274, 250, 32, 250]",17,TIMESTAMP,Ngày bán: 14/08/2020 07:37,6
7,"[328, 230, 430, 230, 430, 250, 328, 250]",0,OTHER,11:00044286,7
8,"[32, 252, 110, 254, 110, 272, 32, 272]",0,OTHER,19 quấy:0010,8
9,"[310, 254, 438, 254, 438, 274, 310, 274]",0,OTHER,NGBN:09024144,9
10,"[32, 300, 113, 302, 111, 323, 32, 320]",0,OTHER,Mặt hàng,10
11,"[368, 302, 428, 300, 428, 322, 368, 322]",0,OTHER,Tt.Tiển,11
12,"[300, 304, 322, 304, 322, 320, 300, 320]",0,OTHER,SL,12
13,"[204, 302, 266, 302, 266, 322, 204, 320]",0,OTHER,sơn giá,13
14,"[32, 324, 322, 326, 322, 346, 32, 344]",0,OTHER,Cóc dấm chua ngọt Miến Tây 500,14
15,"[30, 348, 158, 348, 158, 368, 30, 368]",0,OTHER,8938503499255,15
16,"[214, 350, 274, 350, 274, 368, 214, 368]",0,OTHER,26.500,16
17,"[376, 350, 438, 350, 438, 370, 376, 370]",0,OTHER,26.500,17
18,"[30, 392, 236, 396, 236, 416, 30, 414]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN,18
19,"[376, 398, 438, 398, 438, 418, 376, 418]",18,TOTAL_COST,26.500,19
20,"[30, 416, 188, 418, 188, 438, 30, 438]",0,OTHER,TỔNG TIỀN Ã GIẢM,20
21,"[30, 442, 168, 442, 168, 462, 30, 462]",0,OTHER,TIỀN KHÁCH TRẢ,21
22,"[376, 446, 438, 446, 438, 466, 376, 464]",0,OTHER,26.500,22
23,"[38, 466, 120, 468, 120, 486, 38, 486]",0,OTHER,TIẾN MẶT,23
24,"[376, 470, 436, 470, 436, 488, 376, 488]",0,OTHER,150.000,24
25,"[28, 488, 150, 492, 150, 512, 28, 510]",0,OTHER,TIỀN TRÃ LẠI,25
26,"[374, 494, 438, 494, 438, 514, 374, 512]",0,OTHER,23.500,26
27,"[106, 514, 358, 516, 358, 536, 106, 534]",0,OTHER,(Giá đã bao gồm thuế gtgt),27
28,"[96, 584, 360, 590, 360, 610, 96, 606]",0,OTHER,Chỉ xuất hóa đơn trong ngày,28
29,"[26, 614, 438, 616, 438, 636, 26, 632]",0,OTHER,Tax invoice will be issued within same day,29
30,"[74, 660, 380, 664, 380, 684, 74, 680]",0,OTHER,CÁM ĐN QUÝ KHÁCH VÀ HỆN GẶP LẠI,30
31,"[22, 686, 430, 690, 430, 708, 22, 706]",0,OTHER,Hotline: 02471066866 Website: Vinmart.com,31
