cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[75, 81, 177, 95, 171, 144, 69, 131]",0,OTHER,Pay?o,0
1,"[226, 138, 266, 138, 266, 154, 226, 154]",15,SELLER,VINHARI,1
2,"[22, 136, 80, 138, 80, 154, 22, 154]",15,SELLER,TÊN MA LY:,2
3,"[22, 158, 62, 156, 62, 174, 22, 174]",16,ADDRESS,Dia chỉ,3
4,"[138, 160, 266, 158, 266, 176, 138, 174]",16,ADDRESS,"1077 HU MINH TIÊN M,P.CÁ",4
5,"[22, 178, 76, 178, 76, 194, 22, 194]",0,OTHER,VIỆN NINH,5
6,"[212, 178, 266, 178, 266, 196, 212, 196]",0,OTHER,1900545478,6
7,"[30, 232, 244, 236, 244, 254, 30, 252]",0,OTHER,MÀ GD: 2N2115582002592),7
8,"[40, 254, 244, 254, 244, 274, 40, 272]",0,OTHER,BIỂN NHẬN THANH TOÁN TH,8
9,"[20, 292, 66, 294, 66, 310, 20, 310]",0,OTHER,SẢM PHÁM,9
10,"[214, 296, 266, 296, 266, 312, 214, 312]",0,OTHER,VIETIEL20,10
11,"[22, 316, 68, 316, 68, 330, 22, 332]",0,OTHER,SO HINING,11
12,"[22, 334, 64, 334, 64, 350, 22, 350]",0,OTHER,SÓ TIỀN:,12
13,"[218, 336, 256, 334, 256, 352, 218, 352]",0,OTHER,20.000,13
14,"[144, 344, 178, 344, 178, 350, 144, 350]",0,OTHER,Kingool,14
15,"[20, 352, 44, 352, 44, 370, 20, 370]",0,OTHER,PHÍ:,15
16,"[20, 374, 76, 376, 76, 390, 20, 390]",0,OTHER,THANH TUAN:,16
17,"[220, 374, 266, 372, 266, 392, 220, 390]",0,OTHER,TAI QUAY,17
18,"[20, 392, 48, 392, 48, 410, 20, 410]",17,TIMESTAMP,NGÀY:,18
19,"[168, 396, 266, 394, 266, 412, 168, 410]",17,TIMESTAMP,03/19/2020 11:21:33,19
20,"[20, 414, 68, 414, 68, 430, 20, 430]",0,OTHER,THU NGÂN:,20
21,"[240, 414, 266, 414, 266, 432, 240, 432]",0,OTHER,0001,21
22,"[20, 450, 64, 450, 64, 472, 20, 472]",18,TOTAL_COST,TỔNG,22
23,"[180, 454, 264, 456, 264, 472, 180, 472]",18,TOTAL_COST,20.000 Đ,23
24,"[84, 494, 202, 494, 202, 510, 84, 510]",0,OTHER,SEXIAL: 20000007549023,24
25,"[78, 514, 204, 514, 204, 532, 78, 532]",0,OTHER,NGÀY HẾT HẠN: 2024/12/11,25
26,"[88, 576, 186, 576, 186, 594, 88, 594]",0,OTHER,WELCUME IN VINNART,26
