index,bbox,label_id,label_text,content,width,height
0,"[117, 262, 203, 285]",15,SELLER,TEN DAI LY,576,1024
1,"[296, 264, 455, 285]",15,SELLER,VGK VINMART 4987 VMQMH,576,1024
2,"[118, 288, 236, 313]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,576,1024
3,"[291, 290, 456, 310]",16,ADDRESS,TỔ 8 KHU 3B P.CẨM TRUNG,576,1024
4,"[325, 318, 456, 339]",16,ADDRESS,CAM PHA QUANG NINH,576,1024
5,"[120, 506, 162, 528]",17,TIMESTAMP,NGÀY:,576,1024
6,"[201, 503, 274, 528]",17,TIMESTAMP,20/05/2020,576,1024
7,"[398, 501, 462, 522]",17,TIMESTAMP,18:45.09,576,1024
8,"[119, 585, 266, 609]",18,TOTAL_COST,TỔNG CỘNG:,576,1024
9,"[322, 585, 468, 613]",18,TOTAL_COST,"VND75,500",576,1024
