index,bbox,label_id,label_text,content,width,height
0,"[241, 192, 637, 231]",16,ADDRESS,"22 Quang Trung, P10, Gò Vấp",1024,1024
1,"[642, 364, 788, 404]",17,TIMESTAMP,31.03.2019,1024,1024
2,"[451, 422, 553, 455]",17,TIMESTAMP,Giờ ra:,1024,1024
3,"[708, 406, 788, 444]",17,TIMESTAMP,08:52,1024,1024
4,"[112, 430, 236, 473]",17,TIMESTAMP,Giờ vào:,1024,1024
5,"[263, 427, 341, 466]",17,TIMESTAMP,08.52,1024,1024
6,"[451, 379, 539, 417]",17,TIMESTAMP,Ngày:,1024,1024
7,"[116, 658, 401, 721]",18,TOTAL_COST,Trần Thanh Toán,1024,1024
8,"[685, 634, 796, 680]",18,TOTAL_COST,35 000,1024,1024
9,"[169, 86, 689, 170]",15,SELLER,THỨC COFFEE,1024,1024
