index,bbox,label_id,label_text,content,width,height
0,"[149, 348, 212, 374]",15,SELLER,TÊN ĐẠI LÝ:,576,1024
1,"[149, 374, 232, 395]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ,576,1024
2,"[283, 382, 405, 401]",16,ADDRESS,TỔ 8 KHU 3B P.CẨM TRUNG,576,1024
3,"[305, 403, 408, 422]",16,ADDRESS,CÁM HÀNG QUẢNG NINH,576,1024
4,"[141, 543, 178, 564]",17,TIMESTAMP,NGÀY:,576,1024
5,"[203, 543, 266, 567]",17,TIMESTAMP,20/05/2020,576,1024
6,"[281, 543, 311, 566]",17,TIMESTAMP,GIỜ:,576,1024
7,"[355, 549, 406, 566]",17,TIMESTAMP,10:34:48,576,1024
8,"[142, 603, 254, 624]",18,TOTAL_COST,TỔNG CỘNG,576,1024
9,"[287, 603, 411, 637]",18,TOTAL_COST,VND 252200,576,1024
