index,bbox,label_id,label_text,content,width,height
0,"[181, 184, 260, 225]",15,SELLER,TÊN ĐẠI LÝ,768,1024
1,"[422, 169, 513, 198]",15,SELLER,5156 VINMART,768,1024
2,"[181, 216, 296, 251]",16,ADDRESS,ĐỊA CHỈ ĐẠI LÝ:,768,1024
3,"[360, 199, 516, 232]",16,ADDRESS,5156 - T0 7 MINH TIEM A,768,1024
4,"[375, 221, 518, 261]",16,ADDRESS,CAM BINH CAM PHA QN,768,1024
5,"[197, 516, 248, 542]",17,TIMESTAMP,NGÀY:,768,1024
6,"[276, 510, 351, 538]",17,TIMESTAMP,14/08/2020,768,1024
7,"[371, 506, 412, 535]",17,TIMESTAMP,GIỜ:,768,1024
8,"[468, 502, 527, 526]",17,TIMESTAMP,11:15:17,768,1024
9,"[206, 585, 349, 624]",18,TOTAL_COST,TỔNG CỘNG:,768,1024
10,"[391, 579, 533, 610]",18,TOTAL_COST,"VND284,500",768,1024
