cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[288, 58, 338, 58, 338, 84, 288, 84]",0,OTHER,UNI,0
1,"[286, 84, 342, 84, 342, 114, 286, 114]",0,OTHER,QLO,1
2,"[198, 134, 348, 122, 348, 142, 200, 153]",15,SELLER,WWW.UNIQLO.COM,2
3,"[240, 153, 297, 149, 299, 170, 242, 174]",15,SELLER,UNIQLO,3
4,"[176, 198, 386, 182, 386, 202, 176, 216]",16,ADDRESS,Đương Phạm Ngọc Thạch,4
5,"[156, 210, 412, 198, 412, 216, 156, 232]",16,ADDRESS,"Phương Trúng Vự, Quận Đồng Đa",5
6,"[320, 220, 360, 220, 360, 256, 320, 256]",16,ADDRESS,992,6
7,"[198, 244, 324, 238, 324, 258, 198, 266]",0,ADDRESS,004034332,6
8,"[374, 270, 458, 270, 458, 288, 374, 290]",0,OTHER,"149,000",7
9,"[240, 284, 252, 284, 252, 298, 240, 298]",0,OTHER,X,8
10,"[99, 284, 215, 279, 216, 303, 100, 308]",0,OTHER,2000137060319,9
11,"[374, 292, 386, 292, 386, 310, 374, 310]",0,OTHER,R,10
12,"[98, 302, 164, 302, 164, 324, 98, 324]",0,OTHER,ÁO THUN,11
13,"[374, 348, 460, 350, 460, 368, 374, 370]",0,OTHER,"199,000 T",12
14,"[95, 358, 213, 353, 214, 377, 96, 382]",0,OTHER,2000137434172,13
15,"[94, 376, 162, 378, 162, 398, 94, 398]",0,OTHER,ÁO THUN,14
16,"[374, 430, 460, 432, 460, 450, 374, 454]",0,OTHER,"499,000 T",15
17,"[92, 432, 212, 432, 212, 454, 92, 454]",0,OTHER,2000139080131,16
18,"[374, 452, 386, 452, 386, 472, 374, 472]",0,OTHER,R,17
19,"[90, 452, 165, 450, 167, 471, 90, 474]",0,OTHER,ÁO SƠ-MI,18
20,"[87, 510, 209, 508, 210, 531, 88, 534]",0,OTHER,2000137589353,19
21,"[410, 512, 460, 514, 460, 530, 410, 534]",0,OTHER,000 T,20
22,"[272, 516, 304, 514, 304, 530, 272, 532]",0,OTHER,TX,21
23,"[236, 516, 248, 516, 248, 532, 236, 532]",0,OTHER,x,22
24,"[372, 512, 414, 512, 414, 554, 372, 554]",0,OTHER,"249,0",23
25,"[86, 530, 156, 530, 156, 552, 86, 554]",0,OTHER,ÁO THUN,24
26,"[86, 572, 192, 572, 192, 594, 86, 596]",0,OTHER,Sản phẩm lẻ,25
27,"[282, 574, 348, 574, 348, 594, 282, 594]",0,OTHER,"199,000",26
28,"[402, 572, 470, 574, 470, 596, 402, 596]",0,OTHER,"-50,000",27
29,"[85, 613, 211, 613, 211, 637, 85, 637]",0,OTHER,2000141864590,28
30,"[372, 614, 460, 616, 460, 634, 372, 658]",0,OTHER,"19,000 T",29
31,"[86, 634, 164, 634, 164, 656, 86, 656]",0,OTHER,QUÂN DÀI,30
32,"[88, 694, 212, 694, 212, 718, 88, 718]",0,OTHER,2000142115066,31
33,"[372, 696, 458, 698, 458, 716, 372, 738]",0,OTHER,"199,000 T",32
34,"[238, 702, 250, 702, 250, 716, 238, 716]",0,OTHER,x,33
35,"[90, 714, 184, 714, 184, 736, 90, 736]",0,OTHER,QUÂN SHORT,34
