cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[54, 68, 267, 67, 268, 90, 54, 94]",15,SELLER,THE COFFEE HOUSE,0
1,"[68, 96, 260, 96, 260, 108, 68, 110]",16,ADDRESS,403 Phận Huy Chi P.1 A Qu Pháp Nha Nhiệp The Thi Phi Phi Phi Thi Thi Thi Phi Phi Phi Thi Thi Thi Phi Phi Phi Thi Thi Thi Phi Phi ,1
2,"[124, 116, 146, 116, 146, 128, 124, 128]",0,OTHER,Số:,2
3,"[166, 132, 305, 123, 306, 138, 166, 146]",0,OTHER,155011000000000000,3
4,"[24, 132, 164, 134, 164, 146, 24, 144]",17,OTHER,Thời gian:011022009.11,3
5,"[24, 148, 118, 150, 118, 162, 24, 162]",0,OTHER,Thu ngần cashing,4
6,"[26, 164, 98, 166, 98, 178, 26, 178]",0,OTHER,Khách hàng:,5
7,"[278, 180, 312, 180, 312, 190, 278, 190]",0,OTHER,manin,6
8,"[196, 184, 226, 184, 226, 196, 196, 196]",0,OTHER,Đ.Giá,7
9,"[72, 190, 120, 190, 120, 200, 72, 202]",0,OTHER,Tên môn),8
10,"[280, 206, 318, 204, 318, 218, 280, 218]",0,OTHER,35.000,9
11,"[194, 210, 234, 208, 234, 222, 194, 224]",0,OTHER,35.000,10
12,"[48, 210, 128, 208, 128, 220, 48, 222]",0,OTHER,Ca Phê Đen Đa,11
13,"[48, 222, 80, 222, 80, 236, 48, 236]",0,OTHER,Vùa),12
14,"[282, 228, 320, 226, 320, 238, 282, 240]",0,OTHER,2000,13
15,"[198, 230, 234, 230, 234, 244, 198, 244]",0,OTHER,10 000,14
16,"[48, 238, 116, 236, 116, 250, 48, 252]",0,OTHER,Bánh Mi Que,15
17,"[284, 248, 322, 248, 322, 260, 284, 260]",0,OTHER,152000,16
18,"[198, 254, 236, 252, 236, 264, 198, 266]",0,OTHER,52.000,17
19,"[48, 254, 128, 252, 128, 264, 48, 266]",0,OTHER,Oolong Sen An,18
20,"[48, 266, 140, 262, 140, 278, 48, 278]",0,OTHER,Nhiễn Đã (Vừa),19
21,"[272, 272, 326, 272, 326, 284, 272, 286]",0,OTHER,107000,20
22,"[46, 284, 116, 282, 116, 296, 46, 296]",0,OTHER,Thành tiên:,21
23,"[294, 292, 328, 290, 328, 304, 294, 304]",0,OTHER,6 000,22
24,"[60, 302, 112, 302, 112, 316, 60, 316]",0,OTHER,Ngiàm gian,23
25,"[276, 312, 330, 310, 330, 324, 276, 326]",18,TOTAL_COST,101000,24
26,"[46, 322, 120, 322, 120, 334, 46, 336]",18,TOTAL_COST,Thanh Toàn,25
27,"[278, 326, 332, 326, 332, 338, 278, 340]",0,OTHER,107000,26
28,"[46, 338, 148, 336, 148, 348, 46, 350]",0,OTHER,Tiên khách dưa:,27
29,"[298, 340, 332, 340, 332, 354, 298, 354]",0,OTHER,6.000,28
30,"[46, 352, 100, 352, 100, 364, 46, 366]",0,OTHER,miên thừa,29
31,"[288, 360, 336, 360, 336, 374, 288, 374]",0,OTHER,101000,30
32,"[58, 370, 136, 368, 136, 382, 58, 384]",0,OTHER,Tiên mat vnd,31
