cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[214, 152, 478, 160, 478, 186, 214, 182]",15,SELLER,SIÊU THỊ MINH LOAN,0
1,"[104, 193, 586, 204, 586, 226, 102, 220]",16,ADDRESS,TT101 CC 12 Tầng Ngõ Vũ Ngọc Phan Nha,1
2,"[256, 236, 436, 238, 435, 261, 256, 260]",0,OTHER,1911:0919331975,2
3,"[220, 278, 474, 278, 474, 310, 220, 306]",0,OTHER,PHOA ĐƠN BÁN Lẻ,3
4,"[70, 320, 216, 327, 212, 355, 70, 346]",0,OTHER,Khách hàng:,4
5,"[244, 324, 340, 326, 340, 348, 244, 350]",0,OTHER,Khách lé,5
6,"[70, 356, 140, 356, 140, 386, 70, 386]",17,TIMESTAMP,Ngày:,6
7,"[246, 362, 476, 362, 476, 386, 246, 382]",17,TIMESTAMP,14/08/2020 20:36:00,7
8,"[70, 392, 194, 394, 194, 416, 70, 418]",0,OTHER,Nhân viên:,8
9,"[246, 395, 368, 398, 368, 420, 245, 418]",0,OTHER,Thanh Tâm,9
10,"[66, 428, 210, 430, 210, 452, 66, 450]",0,OTHER,Số hóa đơn:,10
11,"[244, 432, 456, 434, 456, 456, 244, 456]",0,OTHER,BL.200814.1.00046,11
12,"[66, 500, 230, 502, 230, 524, 66, 522]",0,OTHER,Tên hàng,12
13,"[276, 502, 368, 504, 368, 530, 276, 524]",0,OTHER,Đơn giá,13
14,"[548, 504, 618, 504, 618, 526, 548, 526]",0,OTHER,T.Tiên,14
15,"[440, 504, 480, 504, 480, 528, 440, 528]",0,OTHER,KM,15
16,"[64, 544, 234, 544, 234, 566, 64, 568]",0,OTHER,bot bap TAIKY,16
17,"[170, 584, 234, 580, 234, 604, 170, 602]",0,OTHER,1 Gói,17
18,"[306, 582, 368, 582, 368, 604, 306, 604]",0,OTHER,"19,000",18
19,"[554, 582, 621, 584, 619, 606, 554, 604]",0,OTHER,"9,000",19
20,"[60, 624, 322, 626, 322, 646, 60, 650]",0,OTHER,Bột chiên giòn meizang,20
21,"[306, 658, 368, 658, 368, 680, 306, 680]",0,OTHER,"7,000",21
22,"[188, 660, 232, 660, 232, 684, 188, 684]",0,OTHER,Gói,22
23,"[558, 662, 620, 662, 620, 684, 558, 684]",0,OTHER,"7,000",23
24,"[60, 704, 522, 702, 522, 732, 60, 730]",0,OTHER,Thit Than Heo Xong Khoi Lifeod 200g Nguy,24
25,"[290, 738, 370, 736, 370, 764, 290, 764]",0,OTHER,"152,000",25
26,"[542, 740, 624, 742, 624, 766, 542, 766]",0,OTHER,"52,000",26
27,"[168, 744, 230, 738, 230, 766, 168, 760]",0,OTHER,1 Gói,27
28,"[222, 810, 397, 816, 395, 842, 220, 837]",0,OTHER,Tổng số lượng:,28
29,"[214, 847, 396, 853, 393, 881, 211, 877]",0,OTHER,Tổng tiền hàng:,29
30,"[540, 854, 625, 858, 623, 882, 540, 880]",0,OTHER,"68,000",30
31,"[202, 888, 398, 890, 398, 918, 200, 917]",18,TOTAL_COST,Tổng tiền (VND),31
32,"[520, 897, 625, 901, 623, 934, 518, 930]",18,TOTAL_COST,"68,000",32
33,"[213, 935, 390, 934, 390, 960, 214, 962]",0,OTHER,Khách hàng tráng,33
34,"[542, 940, 624, 942, 624, 968, 542, 966]",0,OTHER,"68,000",34
35,"[224, 1006, 458, 1008, 458, 1032, 224, 1032]",0,OTHER,"Cảm ơn quy khách""",35
