cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[208, 100, 396, 98, 396, 120, 208, 120]",16,ADDRESS,VM - QNH 1060-1062 Trần Phúc,0
1,"[206, 128, 398, 126, 398, 148, 206, 148]",16,ADDRESS,Số 1060-1062 Đường Trần Phú Tr,1
2,"[26, 146, 162, 146, 162, 182, 26, 182]",15,SELLER,VinCommerce,2
3,"[222, 156, 382, 156, 382, 176, 222, 176]",16,ADDRESS,"TP. Câm Phà, Quảng Ninh",3
4,"[238, 182, 364, 182, 364, 204, 238, 204]",0,OTHER,02471066856-49301,4
5,"[154, 228, 308, 230, 308, 252, 154, 250]",0,OTHER,HÓA DN BÁN HÀNG,5
6,"[22, 254, 276, 258, 276, 276, 22, 274]",17,TIMESTAMP,Ngày bán: 15/08/2020 11:04,6
7,"[334, 258, 440, 256, 440, 276, 334, 276]",0,OTHER,H:00064608,7
8,"[22, 278, 104, 280, 104, 298, 22, 300]",0,OTHER,Quấy::001,8
9,"[316, 282, 450, 282, 450, 300, 316, 302]",0,OTHER,NVBH:09024144,9
10,"[22, 328, 109, 329, 107, 352, 22, 350]",0,OTHER,Mặt hàng,10
11,"[376, 330, 440, 330, 440, 352, 376, 352]",0,OTHER,T.TTiển,11
12,"[304, 334, 326, 334, 326, 352, 304, 352]",0,OTHER,SL,12
13,"[204, 332, 266, 330, 266, 354, 204, 352]",0,OTHER,dn giá,13
14,"[22, 354, 335, 353, 337, 375, 22, 376]",0,OTHER,Trứng gà tươi Dabaco hộp 10 quả tháng,14
15,"[22, 380, 156, 380, 156, 400, 22, 400]",0,OTHER,09936057560032,15
16,"[214, 382, 276, 382, 276, 400, 214, 400]",0,OTHER,25.600,16
17,"[384, 382, 450, 382, 450, 402, 384, 402]",0,OTHER,25.600,17
18,"[22, 426, 238, 430, 238, 450, 22, 448]",18,TOTAL_COST,TỔNG TIỀN PHẢI T. TOÁN,18
19,"[384, 432, 450, 432, 450, 452, 384, 452]",18,TOTAL_COST,25.600,19
20,"[22, 452, 188, 452, 188, 474, 22, 474]",0,OTHER,TỔNG TIẾN Ả GIẢM,20
21,"[22, 478, 166, 478, 166, 500, 22, 500]",0,OTHER,TIỀN KHÁCH TRẢ,21
22,"[384, 482, 450, 482, 450, 502, 384, 502]",0,OTHER,25.600,22
23,"[30, 504, 116, 506, 116, 526, 30, 526]",0,OTHER,TIỀN MẶT,23
24,"[384, 508, 450, 508, 450, 528, 384, 528]",0,OTHER,25.600,24
25,"[20, 528, 146, 530, 146, 552, 20, 550]",0,OTHER,TIẾN TRẢ LẠI,25
26,"[100, 556, 366, 556, 366, 578, 100, 576]",0,OTHER,GGá ( in ( giá đã bao gồm thuế gtgt),26
27,"[90, 632, 368, 634, 368, 656, 90, 654]",0,OTHER,Chỉ xuất hóa đơn trong ngày,27
28,"[18, 660, 450, 664, 450, 684, 18, 680]",0,OTHER,Tax invoice will be issued within same day,28
29,"[68, 708, 388, 712, 388, 732, 68, 730]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI,29
30,"[16, 736, 440, 740, 440, 758, 16, 754]",0,OTHER,Hotline: 02471066866 Website: Vinmart.com,30
