cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[186, 120, 351, 131, 349, 150, 185, 141]",15,SELLER,MINIMART ANAN,0
1,"[166, 149, 330, 158, 330, 170, 164, 164]",16,ADDRESS,Cho Sùi Phu Thị Gia Nha,1
2,"[158, 202, 384, 210, 384, 232, 158, 228]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,2
3,"[68, 226, 254, 236, 254, 252, 68, 246]",0,OTHER,Tên hàng sl đvt,3
4,"[286, 240, 457, 244, 455, 258, 286, 256]",0,OTHER,Đơn giá thành tiên,4
5,"[60, 251, 373, 260, 375, 273, 59, 271]",0,OTHER,092015005580000 Mì omachi sườn 800 nitu,5
6,"[416, 280, 472, 282, 472, 296, 416, 296]",0,OTHER,"30,000",6
7,"[208, 282, 240, 282, 240, 294, 208, 294]",0,OTHER,GOT,7
8,"[314, 284, 360, 282, 360, 296, 314, 296]",0,OTHER,"6,000",8
9,"[56, 302, 460, 306, 460, 322, 56, 318]",0,OTHER,08850006933015 KDR colgate ngừa sâu răng  NT,9
10,"[208, 328, 242, 328, 242, 342, 208, 342]",0,OTHER,TUY,10
11,"[306, 326, 364, 326, 364, 344, 306, 344]",0,OTHER,"12,000",11
12,"[420, 328, 478, 328, 478, 346, 420, 346]",0,OTHER,"12,000",12
13,"[50, 354, 460, 358, 460, 376, 50, 372]",0,OTHER,8934868145257 Xà bồng lai boy bảo vệ 125g NT,13
14,"[308, 380, 366, 380, 366, 400, 308, 400]",0,OTHER,"14,000",14
15,"[424, 382, 484, 382, 484, 400, 424, 400]",0,OTHER,"14,000",15
16,"[208, 382, 244, 382, 244, 396, 208, 396]",0,OTHER,HOP,16
17,"[46, 410, 470, 410, 470, 428, 46, 430]",0,OTHER,8935236000482 Bản chải colgate chăm sóc n Tr,17
18,"[310, 436, 370, 438, 370, 456, 310, 458]",0,OTHER,"15,000",18
19,"[430, 436, 490, 436, 490, 456, 430, 456]",0,OTHER,"60,000",19
20,"[206, 436, 242, 436, 242, 454, 206, 454]",0,OTHER,CAY,20
21,"[42, 468, 436, 468, 436, 488, 42, 488]",0,OTHER,1994868113386 DG Dove phục nt chiến,21
22,"[312, 496, 372, 496, 372, 516, 312, 516]",0,OTHER,"70,000",22
23,"[434, 496, 496, 496, 496, 514, 434, 516]",0,OTHER,"70,000",23
24,"[204, 498, 242, 498, 242, 514, 204, 514]",0,OTHER,CHA,24
25,"[156, 500, 166, 500, 166, 514, 156, 514]",0,OTHER,I,25
26,"[36, 530, 406, 530, 406, 548, 36, 550]",0,OTHER,8934868129141 cif xit lau kính 520ml NT,26
27,"[440, 556, 504, 556, 504, 576, 440, 576]",0,OTHER,"50,000",27
28,"[312, 558, 378, 556, 378, 576, 312, 576]",0,OTHER,"25,000",28
29,"[204, 560, 242, 560, 242, 576, 204, 576]",0,OTHER,CCAA,29
30,"[154, 562, 166, 562, 166, 576, 154, 576]",0,OTHER,2,30
31,"[168, 604, 194, 604, 194, 622, 168, 622]",0,OTHER,14,31
32,"[22, 598, 108, 600, 108, 622, 21, 621]",0,OTHER,Tổng số:,32
33,"[440, 622, 518, 622, 518, 642, 440, 644]",18,TOTAL_COST,"236,000",33
34,"[20, 627, 128, 632, 128, 654, 17, 651]",18,TOTAL_COST,Tổng cộng,34
35,"[444, 656, 522, 656, 522, 678, 444, 680]",0,OTHER,"500,000",35
36,"[264, 660, 308, 660, 308, 682, 264, 682]",0,OTHER,VND,36
37,"[16, 660, 176, 658, 176, 680, 16, 684]",0,OTHER,Tiền khách trả:,37
38,"[444, 692, 524, 692, 524, 714, 444, 714]",0,OTHER,"264,000",38
39,"[14, 702, 170, 700, 170, 722, 14, 724]",0,OTHER,Tiên trả lại VND:,39
40,"[18, 758, 281, 749, 282, 775, 18, 784]",0,OTHER,Mã thẻ: A10000000668,40
41,"[18, 794, 198, 790, 198, 816, 18, 822]",0,OTHER,(0) mai thị thuận,41
42,"[502, 814, 528, 814, 528, 834, 502, 834]",0,OTHER,23,42
43,"[14, 832, 134, 834, 134, 854, 14, 858]",0,OTHER,Điêm mua:,43
44,"[488, 848, 526, 848, 526, 868, 488, 868]",0,OTHER,199,44
45,"[14, 866, 180, 868, 180, 888, 14, 896]",0,OTHER,Điểm hiện thời:,45
46,"[16, 907, 183, 900, 184, 921, 15, 927]",0,OTHER,Hạng hiện thời:,46
47,"[457, 914, 523, 911, 524, 931, 458, 935]",0,OTHER,"31,414",47
48,"[18, 936, 258, 930, 258, 952, 18, 956]",0,OTHER,Giá trị thưởng tích lũy;,48
49,"[40, 970, 311, 962, 312, 982, 40, 988]",0,TIMESTAMP,Số gd: 000002212008002125,49
50,"[316, 964, 516, 952, 516, 972, 316, 982]",17,TIMESTAMP,Ngày: 15/08/2020-18:22,49
51,"[216, 992, 352, 988, 352, 1002, 216, 1006]",0,OTHER,Thu ngân: Bh3,50
