cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[153, 81, 323, 73, 325, 93, 154, 102]",15,SELLER,MINIMART ANAN,0
1,"[130, 112, 344, 104, 344, 122, 130, 130]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm,1
2,"[32, 144, 48, 144, 48, 156, 32, 156]",0,OTHER,ele,2
3,"[124, 174, 358, 166, 358, 194, 124, 202]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,3
4,"[252, 206, 434, 192, 434, 210, 252, 222]",0,OTHER,Đơn giá Thành tiên,4
5,"[36, 208, 119, 209, 117, 228, 36, 226]",0,OTHER,Tên hàng,5
6,"[142, 208, 224, 206, 224, 226, 142, 226]",0,OTHER,SL ĐVT,6
7,"[28, 234, 246, 234, 246, 252, 28, 254]",0,OTHER,291012070000 Bia 333 NT,7
8,"[272, 256, 330, 254, 330, 274, 272, 274]",0,OTHER,"10,500",8
9,"[26, 262, 128, 262, 128, 280, 26, 278]",0,OTHER,Giá đăng ký,9
10,"[374, 276, 448, 272, 448, 292, 376, 296]",0,OTHER,"238,008",10
11,"[278, 283, 327, 277, 329, 298, 280, 303]",0,OTHER,"9,917",11
12,"[176, 288, 210, 288, 210, 302, 176, 302]",0,OTHER,LON,12
13,"[26, 288, 140, 290, 140, 304, 26, 306]",0,OTHER,Giá bán: 24,13
14,"[20, 321, 93, 324, 95, 341, 17, 342]",0,OTHER,Tổng số:,14
15,"[144, 326, 166, 326, 166, 344, 144, 344]",0,OTHER,24,15
16,"[382, 336, 454, 334, 454, 354, 382, 356]",0,OTHER,"238,008",16
17,"[20, 352, 110, 350, 110, 370, 20, 368]",0,OTHER,Tổng cộng,17
18,"[382, 374, 456, 372, 456, 392, 382, 394]",18,TOTAL_COST,"238,008",18
19,"[20, 388, 98, 386, 98, 404, 20, 404]",18,TOTAL_COST,Tổng tiên,19
20,"[382, 404, 458, 402, 458, 422, 384, 424]",0,OTHER,"238,008",20
21,"[224, 410, 264, 410, 264, 428, 224, 428]",0,OTHER,VND,21
22,"[16, 410, 152, 410, 152, 428, 16, 432]",0,OTHER,Tiền khách trả:,22
23,"[22, 460, 239, 453, 240, 473, 22, 478]",0,OTHER,Mã thẻ: A10000000276,23
24,"[20, 488, 206, 488, 205, 508, 20, 510]",0,OTHER,(O) nguyễn thu trang,24
25,"[436, 510, 460, 510, 460, 530, 436, 530]",0,OTHER,23,25
26,"[16, 520, 112, 522, 112, 538, 16, 540]",0,OTHER,Điêm mua:,26
27,"[410, 542, 460, 542, 460, 564, 410, 564]",0,OTHER,"14,221",27
28,"[16, 548, 152, 550, 152, 570, 16, 572]",0,OTHER,Điểm hiện thời:,28
29,"[16, 581, 152, 582, 152, 602, 14, 603]",0,OTHER,Hạng hiện thời:,29
30,"[402, 606, 466, 606, 466, 628, 402, 628]",0,OTHER,"37,882",30
31,"[14, 614, 218, 612, 218, 636, 14, 634]",0,OTHER,Giá trị thưởng tích lũy:,31
32,"[26, 656, 267, 651, 268, 674, 26, 680]",0,OTHER,SỐ GD: 000AC2212008002051,32
33,"[272, 652, 464, 654, 464, 674, 272, 680]",17,OTHER,Ngày: 15/08/2020-09:00,32
34,"[178, 690, 308, 686, 308, 708, 178, 710]",0,OTHER,Thu ngân: BH2,33
35,"[68, 718, 394, 716, 394, 738, 68, 736]",0,OTHER,Xin cám ơn và hẹn gặý khách,34
