cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[173, 68, 332, 68, 332, 86, 174, 88]",15,SELLER,MINIMARTANAN,0
1,"[154, 100, 350, 98, 350, 110, 154, 114]",16,ADDRESS,Chợ Sũi Phu Thi Gia Lam,1
2,"[50, 122, 78, 122, 78, 136, 50, 136]",0,OTHER,Tel:,2
3,"[148, 154, 364, 154, 364, 178, 148, 182]",0,OTHER,PHÓA ĐƠN BÁN HÀNG,3
4,"[64, 186, 142, 188, 142, 208, 64, 204]",0,OTHER,Tên hàng,4
5,"[266, 186, 432, 180, 432, 198, 266, 202]",0,OTHER,Đơn giá Thành tiển,5
6,"[164, 188, 240, 186, 240, 204, 164, 204]",0,OTHER,SL ĐVT,6
7,"[58, 210, 412, 208, 412, 222, 58, 228]",0,OTHER,0985047600239 Thuốc lá Thăng Long Người,7
8,"[400, 230, 446, 228, 446, 246, 400, 246]",0,OTHER,"8,500",8
9,"[294, 236, 338, 232, 338, 250, 294, 250]",0,OTHER,"8,500",9
10,"[196, 238, 226, 238, 226, 250, 196, 250]",0,OTHER,cot,10
11,"[55, 263, 288, 262, 288, 278, 56, 282]",0,OTHER,291036430000 bật lửa khô no,11
12,"[406, 284, 450, 280, 450, 298, 406, 300]",0,OTHER,"5,000",12
13,"[296, 288, 340, 284, 340, 302, 296, 302]",0,OTHER,"5,000",13
14,"[196, 290, 226, 290, 226, 302, 196, 302]",0,OTHER,CAF,14
15,"[53, 316, 378, 312, 378, 330, 54, 336]",0,OTHER,291003890000 Nước tăng lực wake up NT,15
16,"[406, 334, 452, 334, 452, 354, 406, 354]",0,OTHER,"17,500",16
17,"[296, 338, 342, 338, 342, 358, 296, 358]",0,OTHER,"7,500",17
18,"[196, 342, 226, 342, 226, 356, 196, 356]",0,OTHER,CHA,18
19,"[54, 372, 436, 366, 436, 384, 54, 390]",0,OTHER,03834804033792 thức uống năng lượng thuy,19
20,"[398, 392, 456, 392, 456, 410, 398, 410]",0,OTHER,"72,000",20
21,"[288, 394, 344, 394, 344, 412, 288, 412]",0,OTHER,"12,000",21
22,"[194, 398, 228, 398, 228, 412, 194, 412]",0,OTHER,LON,22
23,"[51, 428, 384, 424, 384, 442, 52, 449]",0,OTHER,18936114080107 Kẹo cao su DM thanh NT,23
24,"[402, 450, 460, 450, 460, 468, 402, 470]",0,OTHER,"10,000",24
25,"[300, 454, 346, 450, 346, 470, 300, 470]",0,OTHER,"5,000",25
26,"[196, 456, 228, 456, 228, 470, 196, 470]",0,OTHER,HOP,26
27,"[42, 490, 116, 492, 116, 512, 41, 511]",0,OTHER,Tổng số:,27
28,"[164, 494, 186, 494, 186, 512, 164, 512]",0,OTHER,11,28
29,"[400, 512, 466, 512, 466, 532, 400, 532]",18,TOTAL_COST,"103,000",29
30,"[42, 514, 133, 519, 131, 540, 40, 537]",18,TOTAL_COST,Tổng cộng,30
31,"[400, 542, 468, 540, 468, 560, 400, 560]",0,OTHER,"103,000",31
32,"[42, 544, 172, 542, 172, 562, 42, 564]",0,OTHER,Tiển khách trả:,32
33,"[244, 544, 284, 544, 284, 564, 244, 564]",0,OTHER,VND,33
34,"[62, 584, 285, 581, 286, 602, 62, 606]",0,TIMESTAMP,SỐ GD: 000AB2212008004024,34
35,"[288, 582, 461, 577, 462, 599, 288, 604]",17,TIMESTAMP,Ngày: 16/08/2020-18:36,34
36,"[202, 614, 322, 612, 322, 632, 202, 632]",0,OTHER,Thu ngân: BH5,35
37,"[102, 638, 397, 633, 398, 652, 102, 656]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách,36
