cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[160, 18, 319, 28, 310, 72, 160, 60]",0,OTHER,Hanly,0
1,"[0, 113, 382, 136, 382, 172, -1, 152]",0,OTHER,Khách hàng: Khách lẻ thu,1
2,"[0, 172, 188, 186, 187, 225, -2, 213]",0,OTHER,Điện thoại:,2
3,"[0, 234, 132, 240, 132, 276, 0, 276]",0,OTHER,Địa chì:,3
4,"[0, 336, 54, 336, 54, 372, 0, 372]",0,OTHER,SL,4
5,"[744, 341, 943, 318, 946, 359, 749, 380]",0,OTHER,Thành tiền,5
6,"[394, 352, 530, 358, 530, 398, 392, 385]",0,OTHER,Đơn giá,6
7,"[0, 426, 416, 438, 416, 480, 0, 462]",0,OTHER,XX Ponnie heo gói 1759,7
8,"[8, 500, 20, 500, 20, 524, 8, 524]",0,OTHER,1,8
9,"[834, 495, 943, 488, 945, 526, 836, 532]",0,OTHER,"18,000",9
10,"[416, 510, 516, 510, 516, 544, 416, 544]",0,OTHER,"18,000",10
11,"[2, 584, 408, 592, 408, 636, 2, 620]",0,OTHER,XX Bé khỏe - Heo 160g,11
12,"[4, 656, 26, 656, 26, 684, 4, 684]",0,OTHER,2,12
13,"[831, 655, 941, 650, 943, 687, 832, 692]",0,OTHER,"30,000",13
14,"[420, 662, 518, 662, 518, 698, 420, 698]",0,OTHER,"15,000",14
15,"[6, 742, 382, 746, 382, 788, 6, 782]",0,OTHER,C&H39;EST BON 85g,15
16,"[8, 816, 28, 816, 28, 844, 8, 844]",0,OTHER,2,16
17,"[832, 812, 942, 810, 942, 846, 832, 848]",0,OTHER,"36,000",17
18,"[422, 814, 520, 814, 520, 846, 422, 848]",0,OTHER,"18,000",18
19,"[820, 892, 940, 892, 940, 926, 820, 930]",0,OTHER,"84,000",19
20,"[10, 889, 280, 896, 276, 935, 7, 929]",0,OTHER,Cộng tiền hàng,20
21,"[12, 948, 201, 946, 202, 987, 12, 990]",0,OTHER,Chiết khấu,21
22,"[820, 1010, 938, 1010, 938, 1046, 820, 1048]",0,OTHER,"84,000",22
23,"[13, 1015, 284, 1010, 284, 1044, 14, 1052]",18,TOTAL_COST,Khách phải trả,23
24,"[800, 1063, 938, 1068, 938, 1104, 798, 1100]",0,OTHER,"236,000",24
25,"[16, 1070, 286, 1070, 286, 1104, 16, 1108]",0,OTHER,Tiền khách đưa,25
26,"[804, 1118, 938, 1126, 938, 1162, 800, 1154]",0,OTHER,"152,000",26
27,"[20, 1132, 128, 1132, 128, 1166, 20, 1166]",0,OTHER,Trả lại,27
28,"[240, 1200, 738, 1182, 738, 1214, 240, 1232]",0,OTHER,"Cám ơn quý khách, Hẹn gập lại l",28
