cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[210, 104, 400, 102, 400, 124, 210, 124]",16,ADDRESS,VM 1 ONH 1060-1062 Trần Phú Điện,0
1,"[210, 132, 402, 130, 402, 150, 210, 152]",16,ADDRESS,Số 1060-1062 Đường Trần Phú Th,1
2,"[26, 152, 164, 152, 164, 190, 26, 190]",15,SELLER,VinCommerce,2
3,"[224, 160, 388, 160, 388, 180, 224, 180]",16,ADDRESS,"TP. Câm Phá, Quảng Ninh",3
4,"[242, 186, 370, 186, 370, 208, 242, 208]",0,OTHER,02471066366-44301,4
5,"[302, 234, 458, 234, 458, 254, 302, 254]",17,TIMESTAMP,Thời gian:11:02,5
6,"[24, 236, 182, 236, 182, 256, 24, 258]",17,TIMESTAMP,Ngày:15/08/2020,6
7,"[170, 262, 314, 260, 314, 280, 170, 280]",0,OTHER,Giao dịch treo,7
8,"[322, 284, 458, 284, 458, 304, 322, 304]",0,OTHER,NVBH:09024144,8
9,"[24, 286, 108, 288, 108, 306, 24, 308]",0,OTHER,quấy:001,9
10,"[24, 312, 180, 312, 180, 332, 24, 332]",0,OTHER,TÊN NV:4930POS1,10
11,"[24, 338, 172, 338, 172, 358, 24, 358]",0,OTHER,SỐ GD TREO:430,11
