cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[128, 138, 456, 144, 456, 172, 128, 166]",15,SELLER,NHÀ SÁCH GD-TC CẤM PHẢ,0
1,"[48, 174, 438, 178, 438, 204, 48, 196]",16,ADDRESS,Đến 212 Đường Trần Phú Chm,1
2,"[48, 210, 249, 212, 251, 237, 48, 232]",0,OTHER,Nhân viên thu ngân,2
3,"[48, 242, 406, 248, 406, 274, 48, 266]",0,OTHER,03133363328-Fax 0333863328,3
4,"[48, 274, 372, 280, 372, 306, 48, 300]",17,TIMESTAMP,Thời gian:08:42:03-14/08/2020,4
5,"[44, 310, 144, 316, 141, 339, 44, 332]",0,OTHER,Tên hàng,5
6,"[246, 316, 274, 316, 274, 336, 246, 336]",0,OTHER,SL,6
7,"[302, 316, 340, 316, 340, 336, 302, 336]",0,OTHER,Giá,7
8,"[376, 318, 528, 316, 528, 338, 376, 336]",0,OTHER,Ck Thành tiền,8
9,"[32, 348, 172, 350, 172, 374, 32, 372]",0,OTHER,VPP Loai SK,9
10,"[266, 354, 278, 354, 278, 372, 266, 372]",0,OTHER,2,10
11,"[314, 354, 370, 352, 370, 374, 314, 374]",0,OTHER,6.000,11
12,"[446, 352, 532, 352, 532, 376, 446, 374]",0,OTHER,12.000đ,12
13,"[28, 377, 152, 385, 149, 411, 26, 406]",0,OTHER,Tổng cộng la,13
14,"[266, 388, 280, 388, 280, 408, 266, 408]",0,OTHER,2,14
15,"[438, 386, 530, 386, 530, 412, 438, 412]",0,OTHER,12.000d,15
16,"[28, 420, 253, 423, 250, 447, 28, 444]",0,OTHER,Chiết khẩu bán hàng:,16
17,"[498, 424, 528, 424, 528, 444, 498, 444]",0,OTHER,0,17
18,"[436, 458, 530, 458, 530, 484, 436, 484]",18,TOTAL_COST,12.000đ,18
19,"[28, 454, 236, 460, 236, 480, 26, 483]",18,TOTAL_COST,Tổng số thanh toán số,19
20,"[100, 504, 434, 498, 434, 530, 100, 532]",0,OTHER,XIN CÁM ƠN QUÍ KHÁCHỊ,20
