cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[216, 86, 394, 82, 394, 102, 216, 104]",16,ADDRESS,VÀ VÀ THỊ THỊ KHO MUNH THO ANH,0
1,"[244, 106, 364, 106, 364, 124, 244, 124]",16,ADDRESS,"TET, Khu Minh Tinh Anh",1
2,"[230, 128, 394, 128, 394, 148, 230, 148]",16,ADDRESS,"Chm tinh TP. Cầm Ma, Cho",2
3,"[66, 132, 182, 132, 182, 160, 66, 160]",15,SELLER,UnCommerce,3
4,"[250, 152, 362, 152, 362, 170, 250, 170]",0,OTHER,02471066800 3154),4
5,"[176, 194, 314, 190, 314, 208, 176, 212]",0,OTHER,HỒA ÔN DÂN HĂNG,5
6,"[338, 216, 430, 212, 430, 230, 338, 230]",0,OTHER,01:00032069,6
7,"[64, 222, 288, 212, 288, 230, 64, 240]",17,TIMESTAMP,Ngày bản:09/08/20200,7
8,"[320, 234, 438, 232, 438, 250, 320, 250]",0,OTHER,INVDI1:09025438,8
9,"[64, 244, 136, 244, 136, 258, 64, 260]",0,OTHER,quây 001,9
10,"[314, 278, 330, 278, 330, 292, 314, 292]",0,OTHER,SL,10
11,"[392, 272, 432, 272, 432, 292, 392, 292]",0,OTHER,Tiền,11
12,"[222, 278, 280, 276, 280, 296, 222, 294]",0,OTHER,lơn giá,12
13,"[64, 284, 138, 282, 138, 300, 64, 302]",0,OTHER,Mặt hãng,13
14,"[64, 308, 424, 296, 424, 314, 64, 322]",0,OTHER,Kem so co 1a hanh nhan ca tan 1 212,14
15,"[384, 318, 442, 318, 442, 334, 384, 334]",0,OTHER,46.000,15
16,"[230, 320, 288, 318, 288, 336, 230, 338]",0,OTHER,23.000,16
17,"[61, 326, 182, 322, 182, 340, 62, 345]",0,OTHER,8936011771306,17
18,"[64, 350, 260, 342, 260, 360, 64, 364]",0,OTHER,Khm số cố là hộp 450m1,18
19,"[384, 360, 442, 360, 442, 378, 384, 378]",0,OTHER,43.800,19
20,"[232, 366, 288, 364, 288, 380, 232, 380]",0,OTHER,143.800,20
21,"[59, 368, 181, 364, 182, 383, 60, 387]",0,OTHER,8934673290203,21
22,"[276, 384, 424, 384, 424, 400, 276, 402]",0,OTHER,Green Tea 110 m1,22
23,"[59, 388, 252, 386, 252, 404, 60, 408]",0,OTHER,BINGGRAE Kem Together,23
24,"[386, 404, 442, 404, 442, 422, 386, 422]",0,OTHER,38.400,24
25,"[230, 408, 290, 406, 290, 424, 230, 424]",0,OTHER,38.400,25
26,"[60, 412, 179, 407, 180, 426, 60, 428]",0,OTHER,8801 104303019,26
27,"[58, 432, 416, 426, 416, 444, 58, 450]",0,OTHER,Kem Extra sô cô la celano cây 130m1 T16,27
28,"[386, 448, 444, 448, 444, 466, 386, 466]",0,OTHER,19.700,28
29,"[230, 450, 288, 450, 288, 468, 230, 468]",0,OTHER,19.700,29
30,"[57, 452, 180, 452, 180, 470, 58, 472]",0,OTHER,8936011771092,30
31,"[60, 478, 350, 472, 350, 490, 60, 492]",0,OTHER,CHERTERTON THO THONG THO NGHINH THONG THO NGHINH THONG THONG THO NGHINH THONG THONG THO NGHINH THONG THONG THO NGHINH THONG THONG,31
32,"[386, 494, 444, 492, 444, 512, 386, 512]",0,OTHER,22.500,32
33,"[230, 494, 288, 494, 288, 512, 230, 512]",0,OTHER,22.500,33
34,"[55, 496, 177, 494, 178, 513, 56, 516]",0,OTHER,8936036026153,34
35,"[378, 538, 444, 538, 444, 556, 378, 556]",18,TOTAL_COST,170.400,35
36,"[54, 540, 252, 538, 252, 558, 54, 560]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN,36
37,"[54, 562, 206, 560, 206, 582, 54, 582]",0,OTHER,TỔNG TIẾN Ã GIẢM,37
38,"[378, 584, 446, 584, 446, 602, 378, 602]",0,OTHER,170.400,38
39,"[52, 584, 186, 584, 186, 604, 52, 604]",0,OTHER,TIẾN KHÁCH TRẢ,39
40,"[378, 606, 446, 606, 446, 626, 378, 626]",0,OTHER,170.400,40
41,"[60, 608, 138, 610, 138, 628, 60, 628]",0,OTHER,TIẾN MẶT,41
42,"[50, 630, 166, 632, 166, 652, 50, 650]",0,OTHER,TIẾN TRẢ LẠI,42
43,"[124, 654, 370, 654, 370, 672, 124, 674]",0,OTHER,(Giá đã bao gồm thuế gtgt),43
44,"[48, 702, 210, 700, 210, 720, 48, 720]",0,OTHER,ID THẻ khách hàng,44
45,"[390, 702, 446, 700, 446, 720, 390, 718]",0,OTHER,XX51166,45
46,"[46, 724, 284, 722, 284, 744, 46, 744]",0,OTHER,Tiểm tích(1.000VND-1 điểm),46
47,"[44, 748, 172, 748, 172, 768, 44, 766]",0,OTHER,Số tham chiếu,47
48,"[282, 748, 446, 748, 446, 768, 282, 768]",0,OTHER,00515600100032069,48
49,"[108, 820, 372, 822, 372, 842, 108, 840]",0,OTHER,Chỉ xuất hóa đơn trong ngày,49
50,"[38, 846, 448, 848, 448, 868, 38, 866]",0,OTHER,Tax invoice will be issued within same day,50
51,"[86, 894, 392, 898, 392, 916, 86, 914]",0,OTHER,CÁM ƠN QUÝ KHÁCH VÀ HỆN GẶP LẠI,51
52,"[46, 920, 440, 924, 440, 942, 46, 938]",0,OTHER,0tline: 02471066866 Website: Vinmart.COM,52
53,"[8, 1048, 322, 1062, 321, 1088, 5, 1079]",0,OTHER,Samsung Triple Camera,53
54,"[8, 1084, 192, 1088, 192, 1110, 8, 1108]",0,OTHER,Chup băng Galava,54
