cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[234, 102, 382, 102, 382, 124, 234, 122]",16,ADDRESS,Viên 19 19 19 1900 Trần Phú,0
1,"[214, 128, 406, 134, 402, 157, 214, 150]",16,ADDRESS,"Só 590 Trần Phú, P. Cảm Thuy",1
2,"[32, 150, 166, 150, 166, 188, 32, 188]",15,SELLER,Vincommerce,2
3,"[226, 158, 388, 158, 388, 178, 226, 178]",16,ADDRESS,"TP, Cám Phà, Quảng Ninh",3
4,"[244, 186, 372, 186, 372, 206, 244, 206]",0,OTHER,024.71066865-4358,4
5,"[160, 234, 316, 234, 316, 254, 160, 254]",0,OTHER,HÓA ƠN BÁN HÀNG,5
6,"[32, 258, 284, 262, 284, 280, 32, 280]",17,TIMESTAMP,Ngày bán: 15/08/2020 11:16,6
7,"[340, 260, 444, 260, 444, 280, 340, 280]",0,OTHER,01:00133776,7
8,"[32, 284, 114, 286, 114, 304, 32, 304]",0,OTHER,Quấy:001,8
9,"[322, 286, 452, 286, 452, 306, 322, 306]",0,OTHER,NVBH:090204971,9
10,"[382, 338, 444, 334, 444, 354, 382, 354]",0,OTHER,T. Tiến,10
11,"[34, 332, 117, 336, 115, 356, 34, 354]",0,OTHER,Mặt hàng,11
12,"[212, 336, 274, 336, 274, 356, 212, 354]",0,OTHER,dn giá,12
13,"[310, 336, 330, 336, 330, 354, 310, 354]",0,OTHER,SL,13
14,"[34, 358, 304, 360, 304, 380, 34, 378]",0,OTHER,"Bơ sáp 31.400/KG X 0,690 KG",14
15,"[34, 382, 166, 382, 166, 402, 34, 402]",0,OTHER,2600161006903,15
16,"[386, 384, 452, 384, 452, 404, 386, 404]",0,OTHER,21.666,16
17,"[220, 386, 284, 386, 284, 404, 220, 404]",0,OTHER,21.666,17
18,"[34, 408, 58, 408, 58, 426, 34, 426]",0,OTHER,KM,18
19,"[386, 408, 450, 408, 450, 428, 386, 428]",0,OTHER,-6.555,19
20,"[34, 452, 244, 456, 244, 476, 34, 476]",18,TOTAL_COST,TỔNG TIẾN PHẢI T. TOÁN,20
21,"[388, 458, 448, 458, 448, 476, 388, 476]",18,TOTAL_COST,15.111,21
22,"[34, 478, 196, 478, 196, 500, 34, 500]",0,OTHER,TỔNG TIỀN Ã GIẢM,22
23,"[382, 484, 440, 482, 440, 500, 382, 500]",0,OTHER,-6.555,23
24,"[34, 502, 176, 502, 176, 524, 34, 524]",0,OTHER,TIẾN KHÁCH TRẢ,24
25,"[388, 506, 448, 506, 448, 524, 388, 524]",0,OTHER,15.111,25
26,"[44, 526, 128, 528, 128, 548, 44, 548]",0,OTHER,TIỀN MẶT,26
27,"[386, 530, 448, 530, 448, 548, 386, 548]",0,OTHER,20.000,27
28,"[34, 552, 156, 552, 156, 572, 34, 572]",0,OTHER,TIỀN TRẢ LẠI,28
29,"[398, 556, 450, 554, 450, 572, 398, 572]",0,OTHER,4.889,29
30,"[114, 576, 368, 576, 368, 596, 114, 596]",0,OTHER,(Giá đã bao gồm thuế gtgt),30
31,"[290, 624, 448, 624, 448, 644, 290, 644]",0,OTHER,XXXXXXXXXXXXXXX,31
32,"[34, 626, 204, 624, 204, 644, 34, 646]",0,OTHER,ID thể khách hàng,32
33,"[34, 648, 280, 646, 280, 668, 34, 670]",0,OTHER,iếm tích(1.000VND-1 điểm),33
34,"[277, 671, 447, 671, 447, 691, 277, 691]",0,OTHER,00435800100133776,34
35,"[34, 672, 166, 672, 166, 692, 34, 694]",0,OTHER,Số tham chiếu,35
36,"[104, 742, 370, 744, 370, 764, 104, 764]",0,OTHER,Chỉ xuất hóa đơn trong ngày,36
37,"[36, 770, 446, 770, 446, 788, 36, 788]",0,OTHER,Tax invoice will be issued within same day,37
38,"[86, 812, 390, 816, 390, 834, 86, 832]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI TH,38
39,"[36, 838, 436, 840, 436, 856, 36, 856]",0,OTHER,Hot 1ne: 02471066866 Website: Vinmart.COM BERS,39
