cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[258, 26, 378, 28, 377, 42, 258, 40]",15,SELLER,Satra Group,0
1,"[94, 31, 390, 44, 390, 56, 93, 47]",15,SELLER,Satrafoods Nguy nhu vinh Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên Viên,1
2,"[92, 43, 534, 62, 534, 76, 90, 62]",16,ADDRESS,13/1 KP2 Được Thuy Nhung Hung Han Nhuy nhuy nhang Viên Nhang Viên Nhang Viên Nhang Viên Nhang Viên Nhang Viên Nhang Viên Nhang Vi,2
3,"[92, 64, 127, 67, 125, 82, 90, 79]",16,ADDRESS,Hot,3
4,"[126, 68, 485, 73, 485, 91, 126, 82]",0,ADDRESS,lane:cskh. 10001181017100,3
5,"[90, 83, 134, 86, 133, 101, 89, 98]",0,OTHER,Mail,4
6,"[166, 90, 354, 98, 354, 110, 166, 106]",0,OTHER,dvkhesatra.com.vn,5
7,"[88, 97, 420, 116, 420, 128, 86, 116]",0,OTHER,Website: Mai As tarrafoods com. nn,6
8,"[250, 146, 406, 146, 406, 164, 250, 162]",0,OTHER,HÓA ĐƠN BÁN LỄ,7
9,"[306, 166, 350, 166, 350, 180, 306, 180]",0,OTHER,000,8
10,"[84, 188, 196, 192, 196, 212, 84, 206]",17,TIMESTAMP,01/04/2019,9
11,"[228, 200, 284, 198, 284, 216, 228, 216]",17,TIMESTAMP,20:20,10
12,"[436, 202, 572, 201, 571, 220, 436, 220]",0,OTHER,Quây: 1094T1,11
13,"[84, 206, 326, 216, 326, 234, 84, 224]",0,OTHER,SỐ HĐ,12
14,"[84, 228, 116, 228, 116, 242, 84, 242]",0,OTHER,NV:,13
15,"[182, 238, 272, 238, 272, 252, 182, 252]",0,OTHER,Angan:bhn,14
16,"[82, 262, 160, 266, 160, 284, 80, 277]",0,OTHER,Đan giá,15
17,"[266, 270, 358, 274, 357, 293, 266, 288]",0,OTHER,số luọng,16
18,"[456, 274, 572, 278, 572, 292, 456, 292]",0,OTHER,Thành tiên,17
19,"[102, 302, 366, 312, 366, 326, 102, 316]",0,OTHER,CA BASA KHONG DAU LOAI 2,18
20,"[112, 320, 256, 322, 256, 340, 112, 336]",0,OTHER,2961718002824,19
21,"[468, 332, 560, 330, 560, 348, 468, 346]",0,OTHER,VAT: 05,20
22,"[110, 334, 212, 342, 212, 356, 110, 352]",0,OTHER,"50.400,00",21
23,"[300, 346, 354, 344, 354, 362, 300, 360]",0,OTHER,0.282,22
24,"[466, 350, 572, 350, 572, 366, 466, 364]",0,OTHER,"14:212,80",23
25,"[78, 354, 354, 364, 354, 380, 78, 368]",0,OTHER,22 KHO QUA NHOI THIT 400GR,24
26,"[108, 370, 254, 376, 253, 395, 107, 388]",0,OTHER,2822348600005,25
27,"[466, 386, 560, 384, 560, 402, 466, 402]",0,OTHER,VAT: 10,26
28,"[106, 390, 208, 394, 208, 410, 106, 406]",0,OTHER,"19.600,00",27
