cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[262, 18, 366, 23, 363, 45, 262, 40]",15,SELLER,VM Thăng Long,0
1,"[234, 48, 395, 50, 393, 72, 234, 72]",0,OTHER,Là Làng Quốc tê Thăng Long,1
2,"[40, 66, 176, 66, 176, 102, 40, 102]",15,SELLER,VinCommerce,2
3,"[228, 72, 416, 74, 416, 96, 228, 96]",16,ADDRESS,"Dịch Vọng, Q.Càu Giấy, Hà Nội Nha",3
4,"[252, 102, 378, 102, 378, 124, 252, 126]",0,OTHER,024.71066866-15310,4
5,"[170, 150, 334, 152, 334, 172, 170, 172]",0,OTHER,HÓA ĐƠN BÁN HÀNG,5
6,"[40, 174, 294, 178, 294, 198, 40, 196]",0,OTHER,Ngày bán: 44/08/2020 17:15,6
7,"[348, 180, 459, 173, 460, 194, 348, 198]",0,OTHER,HD:00199652,7
8,"[42, 198, 124, 200, 124, 218, 42, 218]",0,OTHER,quấy :001,8
9,"[329, 205, 459, 199, 460, 220, 330, 226]",0,OTHER,NVBH:09028258,9
10,"[42, 242, 129, 246, 127, 267, 42, 262]",0,OTHER,Mặt hàng,10
11,"[224, 250, 296, 250, 296, 272, 224, 268]",0,OTHER,Đơn giá,11
12,"[396, 248, 459, 244, 461, 267, 398, 271]",0,OTHER,T.T Tiến,12
13,"[332, 254, 352, 254, 352, 272, 332, 272]",0,OTHER,SL,13
14,"[42, 268, 440, 276, 440, 298, 42, 288]",0,OTHER,00TTO-Bánh ăn sáng sợi thịt gà 100x),14
15,"[44, 292, 178, 297, 177, 318, 43, 314]",0,OTHER,08935006359109,15
16,"[400, 302, 462, 298, 462, 318, 400, 320]",0,OTHER,22.000,16
17,"[234, 302, 296, 302, 296, 320, 234, 320]",0,OTHER,22.000,17
18,"[44, 320, 442, 326, 442, 346, 44, 340]",0,OTHER,CHIN-SU TƯƠNG ỞT CHAI EO 201 XOOGR TH,18
19,"[46, 344, 178, 348, 178, 368, 45, 365]",0,OTHER,8936136161150,19
20,"[234, 350, 296, 350, 296, 370, 234, 370]",0,OTHER,22.700,20
21,"[400, 350, 462, 348, 462, 368, 400, 370]",0,OTHER,22.700,21
22,"[46, 372, 70, 372, 70, 390, 46, 390]",0,OTHER,KM,22
23,"[402, 378, 462, 374, 462, 392, 402, 392]",0,OTHER,- 4.700,23
24,"[46, 398, 432, 398, 432, 418, 46, 416]",0,OTHER,Và VMGOOD Bột chiêng òn Sắn gia vị 150g 660 thuy,24
25,"[46, 422, 179, 422, 179, 442, 46, 442]",0,OTHER,08833994005779,25
26,"[412, 426, 464, 422, 464, 440, 412, 442]",0,OTHER,7 800,26
27,"[266, 424, 298, 424, 298, 442, 266, 442]",0,OTHER,800,27
28,"[48, 448, 248, 448, 248, 468, 48, 466]",0,OTHER,MML Thịt heo xay Toạn,28
29,"[324, 448, 444, 450, 444, 464, 324, 466]",0,OTHER,157.900/KG X,29
30,"[46, 472, 132, 472, 132, 490, 46, 492]",0,OTHER,"0,357 KG",30
31,"[402, 494, 464, 494, 464, 514, 402, 514]",0,OTHER,56.370,31
32,"[48, 496, 179, 496, 179, 516, 48, 516]",0,OTHER,2656138003574,32
33,"[236, 496, 298, 496, 298, 514, 236, 514]",0,OTHER,56.370,33
34,"[283, 477, 320, 460, 365, 559, 328, 576]",0,OTHER,E,34
35,"[404, 520, 464, 518, 464, 538, 404, 538]",0,OTHER,-6.426,35
36,"[48, 522, 74, 522, 74, 540, 48, 540]",0,OTHER,KM,36
37,"[364, 544, 444, 548, 444, 562, 364, 564]",0,OTHER,1900/KG X,37
38,"[50, 548, 278, 548, 278, 562, 50, 566]",0,OTHER,MML Thịt heo xay loại 11,38
39,"[50, 572, 134, 570, 134, 590, 50, 590]",0,OTHER,"0,342 KG",39
40,"[402, 592, 464, 592, 464, 610, 402, 610]",0,OTHER,54.002,40
41,"[238, 592, 298, 594, 298, 612, 238, 612]",0,OTHER,54.002,41
42,"[54, 594, 182, 594, 182, 612, 54, 612]",0,OTHER,2656138003420,42
43,"[404, 616, 466, 616, 466, 630, 404, 630]",0,OTHER,- 1.66,43
44,"[52, 618, 76, 618, 76, 634, 52, 634]",0,OTHER,KM,44
45,"[50, 638, 468, 634, 468, 646, 50, 656]",0,OTHER,"""Mil Thịt đùi heo (s) 149.900/KG X 0,481 KG NG""",45
46,"[408, 654, 470, 650, 470, 666, 408, 668]",0,OTHER,"12,102",46
47,"[238, 658, 300, 656, 300, 674, 238, 674]",0,OTHER,72.102,47
