cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[226, 76, 440, 78, 440, 100, 226, 98]",15,SELLER,MINIMARTANAN,0
1,"[196, 107, 464, 116, 464, 132, 194, 128]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lam,1
2,"[58, 138, 94, 138, 94, 158, 58, 158]",0,OTHER,Tel:,2
3,"[190, 184, 484, 186, 484, 218, 190, 218]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[76, 228, 179, 232, 177, 256, 76, 250]",0,OTHER,Tên hàng,4
5,"[212, 230, 313, 230, 311, 253, 212, 250]",0,OTHER,SL ĐVT,5
6,"[350, 230, 576, 220, 576, 252, 350, 250]",0,OTHER,"Đơn giá , Thành tiện",6
7,"[66, 259, 506, 262, 506, 284, 65, 283]",0,OTHER,0984339124267 KDR PS trà xanh 2400 NT,7
8,"[518, 294, 592, 290, 592, 320, 518, 320]",0,OTHER,"26,000",8
9,"[252, 298, 294, 298, 294, 316, 252, 316]",0,OTHER,HOP,9
10,"[372, 298, 448, 296, 448, 322, 372, 322]",0,OTHER,"26,000",10
11,"[60, 330, 398, 336, 398, 358, 60, 352]",0,OTHER,0291005950000 milo to 180ml NT,11
12,"[56, 364, 192, 366, 192, 390, 56, 388]",0,OTHER,Giá đăng ký:,12
13,"[388, 370, 448, 370, 448, 394, 388, 394]",0,OTHER,"7,000",13
14,"[52, 398, 148, 398, 148, 422, 52, 422]",0,OTHER,Giá bán:,14
15,"[250, 402, 294, 402, 294, 420, 250, 420]",0,OTHER,HOP,15
16,"[388, 404, 446, 404, 446, 426, 388, 428]",0,OTHER,"6,500",16
17,"[520, 404, 595, 400, 597, 423, 520, 428]",0,OTHER,"26,000",17
18,"[50, 438, 580, 444, 580, 466, 50, 464]",0,OTHER,08934804037806 sữa milo nước nắp vận thuy,18
19,"[188, 476, 200, 476, 200, 494, 188, 494]",0,OTHER,2,19
20,"[248, 476, 294, 476, 294, 494, 248, 494]",0,OTHER,HOP,20
21,"[388, 476, 450, 476, 450, 500, 388, 500]",0,OTHER,"9,500",21
22,"[526, 478, 600, 476, 600, 500, 526, 502]",0,OTHER,"19,000",22
23,"[40, 514, 538, 518, 538, 540, 40, 540]",0,OTHER,08886451071316 Sữa bột Pediasure -400g NT,23
24,"[364, 552, 456, 552, 456, 578, 364, 580]",0,OTHER,"270,000",24
25,"[246, 552, 292, 552, 292, 572, 246, 572]",0,OTHER,HOP,25
26,"[516, 554, 608, 554, 608, 580, 516, 580]",0,OTHER,"270,000",26
27,"[30, 596, 484, 598, 484, 622, 30, 624]",0,OTHER,291016070000 xúc xích càà nt,27
28,"[536, 634, 614, 634, 614, 660, 536, 660]",0,OTHER,"46,000",28
29,"[380, 636, 460, 636, 460, 662, 380, 664]",0,OTHER,"46,000",29
30,"[244, 636, 290, 636, 290, 656, 244, 656]",0,OTHER,TUT,30
31,"[21, 683, 126, 690, 126, 716, 17, 715]",0,OTHER,Tổng số:,31
32,"[530, 722, 622, 722, 622, 748, 530, 748]",0,OTHER,"387,000",32
33,"[19, 721, 151, 730, 149, 759, 16, 753]",0,OTHER,Tổng cộng,33
34,"[528, 772, 620, 770, 620, 796, 528, 798]",18,TOTAL_COST,"387,000",34
35,"[20, 774, 134, 778, 134, 806, 17, 805]",18,TOTAL_COST,Tổng tiền,35
36,"[20, 812, 208, 814, 208, 838, 20, 840]",0,OTHER,Tiền khách trả:,36
37,"[526, 810, 622, 810, 622, 838, 526, 836]",0,OTHER,"407,000",37
38,"[312, 816, 368, 816, 368, 842, 312, 842]",0,OTHER,VND,38
39,"[10, 858, 202, 860, 202, 886, 10, 882]",0,OTHER,Tiền trả lại VND:,39
40,"[538, 854, 620, 854, 620, 882, 538, 882]",0,OTHER,"20,000",40
41,"[50, 908, 367, 907, 368, 935, 50, 936]",0,OTHER,SỐ GD: 000AC2212008001392,41
42,"[370, 908, 616, 910, 616, 938, 370, 938]",17,OTHER,Ngày: 11/08/2020-07:19,41
