cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[212, 108, 412, 106, 412, 128, 212, 128]",16,ADDRESS,VM 1 QNH 1060-1062 Trân Phủ,0
1,"[210, 138, 414, 136, 414, 156, 210, 158]",16,ADDRESS,Sô 1080-1062 Đường Trân Phú Tri,1
2,"[20, 160, 162, 160, 162, 200, 20, 200]",15,SELLER,WinCommerce,2
3,"[226, 166, 398, 166, 398, 186, 226, 188]",16,ADDRESS,"TP. Câm Phà, Quảng Ninh",3
4,"[244, 194, 380, 194, 380, 216, 244, 220]",0,OTHER,02471086366-44301,4
5,"[156, 248, 320, 246, 320, 268, 156, 270]",0,OTHER,HÓA DN BÁN HÀNG,5
6,"[346, 276, 456, 272, 456, 294, 346, 294]",0,OTHER,H:00064587,6
7,"[20, 276, 286, 276, 286, 296, 20, 300]",17,TIMESTAMP,Ngày bán: 15/08/2020 09:35,7
8,"[328, 302, 468, 300, 468, 320, 328, 322]",0,OTHER,ENVBH:09024144,8
9,"[22, 302, 106, 304, 106, 324, 22, 326]",0,OTHER,Quẩy::001,9
10,"[392, 350, 460, 350, 460, 374, 392, 374]",0,OTHER,T.Tiển,10
11,"[212, 356, 276, 354, 276, 378, 212, 376]",0,OTHER,dn giáo,11
12,"[24, 356, 111, 358, 109, 380, 24, 378]",0,OTHER,Mặt hàng,12
13,"[316, 356, 338, 356, 338, 374, 316, 374]",0,OTHER,SL,13
14,"[24, 382, 308, 382, 308, 404, 24, 404]",0,OTHER,Bánh mỳ Paket Bảo Ngọc 108g,14
15,"[402, 408, 468, 406, 468, 426, 402, 426]",0,OTHER,"10,000",15
16,"[222, 408, 286, 408, 286, 428, 222, 428]",0,OTHER,10.000,16
17,"[24, 410, 162, 410, 162, 430, 24, 430]",0,OTHER,8936078570188,17
18,"[26, 436, 360, 432, 360, 454, 26, 456]",0,OTHER,OREO Bánh quy kem lạnh133g (T24),18
19,"[402, 460, 470, 460, 470, 478, 402, 480]",0,OTHER,16.000,19
20,"[26, 460, 161, 460, 161, 480, 26, 480]",0,OTHER,07622300442507,20
21,"[222, 460, 286, 460, 286, 480, 222, 480]",0,OTHER,16.000,21
22,"[28, 508, 246, 510, 246, 532, 28, 534]",18,TOTAL_COST,THN THẾ NGHẢI T. TOÁN,22
23,"[402, 512, 470, 512, 470, 532, 402, 532]",18,TOTAL_COST,26.000,23
24,"[28, 534, 196, 534, 196, 558, 28, 558]",0,OTHER,TỔNG TIỀN Ã GIẢM,24
25,"[28, 560, 174, 560, 174, 584, 28, 584]",0,OTHER,TIỀN KHÁCH TRÃ,25
26,"[402, 564, 470, 566, 470, 586, 402, 584]",0,OTHER,26.000,26
27,"[38, 588, 122, 590, 122, 610, 38, 610]",0,OTHER,TIỀN MẶT,27
28,"[402, 592, 470, 592, 470, 612, 402, 612]",0,OTHER,26.000,28
29,"[28, 612, 154, 614, 154, 636, 28, 636]",0,OTHER,TIẾN TRÃ LẠI,29
30,"[112, 640, 382, 642, 382, 664, 112, 660]",0,OTHER,(Giá đã bao gồm thuế gtgt),30
31,"[102, 714, 384, 720, 384, 742, 102, 736]",0,OTHER,Chỉ xuất hóa đơn trong ngày,31
32,"[30, 742, 468, 750, 468, 770, 30, 760]",0,OTHER,Tax invoice will be issued within same day,32
33,"[82, 790, 406, 798, 406, 820, 82, 810]",0,OTHER,CÁM DN QUÝ KHÁCH VÀ HỆN GẶP LẠI TH,33
34,"[30, 816, 458, 826, 458, 846, 30, 834]",0,OTHER,Hotline: 02471066866 Website: vinmart.com,34
