cells index,poly,cate_id,cate_text,vietocr_text,group_id
0,"[226, 102, 484, 106, 484, 134, 225, 132]",15,SELLER,MINIMARTANAN,0
1,"[192, 146, 512, 152, 512, 174, 189, 175]",16,ADDRESS,Chợ Sủi Phú Thị Gia Lâm,1
2,"[24, 190, 68, 190, 68, 210, 24, 210]",0,OTHER,Tel:,2
3,"[182, 244, 532, 248, 532, 288, 182, 286]",0,OTHER,HÓA ĐƠN BÁN HÀNG,3
4,"[46, 298, 173, 304, 169, 335, 46, 326]",0,OTHER,Tên hàng,4
5,"[210, 302, 332, 304, 332, 330, 210, 328]",0,OTHER,SL ĐVT,5
6,"[376, 304, 644, 298, 644, 324, 376, 330]",0,OTHER,Đơn giá Thành tiến,6
7,"[36, 342, 596, 342, 596, 368, 36, 370]",0,OTHER,08934839125967 KDR Closup bạc hà thuy,7
8,"[576, 382, 668, 380, 668, 408, 576, 410]",0,OTHER,"29,000",8
9,"[192, 386, 202, 386, 202, 404, 192, 404]",0,OTHER,1,9
10,"[400, 384, 488, 382, 488, 410, 400, 410]",0,OTHER,"29,000",10
11,"[256, 384, 308, 384, 308, 406, 256, 406]",0,OTHER,HOP,11
12,"[30, 430, 522, 430, 522, 456, 30, 458]",0,OTHER,08935125815227 SRM E100 bò 80ml NT,12
13,"[264, 472, 298, 472, 298, 494, 264, 494]",0,OTHER,CH,13
14,"[580, 472, 670, 472, 670, 498, 580, 502]",0,OTHER,"18,000",14
15,"[402, 472, 490, 472, 490, 498, 402, 498]",0,OTHER,"18,000",15
16,"[26, 519, 486, 520, 486, 546, 26, 547]",0,OTHER,8833888113720 dg sunsilk 1.4kg nt,16
17,"[384, 562, 490, 562, 490, 590, 384, 592]",0,OTHER,"205,000",17
18,"[254, 562, 304, 562, 304, 584, 254, 584]",0,OTHER,CHA,18
19,"[566, 564, 674, 564, 674, 592, 566, 594]",0,OTHER,"205,000",19
20,"[14, 615, 128, 620, 128, 650, 12, 649]",0,OTHER,Tổng số:,20
21,"[14, 655, 154, 662, 154, 692, 12, 689]",18,TOTAL_COST,Tổng cộng,21
22,"[572, 662, 680, 662, 680, 690, 572, 690]",18,TOTAL_COST,"252,000",22
23,"[330, 708, 390, 708, 390, 736, 330, 736]",0,OTHER,VND,23
24,"[572, 710, 682, 710, 682, 738, 572, 738]",0,OTHER,"252,000",24
25,"[14, 700, 218, 700, 218, 730, 14, 730]",0,OTHER,Tiền khách trả:,25
26,"[40, 764, 390, 768, 390, 798, 40, 798]",0,OTHER,SỐ GD: 000AC2212008001787,26
27,"[396, 770, 672, 770, 672, 798, 396, 804]",17,OTHER,Ngày: 13/08/2020-16:58,26
28,"[262, 818, 450, 820, 450, 848, 262, 846]",0,OTHER,Thu ngân: BH3,27
29,"[102, 856, 570, 856, 570, 884, 102, 884]",0,OTHER,Xin cám ơn và hẹn gặp lại quý khách,28
